Date,Open,High,Low,Close,Volume,Adj Close
5/2/2019,16.85,17.940001,16.58,17.77,280100,17.535343
5/3/2019,17.969999,18.719999,17.84,18.299999,178500,18.058342
5/6/2019,17.959999,18.74,17.959999,18.610001,263100,18.364248
5/7/2019,18.4,18.75,18.35,18.690001,179400,18.443193
5/8/2019,18.629999,19.059999,18.540001,18.74,82700,18.492533
5/9/2019,18.58,19.26,18.5,19.219999,89700,18.966192
5/10/2019,19.049999,19.5,19.049999,19.43,72800,19.248531
5/13/2019,19.139999,19.59,19.02,19.43,115600,19.248531
5/14/2019,19.450001,19.73,19.290001,19.370001,102700,19.189093
5/15/2019,19.18,19.76,19.02,19.549999,81500,19.367411
5/16/2019,19.6,19.879999,19.59,19.65,78900,19.466476
5/17/2019,19.469999,19.959999,19.469999,19.559999,91600,19.377316
5/20/2019,19.450001,19.879999,19.42,19.610001,92100,19.426853
5/21/2019,19.68,20.33,19.68,20.309999,96500,20.120312
5/22/2019,20.209999,20.52,20.049999,20.209999,73200,20.021246
5/23/2019,20.059999,20.379999,19.98,20.18,71500,19.991528
5/24/2019,20.290001,20.620001,20.209999,20.57,68500,20.377884
5/28/2019,20.52,20.620001,19.629999,19.65,77500,19.466476
5/29/2019,19.610001,19.610001,19.110001,19.18,83000,19.000868
5/30/2019,19.26,19.290001,18.799999,19,92700,18.822548
5/31/2019,18.73,18.790001,17.809999,18.219999,197000,18.049831
6/3/2019,18.16,18.459999,18,18.370001,193600,18.198433
6/4/2019,18.5,19.049999,18.48,18.969999,69100,18.79283
6/5/2019,18.99,19.33,18.51,18.790001,78700,18.61451
6/6/2019,18.790001,18.85,18.57,18.74,86800,18.564978
6/7/2019,18.870001,19.02,18.5,18.799999,99000,18.624416
6/10/2019,18.790001,19.209999,18.780001,18.9,96000,18.723482
6/11/2019,19,19.139999,18.52,18.610001,84200,18.43619
6/12/2019,18.57,19,18.530001,18.82,62300,18.644228
6/13/2019,19.030001,19.33,18.93,19.27,80700,19.090025
6/14/2019,19.209999,19.66,19.15,19.52,46000,19.337692
6/17/2019,19.559999,19.68,19.33,19.4,39100,19.218811
6/18/2019,19.469999,19.85,19.299999,19.34,49000,19.159374
6/19/2019,18.629999,19.43,18.620001,19.4,65900,19.218811
6/20/2019,19.57,19.57,19.27,19.35,72700,19.169281
6/21/2019,19.17,19.280001,18.969999,19.110001,77600,18.931522
6/24/2019,19.030001,19.26,18.700001,18.98,72400,18.802734
6/25/2019,18.92,18.969999,18.58,18.73,65900,18.555069
6/26/2019,18.76,18.77,18.51,18.73,48700,18.555069
6/27/2019,18.719999,18.92,18.51,18.82,60600,18.644228
6/28/2019,18.82,19.08,18.74,19.01,295200,18.832455
7/1/2019,19.07,19.219999,18.57,18.67,97400,18.49563
7/2/2019,18.73,18.870001,18.549999,18.84,42800,18.664042
7/3/2019,18.799999,18.969999,18.790001,18.950001,11700,18.773016
7/5/2019,18.809999,19.049999,18.66,19.02,49700,18.842361
7/8/2019,18.969999,18.969999,18.43,18.459999,39700,18.28759
7/9/2019,18.42,18.42,18.110001,18.23,47000,18.05974
7/10/2019,18.280001,18.59,18.209999,18.57,67700,18.396564
7/11/2019,18.559999,18.610001,18.26,18.379999,40300,18.208338
