Date,Open,High,Low,Close,Adj Close,Volume
5/1/2020,29,29.16,28.530001,28.91,28.91,489900
4/30/2020,30.299999,30.709999,29.26,29.73,29.73,907500
4/29/2020,31.469999,31.68,30.66,30.959999,30.959999,1061600
4/28/2020,30.99,31.93,30.309999,30.49,30.49,782500
4/27/2020,28.700001,30.02,28.700001,29.799999,29.799999,655600
4/24/2020,27.860001,28.879999,27.4,28.469999,28.469999,554300
4/23/2020,26.65,27.879999,26.360001,27.549999,27.549999,1014300
4/22/2020,28.049999,28.700001,26.360001,26.42,26.42,1219500
4/21/2020,28.190001,29.120001,27.32,27.440001,27.440001,886800
4/20/2020,29.860001,30.110001,29.01,29.41,29.41,1034400
4/17/2020,30.25,31.18,29.620001,30.610001,30.610001,1083500
4/16/2020,28.049999,29.1,27.08,28.82,28.82,1472100
4/15/2020,29.58,30.07,27.879999,28,28,1447500
4/14/2020,31.25,31.639999,30.790001,31.27,31.27,1340300
4/13/2020,32.34,32.59,30.24,30.440001,30.440001,911600
4/9/2020,31.59,33.919998,31.299999,32.490002,32.490002,1293700
4/8/2020,26.93,30.66,26.93,30.450001,30.450001,1189000
4/7/2020,26.129999,28.1,25.51,26.610001,26.610001,1475000
4/6/2020,23.030001,24.75,22.940001,23.99,23.99,929700
4/3/2020,23.870001,23.98,21.299999,21.76,21.76,1759000
4/2/2020,24.040001,24.879999,23.18,23.85,23.85,1567000
4/1/2020,24.49,25.639999,23.700001,23.93,23.93,850200
3/31/2020,28.43,28.790001,25.540001,25.790001,25.790001,876800
3/30/2020,25.51,29.049999,24.09,28.639999,28.639999,1092000
3/27/2020,27.75,27.91,25.620001,25.74,25.74,964900
3/26/2020,26.65,29.52,25.940001,29.08,29.08,1101200
3/25/2020,23.940001,27.549999,23.219999,26.01,26.01,1637700
3/24/2020,20.6,23.709999,19.98,23.67,23.67,1971200
3/23/2020,20.26,20.450001,18.01,19.35,19.35,1821000
3/20/2020,20.73,22.309999,19.870001,20.48,20.48,2286300
3/19/2020,20.58,21.15,17.42,20.379999,20.379999,2625900
3/18/2020,26.950001,26.950001,13.64,21,21,2995300
3/17/2020,30.52,30.799999,28.51,28.719999,28.719999,1418500
3/16/2020,31,31.17,30,30.049999,30.049999,1600800
3/13/2020,34.110001,34.599998,32.610001,34.560001,34.560001,1388900
3/12/2020,34.369999,35.27,32.200001,32.220001,32.220001,1462600
3/11/2020,37.490002,37.75,35.810001,36.25,36.25,914400
3/10/2020,37.779999,38.549999,36.82,38.360001,38.360001,724500
3/9/2020,38.959999,39.759998,37.07,37.07,36.869999,1221100
3/6/2020,40.860001,41.990002,40.700001,41.549999,41.325829,758900
3/5/2020,42.110001,42.610001,41.759998,42.07,41.843025,779300
3/4/2020,42.5,43.009998,42.110001,42.689999,42.459679,953800
3/3/2020,42.41,42.849998,41.459999,41.830002,41.604321,669300
3/2/2020,40.720001,42.610001,40.650002,42.529999,42.300541,1157200
2/28/2020,41.049999,42.130001,40.18,40.810001,40.589825,1604200
2/27/2020,42.459999,43.189999,41.529999,41.68,41.455128,667100
2/26/2020,43.869999,44.5,42.98,43.09,42.857521,410800
2/25/2020,45.389999,45.389999,43.650002,43.650002,43.414501,591500
2/24/2020,45.549999,45.700001,45.189999,45.34,45.095383,824000
2/21/2020,46.130001,46.439999,45.900002,46.299999,46.050201,293400
2/20/2020,46.09,46.290001,45.66,46.259998,46.010418,483400
2/19/2020,46.619999,46.639999,46.110001,46.119999,45.871174,437000
2/18/2020,46.650002,47.009998,46.209999,46.57,46.318745,402300
2/14/2020,47.18,47.279999,46.509998,46.73,46.477882,387700
2/13/2020,46.950001,47.299999,46.939999,47.240002,46.985134,376900
2/12/2020,47.880001,47.970001,46.98,47.07,46.816048,386200
2/11/2020,47.279999,47.779999,47.240002,47.650002,47.392921,419100
2/10/2020,46.77,47.209999,46.599998,47.16,46.905563,353300
2/7/2020,46.759998,47.130001,46.639999,46.860001,46.607182,239400
2/6/2020,47.48,47.709999,46.860001,46.860001,46.607182,374300
2/5/2020,46.720001,48.669998,46.43,47.330002,47.07465,592600
2/4/2020,46.880001,47.040001,46.299999,46.32,46.070095,314500
2/3/2020,46.049999,46.720001,46.049999,46.48,46.229233,450800
1/31/2020,46.689999,46.919998,45.82,45.84,45.592686,365100
1/30/2020,46.389999,47.040001,46.369999,46.959999,46.706642,242900
1/29/2020,47.060001,47.16,46.68,46.849998,46.597233,197500
1/28/2020,47.150002,47.32,46.900002,46.91,46.656914,268600
1/27/2020,46.98,47.380001,46.880001,46.900002,46.646969,350500
1/24/2020,48.240002,48.259998,47.470001,47.669998,47.412811,277100
1/23/2020,48.049999,48.290001,47.349998,48.220001,47.959846,327200
1/22/2020,48.529999,48.75,48.150002,48.27,48.009575,473500
1/21/2020,49.060001,49.209999,48.490002,48.529999,48.268169,388700
1/17/2020,48.959999,49.34,48.810001,49.27,49.004181,329600
1/16/2020,48.259998,48.98,48.259998,48.799999,48.536716,501500
1/15/2020,47.77,48.23,47.720001,47.849998,47.591839,501600
1/14/2020,47.93,48.27,47.75,47.939999,47.681355,777600
1/13/2020,48.040001,48.189999,47.790001,48.02,47.760925,625400
1/10/2020,48.59,48.740002,47.91,48,47.741032,418700
1/9/2020,48.439999,48.779999,48.330002,48.560001,48.298012,305700
1/8/2020,48.599998,48.939999,48.330002,48.349998,48.089142,336800
1/7/2020,49.139999,49.299999,48.59,48.59,48.32785,311500
1/6/2020,48.869999,49.290001,48.810001,49.290001,49.024075,478100
1/3/2020,48.610001,49.330002,48.599998,49.169998,48.904716,305800
1/2/2020,49.259998,49.470001,48.82,49.080002,48.815208,361900
12/31/2019,49.169998,49.439999,48.98,49.02,48.755527,296100
12/30/2019,49.040001,49.32,49.009998,49.150002,48.88483,296700
12/27/2019,49.290001,49.450001,48.990002,48.990002,48.725693,416500
12/26/2019,49.150002,49.630001,49.130001,49.209999,48.944504,481800
12/24/2019,48.939999,49.34,48.939999,49.169998,48.904716,317200
12/23/2019,49.490002,49.549999,48.830002,48.869999,48.606339,629800
12/20/2019,49.560001,50.18,49.380001,49.470001,49.203102,1414600
12/19/2019,49.560001,49.610001,49.290001,49.369999,49.103638,665600
12/18/2019,50.34,50.380001,49.700001,49.720001,49.451752,825300
12/17/2019,50.439999,50.77,50.290001,50.290001,50.018677,696000
12/16/2019,50.279999,50.759998,50.279999,50.509998,50.237488,624600
12/13/2019,50.169998,50.470001,50,50.18,49.909271,364900
12/12/2019,49.470001,50.439999,49.419998,50.310001,50.03857,518500
12/11/2019,49.389999,49.650002,49.330002,49.52,49.252831,499000
12/10/2019,49.209999,49.68,49.209999,49.549999,49.282669,398400
12/9/2019,49.279999,49.700001,49.279999,49.380001,49.113586,295600
12/6/2019,49.75,49.82,49.439999,49.470001,49.203102,449300
12/5/2019,49.330002,49.599998,49.220001,49.369999,49.103638,369800
12/4/2019,49.209999,49.490002,49.189999,49.279999,49.014126,454400
12/3/2019,48.919998,49.299999,48.669998,49.189999,48.92461,478500
12/2/2019,49.639999,49.740002,49.209999,49.25,48.984287,495100
11/29/2019,49.84,49.869999,49.619999,49.650002,49.38213,176300
11/27/2019,49.849998,49.849998,49.580002,49.830002,49.561161,299000
11/26/2019,49.27,49.75,49.189999,49.720001,49.451752,461800
11/25/2019,48.82,49.380001,48.740002,49.220001,48.954453,822300
11/22/2019,48.689999,48.82,48.25,48.68,48.417362,373900
11/21/2019,48.82,48.849998,48.450001,48.639999,48.377579,545500
11/20/2019,48.66,48.889999,48.419998,48.689999,48.427307,563700
11/19/2019,48.73,48.950001,48.540001,48.790001,48.526772,678900
11/18/2019,48.130001,48.759998,48.060001,48.689999,48.24828,894700
11/15/2019,48.43,48.59,48.27,48.310001,47.871731,524500
11/14/2019,48.23,48.43,48.110001,48.360001,47.921276,528200
11/13/2019,48.060001,48.450001,47.880001,48.310001,47.871731,416200
11/12/2019,47.740002,48.490002,47.57,48.299999,47.86182,682300
11/11/2019,48.009998,48.009998,46.91,47.57,47.138439,818400
