Date,Open,High,Low,Close,Adj Close,Volume
5/1/2020,12.31,12.9,11.58,11.7,11.7,556400
4/30/2020,13.28,13.33,12.61,13.14,13.14,392600
4/29/2020,13.25,14.09,13.23,13.67,13.67,375200
4/28/2020,12.13,12.77,11.9,12.69,12.69,542400
4/27/2020,10.96,11.75,10.78,11.63,11.63,773500
4/24/2020,10.6,11,10.5,10.87,10.87,312400
4/23/2020,10.44,10.93,10.41,10.6,10.6,428400
4/22/2020,10.98,11.01,10.41,10.5,10.5,491500
4/21/2020,10.7,10.94,10.46,10.64,10.64,462200
4/20/2020,11.33,11.47,10.86,10.88,10.88,251100
4/17/2020,11.61,12.19,11.49,11.62,11.62,468900
4/16/2020,11.53,11.53,10.85,11.15,11.15,422600
4/15/2020,11.57,11.74,11,11.62,11.62,363900
4/14/2020,12.67,13.04,12.03,12.27,12.27,618200
4/13/2020,12.57,12.57,11.9,12.25,12.25,535100
4/9/2020,12.58,13.02,12.15,12.73,12.73,565600
4/8/2020,11.31,11.87,11.02,11.68,11.68,508800
4/7/2020,11.42,12.2,10.76,11.04,11.04,493900
4/6/2020,9.97,11.04,9.93,10.87,10.87,569700
4/3/2020,9.69,9.87,9.07,9.45,9.45,684800
4/2/2020,9.74,10.43,9.51,9.8,9.8,606200
4/1/2020,10.65,10.76,9.9,9.93,9.93,738100
3/31/2020,12.14,12.3,11,11.22,11.22,695100
3/30/2020,12.29,12.34,11.61,12.19,12.19,543600
3/27/2020,11.58,12.81,11.34,12.21,12.21,475900
3/26/2020,12.04,12.39,11.51,12.02,12.02,823000
3/25/2020,10.73,12.27,10.41,12.03,12.03,992300
3/24/2020,9.38,10.79,9.38,10.61,10.61,953500
3/23/2020,8.74,8.94,8.32,8.79,8.79,637300
3/20/2020,9.41,9.81,8.4,8.84,8.84,1136700
3/19/2020,9.21,10.14,8.79,9.32,9.32,904000
3/18/2020,9.68,10.25,9.08,9.09,9.09,976800
3/17/2020,10.37,10.7,9.55,10.29,10.29,1340100
3/16/2020,12.61,12.64,10.08,10.1,10.1,948400
3/13/2020,13.4,13.7,12.32,13.44,13.44,1061500
3/12/2020,13.92,13.92,12.68,12.7,12.7,962000
3/11/2020,15.71,15.77,14.68,14.93,14.93,838600
3/10/2020,15.81,16.459999,15.34,16.049999,16.049999,1207100
3/9/2020,16.309999,16.85,15.44,15.44,15.44,635600
3/6/2020,16.940001,17.16,16.68,17.1,17.1,817200
3/5/2020,18.15,18.15,17.139999,17.450001,17.26,665600
3/4/2020,18.42,18.809999,18,18.48,18.278784,735000
3/3/2020,18.950001,19.42,18.18,18.25,18.051289,680500
3/2/2020,18.799999,19.120001,18.610001,19.01,18.803015,680500
2/28/2020,19.5,19.5,18.450001,18.799999,18.595299,995600
2/27/2020,21.379999,21.379999,19.84,19.889999,19.673431,712900
2/26/2020,21.809999,21.969999,21.48,21.48,21.246119,456800
2/25/2020,22.27,22.32,21.76,21.780001,21.542854,506900
2/24/2020,22.059999,22.49,22.059999,22.290001,22.0473,411000
2/21/2020,22.280001,22.51,22.040001,22.469999,22.22534,252600
2/20/2020,22.35,22.41,21.799999,22.25,22.007736,532900
2/19/2020,22.58,22.58,22.18,22.379999,22.13632,583100
2/18/2020,22.85,22.85,22.34,22.58,22.334143,467100
2/14/2020,22.74,23.15,22.690001,22.959999,22.710005,241300
2/13/2020,23,23.1,22.68,22.799999,22.551746,537700
2/12/2020,23.1,23.32,22.940001,23.030001,22.779243,14451500
2/11/2020,22.889999,23.290001,22.889999,23.1,22.84848,1017300
2/10/2020,23.01,23.200001,22.66,22.950001,22.700115,1565800
2/7/2020,21.75,21.790001,21.469999,21.51,21.275793,123000
2/6/2020,22.040001,22.08,21.709999,21.74,21.503288,184400
2/5/2020,22.110001,22.110001,21.93,22.01,21.77035,183600
2/4/2020,21.92,22.309999,21.92,21.969999,21.730783,219500
2/3/2020,21.860001,22.129999,21.73,21.82,21.582417,282600
1/31/2020,21.959999,22.08,21.75,21.860001,21.621983,360000
1/30/2020,21.719999,22.09,21.719999,22.030001,21.790133,248100
1/29/2020,21.969999,22.139999,21.83,21.85,21.612091,152300
1/28/2020,22,22.09,21.83,21.959999,21.720892,280200
1/27/2020,21.77,22.110001,21.65,21.969999,21.730783,214600
1/24/2020,22.030001,22.1,21.83,21.889999,21.651655,206500
