Date,Open,High,Low,Close,Adj Close,Volume
5/1/2020,9.5,9.5,9.13,9.33,9.33,5400
4/30/2020,10.08,10.08,9.42,9.48,9.48,10100
4/29/2020,9.79,9.96,9.51,9.86,9.86,14300
4/28/2020,9.49,9.74,9.4,9.47,9.47,6500
4/27/2020,9.6,9.6,9.26,9.49,9.49,6700
4/24/2020,9.25,9.45,9.05,9.3,9.3,7700
4/23/2020,9.28,9.55,9.16,9.24,9.24,4900
4/22/2020,9.66,9.94,9.35,9.42,9.42,10100
4/21/2020,9.14,9.45,9,9.18,9.18,1200
4/20/2020,9.36,9.94,9.21,9.56,9.56,2800
4/17/2020,9.25,9.72,9.07,9.68,9.68,6700
4/16/2020,9.6,9.72,9.48,9.48,9.48,5700
4/15/2020,9.5,9.71,9.46,9.6,9.6,14000
4/14/2020,9.5,10.17,9.5,9.99,9.99,12200
4/13/2020,9.84,9.84,9.13,9.13,9.13,2300
4/9/2020,9.14,10,9.06,9.41,9.41,17800
4/8/2020,8.99,9.25,8.86,8.88,8.88,10300
4/7/2020,8.88,9.35,8.75,8.8,8.8,18500
4/6/2020,8.59,8.6,8.2,8.47,8.47,18900
4/3/2020,8.37,8.47,7.95,8.4,8.4,8600
4/2/2020,8.16,8.47,7.75,7.87,7.87,18300
4/1/2020,8.17,8.37,7.86,7.86,7.86,6800
3/31/2020,8.4,8.5,8.07,8.5,8.5,15100
3/30/2020,7.95,8.65,7.92,8.3,8.3,26000
3/27/2020,8.08,8.26,7.93,8.03,8.03,9500
3/26/2020,7.94,8.46,7.94,8.27,8.27,26700
3/25/2020,7.45,8.22,7.3,7.71,7.71,16800
3/24/2020,7.79,8.3,7.45,7.57,7.57,24600
3/23/2020,7.4,8.15,7.34,7.4,7.4,10700
3/20/2020,7.72,7.82,7.4,7.5,7.5,9300
3/19/2020,7.68,8.54,7.1,7.65,7.65,31700
3/18/2020,7.7,8.43,7.28,7.41,7.41,20500
3/17/2020,9.01,9.01,8.35,8.45,8.45,8000
3/16/2020,8.73,9.42,8.26,8.27,8.27,67200
3/13/2020,10.05,10.28,9.37,9.55,9.55,18000
3/12/2020,10.56,10.56,9.2,9.65,9.65,56000
3/11/2020,10.55,10.77,10.27,10.71,10.71,13300
3/10/2020,11.77,11.77,10.38,10.78,10.78,14100
3/9/2020,11.02,11.98,10,10.43,10.43,27400
3/6/2020,12.14,12.46,11.75,11.99,11.99,40100
3/5/2020,11.85,12.42,11.77,12.42,12.42,14400
3/4/2020,12.1,12.46,11.62,12.46,12.46,10900
3/3/2020,12.34,12.34,11.85,12.01,12.01,3300
3/2/2020,12.01,12.71,12.01,12.32,12.32,5100
2/28/2020,10.96,12.38,10.96,12,12,17300
2/27/2020,12.4,12.62,11.21,11.4,11.4,32900
2/26/2020,13.24,13.27,12.5,12.52,12.52,67500
2/25/2020,13.52,13.55,13.03,13.12,13.12,18700
2/24/2020,13,13.53,12.61,13.45,13.45,21700
2/21/2020,13.35,13.43,13.25,13.32,13.32,6300
2/20/2020,13.34,13.55,13.11,13.41,13.41,8200
2/19/2020,13.6,13.6,13.3,13.3,13.3,4000
2/18/2020,13.28,13.56,13.15,13.5,13.5,16600
2/14/2020,13.5,13.55,13.22,13.28,13.28,35400
2/13/2020,13.75,13.8,13.39,13.52,13.52,24600
2/12/2020,13.65,13.86,13.65,13.79,13.79,18100
2/11/2020,13.36,13.65,13.36,13.59,13.59,18600
2/10/2020,13.78,13.89,13.31,13.62,13.62,16600
2/7/2020,13.49,14,13.08,14,14,23900
2/6/2020,13.75,13.85,13.5,13.51,13.51,13400
2/5/2020,13.85,13.88,13.56,13.77,13.77,8300
2/4/2020,13.65,13.87,13.55,13.7,13.7,9900
2/3/2020,13.59,13.8,13.5,13.52,13.52,6700
1/31/2020,13.82,13.96,13.52,13.7,13.7,17600
1/30/2020,13.72,14,13.5,13.54,13.54,14500
1/29/2020,14.2,14.23,13.59,13.8,13.8,52300
1/28/2020,14.11,14.29,14.1,14.25,14.25,8400
1/27/2020,14.2,14.47,14.11,14.2,14.2,21800
1/24/2020,14.32,14.38,13.88,14.22,14.22,8600
1/23/2020,14.39,14.67,13.78,14.21,14.21,30800
1/22/2020,14.52,14.7,14.21,14.48,14.48,13000
1/21/2020,14.51,14.66,14.13,14.64,14.64,11600
1/17/2020,14.62,14.7,14.25,14.7,14.7,22400
1/16/2020,14.4,14.7,14.38,14.7,14.7,6900
1/15/2020,14.05,14.62,14.05,14.48,14.48,26400
1/14/2020,14.02,14.08,13.95,14.08,14.08,7500
1/13/2020,14.03,14.04,13.87,14.02,14.02,15200
1/10/2020,14.12,14.12,13.89,13.92,13.92,13600
1/9/2020,13.93,14,13.8,13.96,13.96,7600
1/8/2020,14.16,14.18,13.88,13.95,13.95,17500
1/7/2020,14.32,14.35,14.02,14.02,14.02,9500
1/6/2020,14.17,14.44,14.15,14.25,14.25,38500
1/3/2020,14.15,14.47,14.15,14.25,14.25,9100
1/2/2020,13.98,14.4,13.98,14.29,14.29,4500
12/31/2019,13.93,14.1,13.93,14.05,14.05,6800
12/30/2019,14.03,14.19,13.81,14,14,20400
12/27/2019,14.28,14.28,14.09,14.12,14.12,11800
12/26/2019,14.33,14.44,14.08,14.44,14.44,4700
12/24/2019,14.54,14.54,14.22,14.22,14.22,1400
12/23/2019,14.17,14.33,13.99,14.31,14.31,3500
12/20/2019,14.4,14.49,14.26,14.26,14.26,13300
12/19/2019,14.54,14.54,14.34,14.45,14.45,5600
12/18/2019,14.5,14.72,14.36,14.44,14.44,6600
12/17/2019,14.65,14.66,14.46,14.46,14.46,7400
12/16/2019,14.64,14.89,14.52,14.63,14.63,11400
12/13/2019,14.6,14.98,14.27,14.36,14.36,17500
12/12/2019,14.65,15.27,14.46,14.46,14.46,37800
12/11/2019,14.55,14.63,14.5,14.63,14.63,4600
12/10/2019,14.15,14.58,14.15,14.58,14.58,4700
12/9/2019,14.55,14.73,14.1,14.1,14.1,30700
12/6/2019,14.54,14.75,14.36,14.4,14.4,9100
12/5/2019,14.53,14.84,14.4,14.65,14.65,18000
12/4/2019,14.02,14.65,13.92,14.34,14.34,63600
12/3/2019,13.93,14.03,13.79,13.79,13.79,14500
12/2/2019,13.87,14.04,13.82,13.95,13.95,11900
11/29/2019,13.88,13.93,13.85,13.93,13.93,2000
11/27/2019,13.94,13.98,13.81,13.93,13.93,10400
11/26/2019,13.9,14.02,13.89,13.99,13.99,8100
11/25/2019,14,14.06,13.94,13.97,13.97,15800
11/22/2019,14.03,14.1,13.91,13.97,13.97,35900
