Date,Open,High,Low,Close,Adj Close,Volume
5/1/2020,46.310001,46.470001,45.220001,45.52,45.52,28069800
4/30/2020,49.07,49.77,48.040001,48.560001,48.050003,28687000
4/29/2020,49.700001,50.650002,48.459999,50.259998,49.732143,32941100
4/28/2020,48.939999,49.59,46.93,47.209999,46.714176,28973300
4/27/2020,44.169998,46.82,43.73,46.560001,46.071007,30929200
4/24/2020,43,43.34,41.73,43.099998,42.647343,26310300
4/23/2020,42.650002,43.740002,42.259998,42.459999,42.014065,23970700
4/22/2020,43,43.119999,41.849998,42.240002,41.796379,21911600
4/21/2020,42.349998,43.110001,41.07,41.57,41.133411,35336200
4/20/2020,43.400002,45.439999,42.889999,44.009998,43.547787,33471900
4/17/2020,43.150002,45.619999,42.650002,45.450001,44.972664,41252900
4/16/2020,42.709999,42.84,40.099998,40.52,40.09444,37756000
4/15/2020,43.369999,44.27,42.610001,42.860001,42.409866,32249000
4/14/2020,47.66,47.740002,43.529999,45.419998,44.942978,40466200
4/13/2020,47.5,47.57,45.27,46.68,46.189747,27944300
4/9/2020,46.939999,49.220001,46.369999,47.41,46.912079,43659200
4/8/2020,42.849998,44.450001,41.970001,44.259998,43.795158,32944800
4/7/2020,44.810001,45.59,41.119999,41.25,40.816772,35220700
4/6/2020,39.799999,41.34,39.509998,41.119999,40.688137,30064700
4/3/2020,39,39.459999,36.669998,37.490002,37.096264,25327100
4/2/2020,38.360001,39.66,37.299999,39.23,38.817989,29532100
4/1/2020,39.139999,40.25,38,38.509998,38.105549,29219500
3/31/2020,43.630001,44.23,41.650002,42.119999,41.677635,26219100
3/30/2020,44.049999,44.259998,41.57,44.080002,43.617054,27459000
3/27/2020,44.130001,45.5,43,43.799999,43.339993,25484500
3/26/2020,43.68,46.290001,43,46.02,45.536678,31528600
3/25/2020,42.310001,44.700001,39.43,41.860001,41.420368,38211100
3/24/2020,37.650002,40.919998,37.34,40.66,40.232971,34100600
3/23/2020,37.549999,38.150002,34.619999,35.389999,35.018318,33013300
3/20/2020,40.459999,40.990002,37.200001,38.060001,37.660278,38163900
3/19/2020,35.470001,41.240002,34.200001,39.639999,39.223682,43397100
3/18/2020,37.060001,37.990002,32,36.43,36.047398,48351400
3/17/2020,42,43.98,38.799999,40.25,39.827274,51650000
3/16/2020,40.490002,45.23,39.57,41.189999,40.757401,35133800
3/13/2020,47.82,51.240002,45.310001,51.040001,50.503956,40519800
3/12/2020,45.299999,49,42.82,43.259998,42.80566,45941600
3/11/2020,53.950001,54.330002,50.02,50.790001,50.25658,36709000
3/10/2020,54.73,55.700001,51.5,55.580002,54.996277,32527500
3/9/2020,54.310001,55.610001,51,51.369999,50.830486,35625600
3/6/2020,60.459999,62.310001,59.740002,61.279999,60.63641,29916600
3/5/2020,64.800003,65.120003,63.009998,63.490002,62.8232,27277600
3/4/2020,66.050003,67.519997,64.360001,67.389999,66.682236,24188500
3/3/2020,67.860001,68.43,64.470001,65.050003,64.366821,29547700
3/2/2020,63.849998,67.610001,63.119999,67.589996,66.880135,29006400
2/28/2020,62,64.449997,61.34,63.459999,62.793514,46029800
2/27/2020,66.099998,66.889999,64.400002,64.449997,63.773113,34656800
2/26/2020,70.019997,70.610001,68.160004,68.18,67.463943,25552100
2/25/2020,72.629997,73.209999,69,69.43,68.700813,27451000
2/24/2020,73.379997,74.050003,72.440002,72.529999,71.768257,21096200
2/21/2020,77.559998,77.959999,76.150002,76.440002,75.637192,14020000
2/20/2020,77.660004,78.690002,77.309998,78.220001,77.398499,11763400
2/19/2020,77.870003,78.389999,77.620003,78.050003,77.230286,9145200
2/18/2020,78.610001,78.860001,77.510002,77.580002,76.765221,10343500
2/14/2020,78.889999,79.089996,78.449997,78.790001,77.962509,9056600
2/13/2020,78.889999,79.279999,78.620003,79,78.170303,8946200
2/12/2020,79.900002,80.769997,79.300003,79.330002,78.496841,9484100
2/11/2020,78.75,79.550003,78.639999,79.089996,78.259354,9437200
2/10/2020,78.080002,78.739998,78.050003,78.480003,77.655769,8418300
2/7/2020,78.129997,79.050003,78.059998,78.690002,77.863564,8341700
2/6/2020,79.800003,79.860001,78.400002,78.970001,78.140625,12826400
2/5/2020,77.919998,78.980003,77.809998,78.849998,78.021881,13070400
2/4/2020,76.75,77.269997,76.43,76.5,75.696564,12173200
2/3/2020,74.699997,76.209999,74.699997,75.129997,74.34095,11099200
1/31/2020,75.959999,76.18,73.910004,74.410004,73.628517,17101200
1/30/2020,75.739998,77.540001,75.5,77.43,76.112152,12498200
1/29/2020,77.540001,77.900002,76.410004,76.480003,75.178322,9478900
1/28/2020,77.209999,78.129997,76.779999,77.239998,75.925377,10960200
1/27/2020,76.260002,77,75.849998,76.709999,75.404404,15859600
1/24/2020,79.620003,79.669998,77.639999,78.419998,77.085297,15036100
1/23/2020,79.580002,80.080002,78.919998,79.800003,78.441818,11618200
1/22/2020,80.199997,80.480003,79.860001,80.099998,78.736702,8045600
1/21/2020,80.480003,80.910004,79.870003,79.900002,78.540108,10522000
1/17/2020,81.160004,81.400002,80.809998,81.120003,79.739349,12413100
1/16/2020,81.959999,82.129997,80.849998,81,79.621384,10426000
1/15/2020,81.730003,82.050003,80.730003,81.239998,79.8573,16063600
1/14/2020,81.199997,83.110001,80.970001,81.910004,80.5159,24971800
1/13/2020,79.5,80.720001,79,80.650002,79.277344,16566300
1/10/2020,80,80.010002,79.07,79.25,77.901169,10062100
1/9/2020,80.980003,80.980003,79.730003,80.080002,78.717049,12895900
1/8/2020,78.769997,80,78.68,79.360001,78.0093,11292400
1/7/2020,79.290001,79.300003,78.730003,78.760002,77.419518,10469100
1/6/2020,78.720001,79.550003,78.720001,79.449997,78.097771,10059500
1/3/2020,79.800003,80.519997,79.449997,79.699997,78.343513,12437400
1/2/2020,80.129997,81.260002,80.029999,81.230003,79.847481,12728900
12/31/2019,79.32,79.940002,79.099998,79.889999,78.530281,8031200
12/30/2019,80.150002,80.419998,79.339996,79.510002,78.156746,10084900
12/27/2019,80,80.18,79.580002,79.669998,78.314026,10867900
12/26/2019,78.75,79.839996,78.650002,79.830002,78.471306,11992800
12/24/2019,78.699997,78.940002,78.459999,78.589996,77.252403,4576200
12/23/2019,78.669998,78.970001,78.440002,78.760002,77.419518,9256500
12/20/2019,78.940002,79.050003,78.040001,78.510002,77.173775,32019400
12/19/2019,78,78.519997,77.940002,78.199997,76.869041,13006200
12/18/2019,77.699997,78.330002,77.660004,77.919998,76.593811,12643000
12/17/2019,77.290001,78.129997,77.129997,77.739998,76.41687,14409200
12/16/2019,77.360001,77.599998,76.900002,76.910004,75.600998,13967200
12/13/2019,77.050003,77.830002,76.059998,76.389999,75.089851,13447000
12/12/2019,75.809998,77.519997,75.620003,77.050003,75.738625,15829000
12/11/2019,76.120003,76.209999,75.5,75.550003,74.264153,10484900
12/10/2019,75.07,76.269997,74.870003,75.779999,74.490234,13019600
12/9/2019,75.18,75.919998,75.080002,75.330002,74.04789,8817100
12/6/2019,75.93,76.220001,75.599998,75.809998,74.519722,9877800
