Date,Open,High,Low,Close,Adj Close,Volume
5/1/2020,6.38,6.38,5.935,6.03,6.03,1572300
4/30/2020,6.76,7.125,6.47,6.62,6.62,2364200
4/29/2020,6.45,7.4,6.45,7.11,7.11,2785700
4/28/2020,6.38,6.73,6.225,6.52,6.52,2077600
4/27/2020,5.47,6.12,5.4,6,6,2824200
4/24/2020,5.32,5.475,5.055,5.39,5.39,1386900
4/23/2020,4.97,5.36,4.94,5.26,5.26,1527200
4/22/2020,5.27,5.4,4.83,4.93,4.93,2136900
4/21/2020,5,5.28,4.9,5.24,5.24,1559700
4/20/2020,5.12,5.46,5.02,5.26,5.26,1664100
4/17/2020,5.2,5.84,5.2,5.47,5.47,2613600
4/16/2020,5.16,5.16,4.79,4.96,4.96,2613500
4/15/2020,5.75,5.9,5.12,5.14,5.14,1426600
4/14/2020,6.71,6.71,5.99,6.1,6.1,1224700
4/13/2020,6.56,6.785,6.17,6.39,6.39,1686400
4/9/2020,6.12,6.73,6.08,6.6,6.6,2500600
4/8/2020,5.4,5.94,5.03,5.86,5.86,2980100
4/7/2020,5.25,5.66,5.03,5.21,5.21,3635800
4/6/2020,5.12,5.47,4.8,4.86,4.86,3092500
4/3/2020,5.61,5.7,4.63,4.77,4.77,3020600
4/2/2020,5.85,6.13,5.56,5.67,5.67,1903800
4/1/2020,6.24,6.39,5.85,5.94,5.94,1485100
3/31/2020,6.62,6.78,6.28,6.55,6.55,2391600
3/30/2020,6.98,7.08,6.375,6.68,6.68,1917300
3/27/2020,6.51,7.28,6.23,7.03,7.03,2986600
3/26/2020,6.3,7.07,6.22,6.89,6.89,2712000
3/25/2020,5.79,6.74,5.4,6.22,6.22,3183300
3/24/2020,5.47,5.775,5.28,5.68,5.68,3170200
3/23/2020,5.4,5.6,5,5.11,5.11,2442200
3/20/2020,5.9,6.25,5.38,5.47,5.47,3119100
3/19/2020,5.62,6.26,5.06,5.9,5.9,2640800
3/18/2020,6.88,7.17,5.2,5.58,5.58,2772200
3/17/2020,7.88,8.31,6.96,7.63,7.63,2651600
3/16/2020,7.76,8.18,7.4,7.59,7.59,3311600
3/13/2020,8.78,9.1,7.74,9.05,9.05,3530800
3/12/2020,8,8.59,7.52,7.98,7.98,3651100
3/11/2020,9.31,9.41,8.62,8.77,8.77,2876700
3/10/2020,9.48,9.73,8.4,9.73,9.73,3281700
3/9/2020,10.39,10.43,8.09,8.34,8.34,5136800
3/6/2020,12.35,12.77,11.89,12.06,12.06,2400600
3/5/2020,13.44,13.53,12.81,13.04,13.04,2113700
3/4/2020,13.75,14.04,13.45,14.04,14.04,1343500
3/3/2020,14.58,14.79,13.43,13.59,13.59,1955300
3/2/2020,14.16,14.59,13.9,14.57,14.57,2187600
2/28/2020,13.78,14.47,13.76,14.12,14.12,3043200
