Date,Open,High,Low,Close,Adj Close,Volume
5/1/2020,9.81,10.35,9.66,10.29,10.29,3776100
4/30/2020,10.01,10.27,9.9,9.96,9.96,2649100
4/29/2020,10.27,10.41,10.09,10.14,10.14,3028600
4/28/2020,10.11,10.41,9.85,10.17,10.17,2568000
4/27/2020,10.21,10.27,10.01,10.02,10.02,3187900
4/24/2020,9.97,10.34,9.95,10.18,10.18,5401400
4/23/2020,9.65,10.06,9.52,9.83,9.83,8223400
4/22/2020,9.57,9.69,9.39,9.54,9.54,3947800
4/21/2020,9.55,9.66,9.42,9.43,9.43,2398500
4/20/2020,9.74,9.9,9.59,9.71,9.71,3916900
4/17/2020,9.69,9.84,9.44,9.74,9.74,5461200
4/16/2020,9.54,9.85,9.48,9.69,9.69,4255300
4/15/2020,8.96,9.49,8.88,9.42,9.42,3202000
4/14/2020,9.3,9.57,9.06,9.25,9.25,3538400
4/13/2020,9.19,9.35,9.1,9.23,9.23,3369400
4/9/2020,9.09,9.38,9,9.27,9.27,2990600
4/8/2020,9.05,9.22,8.61,9,9,4222600
4/7/2020,9.04,9.54,8.9,9.02,9.02,6336800
4/6/2020,8.4,8.92,8.36,8.9,8.9,5311300
4/3/2020,8,8.56,7.8,8.55,8.55,7212800
4/2/2020,7.88,8.25,7.55,8.04,8.04,4377300
4/1/2020,7.54,7.92,7.36,7.75,7.75,3614400
3/31/2020,7.48,7.87,7.2,7.64,7.64,3925800
3/30/2020,6.95,7.41,6.72,7.38,7.38,5184000
3/27/2020,6.43,6.97,6.35,6.92,6.92,11271600
3/26/2020,6.46,6.66,6.07,6.64,6.64,10254600
3/25/2020,6.78,6.78,6.25,6.43,6.43,5953800
3/24/2020,6.66,6.76,6.14,6.7,6.7,3839200
3/23/2020,6.21,6.47,6.13,6.21,6.21,2347400
3/20/2020,6.14,6.48,6.1,6.3,6.3,3532800
3/19/2020,5.57,6.09,5.36,6.04,6.04,2604700
3/18/2020,6.09,6.37,5.3,5.5,5.5,3597600
3/17/2020,6.3,6.57,6.1,6.55,6.55,2726900
3/16/2020,6.01,6.35,5.82,6.25,6.25,3334900
3/13/2020,6.71,6.79,6.37,6.73,6.73,3651400
3/12/2020,6.5,6.68,6,6.44,6.44,3574200
3/11/2020,7.3,7.3,6.81,7.02,7.02,3079200
3/10/2020,7.47,7.5,6.91,7.43,7.43,3186100
3/9/2020,7.9,7.93,7.13,7.16,7.16,3910200
3/6/2020,8.61,8.62,8.35,8.48,8.48,2790300
3/5/2020,8.54,8.84,8.49,8.8,8.8,2274000
3/4/2020,8.8,8.87,8.67,8.7,8.7,3021700
3/3/2020,8.62,8.87,8.39,8.67,8.67,3224100
3/2/2020,8.71,8.75,8.33,8.61,8.61,3956300
2/28/2020,8.11,8.68,8,8.68,8.68,5378200
2/27/2020,8.36,8.46,8.14,8.31,8.31,2399500
2/26/2020,8.69,8.72,8.49,8.52,8.52,2215000
2/25/2020,8.87,8.88,8.59,8.6,8.6,2428000
2/24/2020,8.74,8.93,8.64,8.89,8.89,1968600
2/21/2020,9.03,9.08,8.89,9.04,9.04,1921900
2/20/2020,9.19,9.28,9.06,9.07,9.07,1563000
2/19/2020,9.31,9.37,9.21,9.21,9.21,1358600
2/18/2020,9.21,9.31,9.15,9.27,9.27,1805100
2/14/2020,9.31,9.4,9.24,9.24,9.24,1235800
2/13/2020,9.44,9.45,9.25,9.31,9.31,1418600
2/12/2020,9.3,9.59,9.26,9.5,9.5,3332200
2/11/2020,8.86,9.35,8.83,9.23,9.23,5107500
2/10/2020,8.51,8.83,8.42,8.8,8.8,3569900
2/7/2020,8.83,9.25,8.45,8.57,8.57,5158100
2/6/2020,8.8,8.8,8.53,8.65,8.65,1630200
2/5/2020,8.77,8.79,8.52,8.77,8.77,1994900
2/4/2020,8.44,8.73,8.44,8.7,8.7,2964900
2/3/2020,8.07,8.31,8,8.3,8.3,3442300
1/31/2020,8.29,8.34,8.05,8.07,8.07,3136200
1/30/2020,8.3,8.35,8.14,8.34,8.34,2823200
1/29/2020,8.35,8.4,8.29,8.38,8.38,1650400
1/28/2020,8.25,8.38,8.23,8.35,8.35,1668700
1/27/2020,8.26,8.31,8.12,8.23,8.23,2919000
1/24/2020,8.51,8.54,8.31,8.42,8.42,1976700
1/23/2020,8.55,8.57,8.47,8.54,8.54,1971200
1/22/2020,8.78,8.79,8.54,8.64,8.64,2829500
1/21/2020,8.85,8.87,8.65,8.75,8.75,2228500
1/17/2020,8.98,9,8.8,8.88,8.88,2078900
1/16/2020,8.84,8.97,8.79,8.9,8.9,1954900
1/15/2020,8.99,9.02,8.77,8.77,8.77,2249500
1/14/2020,9.11,9.18,8.9,8.99,8.99,1577600
1/13/2020,8.97,9.1,8.91,9.1,9.1,2014100
1/10/2020,8.65,9.04,8.65,8.95,8.95,3162100
1/9/2020,8.9,8.9,8.56,8.61,8.61,3278500
1/8/2020,9.01,9.12,8.9,8.9,8.9,1207500
1/7/2020,9.14,9.2,8.95,9.01,9.01,1974600
1/6/2020,9.1,9.34,9.03,9.2,9.2,3638900
1/3/2020,8.92,9.06,8.85,9.05,9.05,1945600
1/2/2020,8.9,8.96,8.85,8.94,8.94,1417200
12/31/2019,8.89,8.96,8.8,8.9,8.9,1492700
12/30/2019,8.83,8.97,8.81,8.9,8.9,1880200
12/27/2019,8.9,8.92,8.81,8.83,8.83,1561900
12/26/2019,8.9,9.01,8.86,8.92,8.92,1341000
12/24/2019,8.87,8.94,8.8,8.86,8.86,1062000
12/23/2019,8.62,8.88,8.62,8.85,8.85,3171300
12/20/2019,8.75,8.8,8.61,8.64,8.64,3928200
12/19/2019,8.7,8.85,8.68,8.8,8.8,1692900
12/18/2019,8.77,8.87,8.65,8.76,8.76,2138200
