Date,Open,High,Low,Close,Adj Close,Volume
5/1/2020,12.5,12.74,11.91,12.22,12.22,634000
4/30/2020,12.9,13.37,12.41,12.41,12.41,1013200
4/29/2020,13.61,14.36,12.905,13.14,13.14,1439400
4/28/2020,15.1,15.42,14.14,14.42,14.42,1481100
4/27/2020,14.6,15.5,14.3,14.55,14.55,1705900
4/24/2020,13.87,14.08,13.05,13.93,13.93,786400
4/23/2020,14,14.38,12.61,13.87,13.87,1246200
4/22/2020,13.69,13.865,12.75,13.77,13.77,887500
4/21/2020,13.81,14.53,12.67,13,13,1357800
4/20/2020,11.59,13.73,11.45,13.02,13.02,1767900
4/17/2020,10.75,11.39,10.49,11.25,11.25,455200
4/16/2020,10.5,10.83,10.39,10.8,10.8,491000
4/15/2020,10.31,10.65,9.962,10.38,10.38,436400
4/14/2020,10.47,10.77,10.206,10.58,10.58,282200
4/13/2020,10.8,11,10.01,10.27,10.27,477700
4/9/2020,9.51,10.41,8.71,10.39,10.39,730300
4/8/2020,9.56,10.18,9.39,9.46,9.46,407700
4/7/2020,9.94,9.94,8.62,9.21,9.21,913200
4/6/2020,9.58,9.84,9.06,9.65,9.65,615900
4/3/2020,9.4,9.92,9.09,9.15,9.15,480000
4/2/2020,11.5,11.526,8.9,9.83,9.83,742100
4/1/2020,11.44,12.38,10.95,11.41,11.41,570200
3/31/2020,12.06,12.141,11.29,11.81,11.81,407700
3/30/2020,12.25,12.72,11.06,12,12,907700
3/27/2020,10.85,11.86,10.55,11.4,11.4,625300
3/26/2020,10.25,11.09,10,11.06,11.06,517300
3/25/2020,10.53,10.94,9.89,10.15,10.15,382500
3/24/2020,10.25,10.58,9.57,10.53,10.53,690800
3/23/2020,9.79,10,8.749,9.79,9.79,541200
3/20/2020,9.53,10.09,9.16,9.6,9.6,1179200
3/19/2020,9.07,9.691,8.88,9.27,9.27,425500
3/18/2020,9.75,9.95,8.734,9.11,9.11,589700
3/17/2020,10.44,10.8,10.02,10.41,10.41,578900
3/16/2020,11,11.34,9.96,10.18,10.18,800800
3/13/2020,10.98,12.4,10.87,12.34,12.34,827100
3/12/2020,9.93,11.4,9.75,10.34,10.34,737800
3/11/2020,11.69,12.39,10.46,10.83,10.83,1115300
3/10/2020,10.69,11.89,10.551,11.61,11.61,1112100
3/9/2020,10.6,10.92,10.21,10.36,10.36,1375900
3/6/2020,9.92,10.15,9.53,10.09,10.09,697900
3/5/2020,9.82,10.1,9.06,9.61,9.61,843200
3/4/2020,10.17,10.57,9.94,10.33,10.33,486400
3/3/2020,10.84,10.93,9.92,10.18,10.18,433100
3/2/2020,10.35,10.84,10,10.79,10.79,517500
2/28/2020,9.56,10.365,9.53,10.3,10.3,485700
2/27/2020,9.15,10.01,8.85,9.8,9.8,641700
2/26/2020,9.41,9.72,9.11,9.4,9.4,433700
2/25/2020,9.47,9.592,9.25,9.37,9.37,460700
2/24/2020,9.79,9.87,9.41,9.53,9.53,701500
2/21/2020,10.33,10.39,10.01,10.16,10.16,313000
2/20/2020,10.61,10.845,10.26,10.42,10.42,408500
2/19/2020,10.47,10.83,10.16,10.67,10.67,247700
2/18/2020,10.81,10.94,10.28,10.47,10.47,468300
2/14/2020,10.9,11.02,10.31,10.53,10.53,263000
2/13/2020,11.25,11.28,10.53,10.91,10.91,286200
2/12/2020,11.21,11.65,11.1,11.28,11.28,439600
2/11/2020,10.54,11.2,10.54,11.02,11.02,575400
2/10/2020,10.21,10.47,10.06,10.45,10.45,291800
2/7/2020,10.8,10.8,10.19,10.27,10.27,579100
2/6/2020,11.56,11.62,10.69,10.91,10.91,417100
2/5/2020,11.2,11.68,11.2,11.54,11.54,276000
2/4/2020,11.36,11.5,11.04,11.08,11.08,473900
2/3/2020,11.06,11.43,10.92,11.08,11.08,314800
1/31/2020,11.36,11.48,10.97,11.08,11.08,495500
1/30/2020,11.76,11.77,11.06,11.59,11.59,540500
1/29/2020,11.62,11.96,11.62,11.88,11.88,426900
1/28/2020,11.87,12.19,11.58,11.62,11.62,446400
1/27/2020,11.73,11.99,11.42,11.85,11.85,384800
1/24/2020,12.7,12.74,11.92,12.08,12.08,533000
1/23/2020,13,13,12.26,12.67,12.67,493100
1/22/2020,13.45,13.451,12.84,13.15,13.15,328100
1/21/2020,13.68,13.875,13.32,13.41,13.41,459300
1/17/2020,13.75,14.26,13.697,13.73,13.73,486900
1/16/2020,13.98,14.04,13.5,13.68,13.68,929000
1/15/2020,14.48,14.5,13.87,13.97,13.97,677900
1/14/2020,15.21,15.65,14.42,14.6,14.6,668400
1/13/2020,15.31,15.34,14.58,15.17,15.17,442900
1/10/2020,16.360001,16.360001,15.08,15.2,15.2,590800
1/9/2020,16.059999,16.705999,15.81,16.35,16.35,410500
1/8/2020,16.959999,17.16,15.78,15.95,15.95,589500
1/7/2020,16.66,17.01,16.459999,16.74,16.74,267800
1/6/2020,16.700001,16.82,16.374001,16.620001,16.620001,450900
1/3/2020,16.780001,17.5,16.450001,16.66,16.66,558600
1/2/2020,16.76,17,16.620001,16.860001,16.860001,371600
12/31/2019,16.690001,17,16.610001,16.74,16.74,346200
12/30/2019,16.75,16.969999,16.549999,16.809999,16.809999,600900
12/27/2019,17.1,17.15,16.129999,16.43,16.43,284700
12/26/2019,16.84,17.25,16.82,17.059999,17.059999,636200
12/24/2019,16.889999,16.940001,16.559999,16.790001,16.790001,208200
12/23/2019,15.79,17.09,15.67,16.889999,16.889999,431400
12/20/2019,16.110001,16.15,15.49,15.67,15.67,512800
12/19/2019,15.39,16.190001,15.26,16.01,16.01,457100
12/18/2019,15.12,15.64,15.1,15.37,15.37,476300
12/17/2019,15.29,15.49,15.05,15.26,15.26,232700
12/16/2019,15.09,15.6,15.06,15.34,15.34,279500
12/13/2019,15.22,15.23,14.87,14.99,14.99,493500
12/12/2019,15.15,15.44,15.08,15.23,15.23,232500
12/11/2019,15.2,15.34,14.9,15.22,15.22,269200
12/10/2019,15.08,15.44,15.02,15.29,15.29,409900
12/9/2019,14.9,15.24,14.85,15,15,323500
12/6/2019,14.57,14.93,14.5,14.87,14.87,455800
12/5/2019,14.36,14.535,14.2,14.47,14.47,222400
12/4/2019,14.09,14.37,14.03,14.24,14.24,267900
12/3/2019,13.95,14.05,13.76,13.89,13.89,331000
12/2/2019,14.42,14.5,14.04,14.14,14.14,238300
11/29/2019,14.39,14.58,14.25,14.43,14.43,160400
11/27/2019,14.57,14.59,14.05,14.47,14.47,386300
11/26/2019,14.6,14.75,14.38,14.44,14.44,684800
11/25/2019,14.21,14.45,13.9,14.44,14.44,645400
11/22/2019,14.49,14.565,13.96,14.12,14.12,413500
11/21/2019,13.97,14.49,13.85,14.28,14.28,2907400
11/20/2019,14.9,15.58,14.78,15.28,15.28,249600
11/19/2019,14.75,15,14.52,14.94,14.94,227100
11/18/2019,15.29,15.47,14.76,14.85,14.85,131900
11/15/2019,15,15.69,15,15.51,15.51,159300
11/14/2019,14.56,15.29,14.56,14.97,14.97,224300
11/13/2019,14.18,15.17,14.15,14.56,14.56,409600
11/12/2019,15.2,16.059999,15.13,15.54,15.54,275100
11/11/2019,14.51,15.14,14.41,15,15,200100
11/8/2019,13.7,15.15,13.65,14.66,14.66,246300
11/7/2019,14.61,14.78,13.48,13.79,13.79,222700
11/6/2019,14.52,14.53,13.91,14.46,14.46,179600
11/5/2019,15.43,15.43,14.57,14.6,14.6,170200
11/4/2019,15.63,15.786,15.2,15.37,15.37,105500
11/1/2019,14.71,15.75,14.71,15.44,15.44,149700
10/31/2019,15.49,15.51,14.41,14.6,14.6,314200
10/30/2019,15.09,15.59,14.85,15.55,15.55,169700
10/29/2019,15.51,15.79,14.91,15.16,15.16,261100
10/28/2019,15.83,16.6,15.543,15.59,15.59,199400
10/25/2019,15.62,15.87,15.44,15.68,15.68,160100
10/24/2019,15.69,16.16,15.37,15.56,15.56,299300
10/23/2019,15.02,16.15,14.85,15.56,15.56,253200
10/22/2019,14.84,15.145,14.7,15.05,15.05,215600
10/21/2019,15.5,15.695,14.88,14.93,14.93,117900
10/18/2019,15.65,15.805,15.18,15.29,15.29,99600
10/17/2019,15.35,15.78,15.16,15.63,15.63,367900
10/16/2019,15.5,15.87,15.2,15.36,15.36,273800
10/15/2019,16.02,16.02,15.33,15.43,15.43,296700
10/14/2019,15.33,16.48,15.33,16,16,421000
10/11/2019,15.03,16.190001,15.03,15.33,15.33,845000
10/10/2019,14.92,14.965,14.3,14.59,14.59,681300
10/9/2019,15.15,15.89,14.93,15.01,15.01,695600
10/8/2019,13.89,15.29,13.8,15.07,15.07,958900
10/7/2019,12.31,13.89,12.242,13.86,13.86,367300
10/4/2019,11.44,12.27,11.44,12.27,12.27,446400
10/3/2019,11.29,11.39,11.07,11.28,11.28,493300
10/2/2019,11.52,11.53,11.28,11.38,11.38,204600
10/1/2019,11,11.96,11,11.52,11.52,307400
9/30/2019,11.01,11.28,10.88,11.02,11.02,409000
9/27/2019,11.03,11.15,10.725,10.83,10.83,119700
9/26/2019,10.53,11.03,10.53,10.94,10.94,193000
9/25/2019,10.27,10.48,10.02,10.45,10.45,210300
9/24/2019,10.86,10.89,10.26,10.27,10.27,134600
9/23/2019,10.96,11.1,10.658,10.82,10.82,134200
9/20/2019,11.21,11.429,10.99,11,11,815100
9/19/2019,11.39,11.48,11.091,11.18,11.18,185100
9/18/2019,11.09,11.48,11,11.35,11.35,278000
9/17/2019,11.32,11.585,11.09,11.13,11.13,372600
9/16/2019,12,12.3,11.37,11.39,11.39,214200
9/13/2019,11.92,12.12,11.67,11.96,11.96,144300
9/12/2019,11.53,12,11.351,11.79,11.79,155300
9/11/2019,11.37,11.87,11.32,11.58,11.58,187700
9/10/2019,11.13,11.94,11.13,11.34,11.34,107100
9/9/2019,10.92,11.28,10.92,11.15,11.15,127200
9/6/2019,10.98,11.19,10.89,10.95,10.95,182900
9/5/2019,10.98,11.19,10.91,10.95,10.95,414500
9/4/2019,10.81,11.08,10.81,10.88,10.88,142300
9/3/2019,10.75,10.81,10.44,10.75,10.75,110800
8/30/2019,10.83,11.02,10.71,10.9,10.9,77100
8/29/2019,10.91,10.98,10.72,10.79,10.79,66100
8/28/2019,10.45,10.79,10.45,10.65,10.65,47200
8/27/2019,10.81,10.81,10.38,10.47,10.47,96000
8/26/2019,10.71,10.81,10.4,10.72,10.72,106100
8/23/2019,10.49,10.83,10.45,10.6,10.6,148600
8/22/2019,11.01,11.03,10.57,10.57,10.57,45300
8/21/2019,10.94,11.13,10.68,11.01,11.01,198800
8/20/2019,11.1,11.14,10.75,10.79,10.79,121100
8/19/2019,10.47,11.04,10.47,10.98,10.98,176700
