Date,Open,High,Low,Close,Adj Close,Volume
5/1/2020,8.81,8.93,8.51,8.69,8.69,6283600
4/30/2020,9.12,9.29,8.82,9.08,9.08,7006900
4/29/2020,9.4,9.61,9.26,9.43,9.43,8747100
4/28/2020,9.24,9.46,8.87,9,9,6965200
4/27/2020,8.07,8.89,8.06,8.74,8.74,6190300
4/24/2020,8.07,8.14,7.77,8.01,8.01,4186600
4/23/2020,8,8.23,7.88,7.94,7.94,4259500
4/22/2020,7.9,8.16,7.76,7.87,7.87,5935500
4/21/2020,7.5,7.99,7.38,7.67,7.67,5853700
4/20/2020,7.62,8.18,7.47,7.96,7.96,6976800
4/17/2020,7.62,8.07,7.59,8.01,8.01,5879000
4/16/2020,7.78,7.83,7.06,7.2,7.2,5900600
4/15/2020,7.88,7.99,7.5,7.76,7.76,4328400
4/14/2020,9,9.09,8.09,8.34,8.34,6093600
4/13/2020,9.5,9.57,8.62,8.68,8.68,5961800
4/9/2020,8.96,9.68,8.93,9.5,9.5,7026800
4/8/2020,8.31,8.65,8.14,8.58,8.58,8645300
4/7/2020,8.41,8.87,8.02,8.09,8.09,8631100
4/6/2020,7.63,7.98,7.46,7.85,7.85,5432300
4/3/2020,7.63,7.73,7.03,7.18,7.18,6157400
4/2/2020,7.51,8.02,7.4,7.7,7.7,4604700
4/1/2020,7.57,7.72,7.25,7.43,7.43,5148000
3/31/2020,8.33,8.53,7.84,8.06,8.06,5608100
3/30/2020,8.37,8.49,7.98,8.43,8.43,6827300
3/27/2020,8.38,8.64,8.09,8.32,8.32,5094400
3/26/2020,8.26,9.18,8.15,8.86,8.86,11352900
3/25/2020,7.84,8.75,7.16,8.13,8.13,9611200
3/24/2020,7.29,7.65,7.05,7.65,7.65,6468700
3/23/2020,7.59,7.64,6.4,6.81,6.81,9422500
3/20/2020,8.63,8.98,7.57,7.72,7.72,9873100
3/19/2020,6.98,8.5,6.27,8.5,8.5,11029200
3/18/2020,8.25,8.46,6.39,7.18,7.18,9850900
3/17/2020,8.51,8.89,8.04,8.86,8.86,10759100
3/16/2020,8.79,9.22,8.32,8.32,8.32,7621300
3/13/2020,9.81,10.17,8.82,9.94,9.94,7767900
3/12/2020,8.86,10.11,8.38,8.85,8.85,9021600
3/11/2020,10.27,10.27,9.57,9.79,9.64,13932100
3/10/2020,10.74,10.93,9.68,10.6,10.43759,13924500
3/9/2020,11.71,12.5,9.98,10.1,9.945251,14793800
3/6/2020,12.64,13.08,12.45,12.63,12.436486,11075200
3/5/2020,13.4,13.6,13.01,13.16,12.958365,8814400
3/4/2020,13.78,13.93,13.25,13.91,13.696875,5965600
3/3/2020,14.03,14.19,13.38,13.63,13.421165,8372100
3/2/2020,13.51,14.09,13.25,14.05,13.83473,9465700
2/28/2020,13.52,13.66,13.09,13.33,13.125761,13026900
2/27/2020,14.42,14.75,13.91,13.93,13.716569,9218100
2/26/2020,15.24,15.28,14.69,14.78,14.553545,7282900
2/25/2020,15.8,15.83,15.06,15.07,14.839101,8161600
2/24/2020,15.52,15.85,15.52,15.8,15.557917,5678300
2/21/2020,16.01,16.15,15.86,16.08,15.833627,5081300
2/20/2020,15.8,16.23,15.8,16.139999,15.892707,5522800
2/19/2020,15.91,16.040001,15.85,15.9,15.656384,4416200
2/18/2020,16.08,16.16,15.7,15.82,15.57761,5586700
2/14/2020,16.639999,16.67,16.139999,16.16,15.9124,4244800
2/13/2020,16.549999,16.73,16.5,16.65,16.394894,2423600
2/12/2020,16.74,16.77,16.5,16.6,16.345659,3598100
2/11/2020,16.530001,16.66,16.48,16.620001,16.365355,3790400
2/10/2020,16.389999,16.469999,16.309999,16.440001,16.18811,2171500
2/7/2020,16.530001,16.66,16.43,16.450001,16.197958,3682800
2/6/2020,16.82,16.860001,16.620001,16.629999,16.375198,4647800
2/5/2020,16.450001,16.719999,16.43,16.709999,16.453974,5367900
2/4/2020,16.440001,16.530001,16.17,16.200001,15.951789,4409600
2/3/2020,16.15,16.34,16.110001,16.17,15.922248,2978100
1/31/2020,16.17,16.23,15.92,16,15.754852,3508100
1/30/2020,16.200001,16.34,16,16.280001,16.030563,2974800
1/29/2020,16.5,16.58,16.299999,16.32,16.069948,3423100
1/28/2020,16.42,16.43,16.24,16.370001,16.119184,4336800
1/27/2020,16.26,16.450001,16.209999,16.290001,16.040409,5512100
1/24/2020,17.02,17.08,16.370001,16.549999,16.296425,7288500
1/23/2020,17.120001,17.139999,16.940001,17.02,16.759224,6772600
1/22/2020,17.190001,17.219999,16.93,17.139999,16.877384,5001200
1/21/2020,17.25,17.4,17.08,17.09,16.828152,9314800
1/17/2020,17.01,17.34,16.83,17.27,17.005394,11315400
1/16/2020,16.26,16.58,16.209999,16.559999,16.306273,5045900
1/15/2020,16.27,16.389999,16.059999,16.18,15.932095,5398900
1/14/2020,16.219999,16.49,16.139999,16.389999,16.138876,3156000
1/13/2020,16.17,16.26,16.059999,16.24,15.991175,3611200
1/10/2020,16.18,16.299999,16.09,16.17,15.922248,5106300
1/9/2020,16.17,16.24,16.059999,16.18,15.932095,4523200
1/8/2020,16,16.15,15.93,16.049999,15.804086,3571600
1/7/2020,16.030001,16.1,15.86,15.95,15.705618,3019900
1/6/2020,16.059999,16.15,15.92,16.08,15.833627,4117800
1/3/2020,16.299999,16.34,16.09,16.24,15.991175,2888000
1/2/2020,16.709999,16.709999,16.35,16.52,16.266886,4120300
12/31/2019,16.58,16.67,16.5,16.559999,16.306273,3009700
12/30/2019,16.610001,16.639999,16.5,16.58,16.325966,2622100
12/27/2019,16.58,16.58,16.4,16.51,16.257038,1586600
12/26/2019,16.629999,16.639999,16.51,16.58,16.325966,1178200
12/24/2019,16.629999,16.629999,16.52,16.59,16.335814,791100
12/23/2019,16.780001,16.799999,16.57,16.59,16.335814,1900700
12/20/2019,16.76,16.879999,16.690001,16.76,16.503208,6864800
12/19/2019,16.700001,16.74,16.629999,16.73,16.473667,4557600
12/18/2019,16.690001,16.76,16.6,16.690001,16.43428,5173200
12/17/2019,16.440001,16.66,16.35,16.629999,16.375198,3805500
12/16/2019,16.540001,16.639999,16.4,16.42,16.168417,3963000
12/13/2019,16.450001,16.57,16.23,16.370001,16.119184,3653000
12/12/2019,16.139999,16.549999,16.110001,16.540001,16.286579,4184500
12/11/2019,16.26,16.34,16.18,16.200001,15.813934,4782300
12/10/2019,16,16.25,15.98,16.200001,15.813934,3683100
