Date,Open,High,Low,Close,Adj Close,Volume
5/1/2020,6.67,6.74,6.41,6.5,6.5,120221900
4/30/2020,6.56,6.82,6.41,6.8,6.8,175711100
4/29/2020,6.68,6.9,6.52,6.58,6.58,225228000
4/28/2020,6.57,6.92,6.57,6.8,6.8,140668600
4/27/2020,6.38,6.47,6.33,6.43,6.43,107038200
4/24/2020,6.59,6.6,6.25,6.26,6.26,155976800
4/23/2020,6.46,6.74,6.43,6.52,6.52,82796100
4/22/2020,6.59,6.64,6.4,6.43,6.43,76844100
4/21/2020,6.39,6.58,6.3,6.48,6.48,77453100
4/20/2020,6.61,6.75,6.46,6.51,6.51,99691600
4/17/2020,6.47,6.94,6.34,6.84,6.84,165907800
4/16/2020,6.48,6.54,6.2,6.24,6.24,165678200
4/15/2020,6.73,6.73,6.35,6.5,6.5,138220800
4/14/2020,7.1,7.24,6.84,6.93,6.93,107067200
4/13/2020,7.13,7.13,6.76,7.02,7.02,94074500
4/9/2020,7.45,7.54,7.09,7.14,7.14,128361800
4/8/2020,7.18,7.38,7.06,7.3,7.3,92650700
4/7/2020,7.69,7.75,7,7.03,7.03,96087800
4/6/2020,7.07,7.3,6.94,7.23,7.23,98048600
4/3/2020,7.03,7.05,6.58,6.73,6.73,97803300
4/2/2020,7.02,7.39,6.77,6.9,6.9,97498400
4/1/2020,7.52,7.55,7,7.04,7.04,99556900
3/31/2020,7.87,8.18,7.82,7.94,7.94,121149900
3/30/2020,7.54,7.94,7.35,7.89,7.89,86850200
3/27/2020,7.68,7.87,7.54,7.62,7.62,93299000
3/26/2020,7.63,8.3,7.51,8.12,8.12,123180900
3/25/2020,7.45,8,6.96,7.56,7.56,137886500
3/24/2020,6.66,7.06,6.47,7.01,7.01,119493800
3/23/2020,6.45,6.63,6.03,6.11,6.11,105631100
3/20/2020,7.01,7.05,6.45,6.52,6.52,126128700
3/19/2020,6.4,6.91,6.15,6.48,6.48,98993700
3/18/2020,6.51,6.8,5.9,6.6,6.6,138927000
3/17/2020,6.91,7.33,6.3,7.08,7.08,120226000
3/16/2020,6.99,7.15,6.65,6.66,6.66,115910700
3/13/2020,7.8,8.04,7.19,7.85,7.85,110144600
3/12/2020,7.23,7.78,6.83,7.23,7.23,157416100
3/11/2020,8.62,8.66,8.16,8.21,8.21,103402500
3/10/2020,8.78,8.85,8.16,8.85,8.85,98938900
3/9/2020,8.33,8.66,8.11,8.21,8.21,122400700
3/6/2020,9.74,9.76,9.18,9.4,9.4,148463500
3/5/2020,10.6,10.73,9.95,10.08,10.07,108087200
3/4/2020,11.06,11.12,10.7,10.95,10.939137,83063100
3/3/2020,11.25,11.38,10.67,10.88,10.869206,109249200
3/2/2020,11.21,11.34,10.76,11.21,11.198879,124802200
2/28/2020,9.95,11.19,9.86,10.88,10.869206,151373200
2/27/2020,10.62,10.95,10.31,10.39,10.379693,94250500
2/26/2020,11.37,11.54,10.8,10.95,10.939137,93118000
2/25/2020,11.97,12,11.18,11.32,11.308769,81087400
2/24/2020,11.69,12.06,11.6,11.86,11.848234,70978000
2/21/2020,12.45,12.46,12.22,12.25,12.237847,42921200
2/20/2020,12.65,12.68,12.41,12.53,12.51757,39561900
2/19/2020,12.7,12.94,12.59,12.61,12.597489,54878300
2/18/2020,12.71,12.95,12.67,12.75,12.737351,43963500
2/14/2020,12.97,13.07,12.75,12.83,12.817272,36967100
2/13/2020,13.08,13.16,12.9,12.94,12.927162,51012300
2/12/2020,12.95,13.26,12.88,13.16,13.146944,65712900
2/11/2020,12.95,12.98,12.78,12.85,12.837253,40882300
2/10/2020,12.84,12.97,12.77,12.91,12.897192,33495500
2/7/2020,13.02,13.09,12.81,12.83,12.817272,66636600
2/6/2020,12.94,13,12.83,12.95,12.937153,63613900
2/5/2020,12.76,12.86,12.57,12.86,12.847241,50073900
2/4/2020,12.49,12.62,12.39,12.58,12.56752,44385200
2/3/2020,12.46,12.68,12.25,12.26,12.247838,50399300
1/31/2020,12.68,12.74,12.34,12.45,12.437649,77984000
1/30/2020,12.89,12.99,12.5,12.73,12.717371,95469300
1/29/2020,12.57,13,12.49,12.94,12.927162,220689300
1/28/2020,11.52,11.82,11.47,11.73,11.718363,62928600
