Date,Open,High,Low,Close,Adj Close,Volume
5/1/2020,26.860001,27.200001,25.469999,26.17,26.17,404900
4/30/2020,29.09,29.83,28.16,28.23,28.23,359200
4/29/2020,27,30.309999,26.879999,29.75,29.75,640400
4/28/2020,25.440001,26.540001,24.969999,25.030001,25.030001,387900
4/27/2020,22.15,24.82,22.040001,24.16,24.16,371100
4/24/2020,22.6,22.6,21.09,22.120001,22.120001,315900
4/23/2020,21.690001,22.870001,19.75,22.18,22.18,520100
4/22/2020,21.309999,21.58,20.309999,21.370001,21.370001,305800
4/21/2020,20.209999,21.01,20.059999,20.33,20.33,313400
4/20/2020,19.809999,21.799999,19.629999,21.190001,21.190001,373900
4/17/2020,20.450001,21.940001,20.34,21.23,21.23,283300
4/16/2020,20.5,20.5,19.030001,19.799999,19.799999,252600
4/15/2020,21.040001,21.309999,19.719999,20.690001,20.690001,318000
4/14/2020,22.83,23.5,21.559999,21.940001,21.940001,321200
4/13/2020,24.02,24.67,20.99,21.82,21.82,320100
4/9/2020,24.139999,25.370001,21.790001,23.57,23.57,472500
4/8/2020,22.08,22.85,21.26,22.540001,22.540001,291300
4/7/2020,21.389999,22.969999,20.93,21.459999,21.459999,326500
4/6/2020,19.32,21.25,19.26,20.75,20.75,239100
4/3/2020,19.84,20.57,17.9,18.57,18.57,338900
4/2/2020,18.5,20.52,18.5,20.440001,20.440001,308300
4/1/2020,19.5,19.65,18.35,18.959999,18.959999,267500
3/31/2020,18.889999,21.379999,18.74,20.459999,20.459999,412300
3/30/2020,19.02,19.889999,18.040001,19.08,19.08,403000
3/27/2020,21.700001,22.09,19.09,19.209999,19.209999,310600
3/26/2020,23.26,25.17,22.190001,22.68,22.68,375100
3/25/2020,19.780001,23.370001,19,22.67,22.67,536400
3/24/2020,15.5,18.709999,15.38,18.67,18.67,357400
3/23/2020,14,14.64,12.56,14.51,14.51,330100
3/20/2020,15.23,16.66,13.36,13.7,13.7,769900
3/19/2020,12.57,15.91,11.81,14.58,14.58,485000
3/18/2020,18.09,18.559999,12.44,12.72,12.72,357100
3/17/2020,20.73,21.01,17.84,19.9,19.9,325200
3/16/2020,21.24,22.93,19.4,19.77,19.77,452800
3/13/2020,23.91,23.91,20.76,23.780001,23.780001,273600
3/12/2020,24.25,24.780001,21.610001,21.93,21.93,271200
3/11/2020,27.6,28.530001,25.799999,26.040001,26.040001,246600
3/10/2020,27.370001,29.299999,25.51,28.959999,28.959999,399400
3/9/2020,30.950001,30.950001,25.549999,25.940001,25.940001,271800
3/6/2020,31.35,32.540001,30.610001,31.879999,31.879999,234000
3/5/2020,34.119999,34.52,32.169998,32.740002,32.740002,253000
3/4/2020,36.380001,36.380001,34.759998,35.779999,35.779999,154800
3/3/2020,37.779999,38.630001,35.080002,35.59,35.59,186100
3/2/2020,36.860001,38.009998,35.23,38.009998,38.009998,321100
2/28/2020,35.66,37.880001,35.619999,36.68,36.68,315800
2/27/2020,36.110001,39.080002,33.66,37.43,37.43,456500
2/26/2020,38.950001,39.27,36.959999,37,37,354300
2/25/2020,40.029999,40.060001,38.049999,38.41,38.41,357600
2/24/2020,40.5,40.759998,39.509998,39.720001,39.720001,318200
2/21/2020,43.689999,43.689999,42.419998,42.740002,42.740002,153100
2/20/2020,44.330002,44.709999,43.77,44.130001,44.130001,129100
2/19/2020,43.939999,44.669998,43.490002,44.279999,44.279999,125600
2/18/2020,42.799999,43.91,42.150002,43.799999,43.799999,180900
2/14/2020,43.830002,44.25,42.700001,43.02,43.02,71200
2/13/2020,43.119999,44.119999,43.119999,43.849998,43.849998,95400
2/12/2020,43.560001,43.98,43,43.700001,43.700001,173500
2/11/2020,42.450001,43.259998,42.450001,42.919998,42.919998,112800
2/10/2020,41.82,42.150002,41.490002,42.09,42.09,67400
2/7/2020,42.669998,43.049999,41.650002,42.139999,42.139999,98500
2/6/2020,43.119999,43.650002,42.490002,43.150002,43.150002,142900
2/5/2020,42.560001,43.43,42.529999,42.810001,42.810001,129500
2/4/2020,40.779999,42.32,40.779999,41.77,41.77,173000
2/3/2020,40.310001,41.060001,39.740002,39.799999,39.799999,204000
1/31/2020,41.849998,42,39.799999,40.119999,40.119999,278800
1/30/2020,42.959999,43.459999,41.060001,42.34,42.34,215100
1/29/2020,44.360001,44.68,43.470001,43.650002,43.650002,243500
1/28/2020,43.360001,44.66,43.16,44.16,44.16,258600
1/27/2020,43.32,43.720001,42.759998,43,43,308600
1/24/2020,44.799999,44.830002,44.25,44.599998,44.599998,195300
1/23/2020,44.209999,44.970001,43.220001,44.779999,44.779999,196000
1/22/2020,44.77,44.77,43.459999,44.369999,44.369999,331600
1/21/2020,45.669998,45.919998,44.220001,44.369999,44.369999,240600
1/17/2020,46.27,46.759998,45.650002,45.959999,45.959999,284800
1/16/2020,45.75,46.549999,45.490002,45.919998,45.919998,161100
1/15/2020,44.759998,45.459999,44.389999,45.299999,45.299999,178400
1/14/2020,45.360001,46.040001,44.830002,44.950001,44.950001,260900
1/13/2020,45.91,45.91,45,45.349998,45.349998,211400
1/10/2020,47.84,48.110001,45.130001,45.580002,45.580002,242400
1/9/2020,47.73,48.290001,47.040001,47.82,47.82,138100
1/8/2020,47.580002,48.130001,47.290001,47.34,47.34,170000
1/7/2020,48.27,48.5,47.459999,47.540001,47.540001,132300
1/6/2020,47.900002,48.709999,47.490002,48.419998,48.419998,146400
1/3/2020,48.59,49.209999,48.130001,48.73,48.73,133700
1/2/2020,49.540001,49.630001,48.48,49.34,49.34,143400
12/31/2019,49.41,49.970001,48.939999,48.939999,48.939999,127000
12/30/2019,49.290001,49.869999,48.810001,49.689999,49.689999,110200
12/27/2019,49.959999,50.080002,49.029999,49.139999,49.139999,81500
12/26/2019,49.990002,50.459999,49.25,49.73,49.73,64200
12/24/2019,50.049999,50.200001,49.630001,49.98,49.98,48500
12/23/2019,50.130001,50.189999,49.529999,49.82,49.82,113600
12/20/2019,50.240002,50.43,49.860001,50.09,50.09,183800
12/19/2019,50.290001,50.5,49.75,50.049999,50.049999,161300
12/18/2019,49.720001,50.52,49.060001,50.389999,50.389999,325600
12/17/2019,49.580002,49.580002,48.810001,49.450001,49.450001,272400
12/16/2019,49.18,49.52,48.68,49.259998,49.259998,164600
12/13/2019,48.610001,49.040001,47.450001,48.580002,48.580002,163100
12/12/2019,46.740002,48.880001,46.459999,48.689999,48.689999,329000
12/11/2019,45.830002,46.75,45.810001,46.73,46.73,137500
12/10/2019,46.189999,46.34,45.630001,45.880001,45.880001,104300
12/9/2019,46.41,47.299999,46.27,46.290001,46.290001,157500
12/6/2019,46.689999,47.389999,46.400002,46.810001,46.810001,142000
12/5/2019,45.380001,46.09,45.290001,45.700001,45.700001,91000
12/4/2019,43.849998,46.169998,43.849998,45.310001,45.310001,133500
12/3/2019,44.5,45.27,44.18,45.029999,45.029999,147300
12/2/2019,46.75,47.290001,45.560001,45.709999,45.709999,153400
11/29/2019,47.060001,47.5,46.700001,46.759998,46.759998,88200
11/27/2019,47.439999,47.68,46.93,47.16,47.16,150000
11/26/2019,46.900002,47.349998,46.669998,47.25,47.25,123200
11/25/2019,46.549999,47.450001,46.16,47.200001,47.200001,137200
11/22/2019,46.689999,47.029999,45.950001,46.18,46.18,195200
11/21/2019,46.650002,46.82,45.57,46.580002,46.580002,334900
11/20/2019,48.009998,48.209999,46,46.209999,46.209999,216900
11/19/2019,49.240002,49.650002,48.150002,48.52,48.52,249400
11/18/2019,49.619999,49.810001,48.790001,48.889999,48.889999,294500
11/15/2019,50.220001,50.5,49.759998,49.98,49.98,128100
11/14/2019,49.580002,50.209999,49.130001,49.759998,49.759998,161000
11/13/2019,49.5,50.299999,49.450001,49.740002,49.740002,222000
11/12/2019,50.5,50.810001,49.650002,50.009998,50.009998,160000
11/11/2019,49.240002,50.630001,48.98,50.369999,50.369999,208700
11/8/2019,49.57,50.41,48,49.970001,49.970001,249200
11/7/2019,50.330002,50.75,49.41,49.860001,49.860001,294300
11/6/2019,49.779999,49.790001,48.669998,49.509998,49.509998,629900
11/5/2019,48.540001,50.16,48.5,50,50,274900
11/4/2019,46.560001,48.259998,46.110001,48.259998,48.259998,244500
11/1/2019,44.830002,46.419998,44.439999,45.75,45.75,282800
10/31/2019,45.009998,45.110001,43.540001,44.259998,44.259998,183200
10/30/2019,45.650002,45.77,44.869999,45.279999,45.279999,212400
10/29/2019,43.869999,46.110001,43.869999,45.66,45.66,220500
10/28/2019,44.549999,44.98,43.57,43.990002,43.990002,279100
10/25/2019,42.689999,44.560001,42.290001,44.07,44.07,287800
10/24/2019,43.939999,44.25,42.049999,42.540001,42.540001,454600
10/23/2019,42.360001,46.990002,41.68,44.060001,44.060001,527700
10/22/2019,47.360001,47.669998,46,47.16,47.16,192800
10/21/2019,47.029999,48.240002,46.43,47.290001,47.290001,202700
10/18/2019,45.98,46.990002,45.599998,46.709999,46.709999,343500
10/17/2019,43.5,46.41,43.5,46.41,46.41,271600
10/16/2019,44,44.48,43.470001,43.610001,43.610001,234400
10/15/2019,43.380001,44.52,43.009998,43.970001,43.970001,244800
10/14/2019,43.860001,44.18,43.099998,43.439999,43.439999,181000
10/11/2019,43.860001,45.5,43.689999,44.41,44.41,230800
10/10/2019,41.139999,42.580002,40.970001,42.369999,42.369999,162100
10/9/2019,40,41.18,39.52,40.84,40.84,313300
10/8/2019,41.299999,41.299999,39.369999,39.759998,39.759998,475300
10/7/2019,42.259998,43.27,41.619999,42.279999,42.279999,161300
10/4/2019,41.68,42.68,41.259998,42.59,42.59,184200
10/3/2019,40.639999,41.490002,39.740002,41.48,41.48,275200
10/2/2019,42.759998,42.759998,40.099998,41,41,476400
10/1/2019,47.029999,47.759998,43.310001,43.470001,43.470001,273600
9/30/2019,46.360001,47.02,45.669998,46.509998,46.509998,287300
9/27/2019,47.529999,47.82,46.27,46.450001,46.450001,137200
9/26/2019,45.790001,47.689999,45.740002,47.27,47.27,164500
9/25/2019,46.91,49,46.91,48.82,48.82,199300
9/24/2019,49.07,49.59,46.830002,46.990002,46.990002,217600
9/23/2019,48.490002,49.880001,48.439999,49.09,49.09,129500
9/20/2019,47.02,49.990002,46.59,49.02,49.02,599100
9/19/2019,47.009998,47.119999,45.09,45.209999,45.209999,231700
9/18/2019,47.009998,47.119999,45.939999,47.080002,47.080002,216000
9/17/2019,47.380001,47.799999,46.709999,47.34,47.34,125700
9/16/2019,48.439999,48.720001,47.5,47.869999,47.869999,174900
9/13/2019,48.02,49.240002,46.900002,49,49,358000
9/12/2019,46.150002,48.09,46.139999,47.75,47.75,375100
9/11/2019,44.669998,46.27,43.869999,46.060001,46.060001,202800
9/10/2019,43.34,45.299999,42.84,44.529999,44.529999,268100
9/9/2019,41.41,43.700001,41.41,43.509998,43.509998,228100
9/6/2019,41.529999,42.009998,41.130001,41.130001,41.130001,151600
9/5/2019,40.709999,42.310001,40.349998,41.529999,41.529999,298700
9/4/2019,40.610001,40.709999,39.66,39.75,39.75,153400
9/3/2019,40.689999,41.099998,39.450001,39.98,39.98,187300
8/30/2019,41.240002,41.900002,40.560001,41.279999,41.279999,145100
8/29/2019,39.209999,41.27,39.209999,40.740002,40.740002,200700
8/28/2019,37.540001,38.77,37,38.509998,38.509998,295800
8/27/2019,40.200001,40.490002,37.799999,37.869999,37.869999,189900
8/26/2019,39.450001,40.07,38.900002,39.91,39.91,172100
8/23/2019,41.169998,41.169998,38.48,38.650002,38.650002,280300
8/22/2019,42.509998,42.82,41.689999,41.720001,41.720001,102400
8/21/2019,42.25,43.07,41.720001,42.299999,42.299999,171100
8/20/2019,41.25,41.869999,40.73,41.610001,41.610001,132100
8/19/2019,41.470001,42.169998,38.73,41.540001,41.540001,312800
8/16/2019,39.779999,40.740002,39.779999,40.439999,40.439999,139500
8/15/2019,39.380001,39.630001,38.73,39.380001,39.380001,246300
8/14/2019,39.279999,39.919998,38.66,39.25,39.25,265600
8/13/2019,39.700001,41.860001,39.279999,40.470001,40.470001,186600
8/12/2019,41.700001,41.700001,39.849998,40.119999,40.119999,123900
8/9/2019,43.049999,43.049999,41.610001,42.09,42.09,132600
8/8/2019,41.709999,43.27,41.709999,43,43,190700
8/7/2019,39.950001,41.48,39.049999,41.450001,41.450001,198500
8/6/2019,41.5,41.93,40.419998,40.650002,40.650002,366400
8/5/2019,40.98,41.599998,40.009998,41.25,41.25,220600
8/2/2019,46,46.09,42.049999,42.709999,42.709999,275700
8/1/2019,44.830002,48.669998,43.5,45.84,45.84,549800
7/31/2019,45.939999,46.990002,44.889999,45.139999,45.139999,253600
7/30/2019,44.849998,46.18,44.540001,46.060001,46.060001,215400
7/29/2019,44.849998,45.470001,44.09,45.400002,45.400002,163500
7/26/2019,43.700001,45.200001,43.700001,44.91,44.91,213600
7/25/2019,43.66,44.189999,42.73,43.77,43.77,262500
7/24/2019,41.82,44.009998,41.630001,43.68,43.68,269800
7/23/2019,40.650002,42.299999,40.650002,42.080002,42.080002,199700
7/22/2019,40.549999,40.939999,39.919998,40.580002,40.580002,245800
7/19/2019,40.93,41.299999,40.139999,40.32,40.32,296400
7/18/2019,42.419998,42.419998,40.75,40.91,40.91,452900
7/17/2019,44.650002,45.02,42.939999,42.98,42.98,241400
7/16/2019,44.68,45.459999,44.009998,44.990002,44.990002,394100
7/15/2019,45.330002,45.330002,44.07,44.709999,44.709999,135800
7/12/2019,43.470001,45.509998,43.470001,45.200001,45.200001,135200
7/11/2019,42.68,43.75,42.259998,43.25,43.25,151800
7/10/2019,43.709999,43.869999,42.259998,42.610001,42.610001,192200
7/9/2019,43.43,43.720001,42.66,43.360001,43.360001,129600
7/8/2019,44.529999,44.790001,43.709999,43.759998,43.759998,130000
7/5/2019,44.09,44.959999,43.849998,44.880001,44.880001,89400
7/3/2019,45.009998,45.009998,43.98,44.369999,44.369999,77400
7/2/2019,46.259998,46.529999,44.18,44.610001,44.610001,185800
7/1/2019,47.060001,47.200001,45.869999,46.34,46.34,196400
6/28/2019,45.849998,46.77,45.529999,45.830002,45.830002,960000
6/27/2019,44.68,45.98,44.400002,45.91,45.91,201500
6/26/2019,44.209999,45.099998,44.119999,44.470001,44.470001,138700
6/25/2019,42.919998,44.110001,42.169998,43.810001,43.810001,188700
6/24/2019,43.720001,44.330002,42.91,42.939999,42.939999,203100
6/21/2019,43.849998,44.720001,42.970001,43.900002,43.900002,190800
6/20/2019,42.98,44.75,42.549999,44.049999,44.049999,218600
6/19/2019,41.669998,42.310001,40.970001,41.990002,41.990002,194600
