Date,Open,High,Low,Close,Adj Close,Volume
5/1/2020,9.25,9.26,9.25,9.25,9.25,2700
4/30/2020,9.42,9.43,9.42,9.43,9.43,400
4/29/2020,9.4,9.5,9.4,9.46,9.46,5800
4/28/2020,9.42,9.42,9.42,9.42,9.42,0
4/27/2020,9.42,9.42,9.42,9.42,9.42,300
4/24/2020,9.49,9.49,9.49,9.49,9.49,1000
4/23/2020,9.49,9.5,9.39,9.49,9.49,800
4/22/2020,9.37,9.37,9.32,9.32,9.32,600
4/21/2020,9.29,9.33,9.29,9.33,9.33,900
4/20/2020,9.11,9.31,8.91,9.31,9.31,4000
4/17/2020,9.02,9.14,8.92,9.13,9.13,1900
4/16/2020,8.99,9.13,8.67,8.67,8.67,3700
4/15/2020,9.01,9.04,8.88,8.95,8.95,2400
4/14/2020,9.14,9.14,9.09,9.09,9.09,700
4/13/2020,9.21,9.26,9.14,9.14,9.14,1900
4/9/2020,9.33,9.33,9.21,9.21,9.21,6200
4/8/2020,9.31,9.33,9.21,9.33,9.33,900
4/7/2020,8.99,9.34,8.99,9.34,9.34,1900
4/6/2020,9.22,9.26,8.81,9.01,9.01,4600
4/3/2020,9.2,9.2,8.78,8.78,8.78,700
4/2/2020,8.94,9.25,8.94,9.05,9.05,4400
4/1/2020,8.71,8.82,8.59,8.8,8.8,2900
3/31/2020,8.74,9.22,8.55,8.55,8.55,15200
3/30/2020,7.96,8.64,7.65,7.65,7.65,2800
3/27/2020,7,7.09,6.92,6.93,6.93,87800
3/26/2020,6.86,6.96,6.79,6.79,6.79,6700
3/25/2020,7,7,6.77,6.77,6.77,4200
3/24/2020,6.85,6.91,6.62,6.62,6.62,3600
3/23/2020,7.14,7.14,6.4,6.62,6.62,6100
3/20/2020,7.24,7.28,7.1,7.1,7.1,2600
3/19/2020,7.97,7.99,7.97,7.99,7.99,600
3/18/2020,7.62,7.89,6.06,7.75,7.75,3700
3/17/2020,8.43,8.51,8.17,8.49,8.49,3700
3/16/2020,8.23,8.74,7.89,8.59,8.59,2100
3/13/2020,8.86,8.86,8.36,8.76,8.76,3000
3/12/2020,8.88,8.88,8.17,8.6,8.6,17200
3/11/2020,9.65,9.7,9.5,9.5,9.5,1200
3/10/2020,9.94,9.94,9.94,9.94,9.94,200
3/9/2020,9.9,9.9,9.55,9.55,9.55,1300
