Date,Open,High,Low,Close,Adj Close,Volume
5/1/2020,0.95,1.01,0.9,1,1,1101500
4/30/2020,1.05,1.05,0.95,0.96,0.96,823400
4/29/2020,0.93,1.06,0.92,1.03,1.03,1625300
4/28/2020,0.93,0.95,0.89,0.92,0.92,817600
4/27/2020,0.88,0.94,0.87,0.92,0.92,943600
4/24/2020,0.92,0.92,0.85,0.87,0.87,958400
4/23/2020,0.88,0.97,0.87,0.9,0.9,691600
4/22/2020,0.86,0.92,0.85,0.88,0.88,793400
4/21/2020,0.87,0.89,0.83,0.86,0.86,687300
4/20/2020,0.91,0.99,0.89,0.9,0.9,571600
4/17/2020,0.86,0.98,0.85,0.96,0.96,1006600
4/16/2020,0.87,0.89,0.8,0.83,0.83,428500
4/15/2020,0.89,0.9,0.84,0.85,0.85,776800
4/14/2020,0.92,0.97,0.89,0.93,0.93,701400
4/13/2020,0.95,0.95,0.86,0.89,0.89,636900
4/9/2020,0.88,0.94,0.85,0.94,0.94,1059300
4/8/2020,0.75,0.85,0.73,0.83,0.83,950700
4/7/2020,0.74,0.78,0.71,0.73,0.73,611000
4/6/2020,0.7,0.75,0.69,0.71,0.71,800800
4/3/2020,0.7,0.77,0.7,0.7,0.7,748500
4/2/2020,0.75,0.8,0.6,0.71,0.71,1115200
4/1/2020,0.8,0.8,0.73,0.75,0.75,535900
3/31/2020,0.79,0.83,0.75,0.8,0.8,1486500
3/30/2020,0.81,0.81,0.73,0.8,0.8,673800
3/27/2020,0.82,0.82,0.72,0.78,0.78,1066400
3/26/2020,0.81,0.87,0.77,0.81,0.81,1188900
3/25/2020,0.92,0.96,0.78,0.79,0.79,1517400
3/24/2020,0.98,0.98,0.9,0.96,0.96,979300
3/23/2020,0.95,0.95,0.88,0.9,0.9,473700
3/20/2020,1,1.04,0.88,0.98,0.98,1070200
3/19/2020,0.78,0.98,0.78,0.96,0.96,713400
3/18/2020,1.04,1.06,0.76,0.77,0.77,1027800
3/17/2020,1.12,1.13,1,1.11,1.11,779600
3/16/2020,1.07,1.15,1.03,1.09,1.09,575800
3/13/2020,1,1.15,0.97,1.15,1.15,854900
3/12/2020,1,1.06,0.91,0.92,0.92,1397000
3/11/2020,1.26,1.27,1.07,1.14,1.14,988000
3/10/2020,1.29,1.31,1.17,1.29,1.29,587800
3/9/2020,1.44,1.44,1.22,1.23,1.23,995200
3/6/2020,1.65,1.67,1.49,1.53,1.53,683700
3/5/2020,1.78,1.81,1.65,1.69,1.69,770600
3/4/2020,1.81,1.83,1.7,1.83,1.83,510900
3/3/2020,1.8,1.88,1.68,1.79,1.79,992500
3/2/2020,1.78,1.8,1.69,1.72,1.72,508300
2/28/2020,1.73,1.81,1.7,1.77,1.77,953900
2/27/2020,1.82,1.88,1.72,1.81,1.81,839900
2/26/2020,1.96,1.99,1.87,1.89,1.89,456200
2/25/2020,2.09,2.09,1.86,1.91,1.91,933300
2/24/2020,2.09,2.1,2,2.07,2.07,573900
2/21/2020,2.14,2.16,2.12,2.13,2.13,400900
2/20/2020,2.12,2.15,2.05,2.14,2.14,644600
2/19/2020,2.13,2.15,2.1,2.11,2.11,518700
2/18/2020,2.14,2.14,2.08,2.1,2.1,301400
2/14/2020,2.18,2.2,2.11,2.14,2.14,567300
2/13/2020,2.23,2.23,2.17,2.19,2.19,376600
2/12/2020,2.18,2.26,2.15,2.24,2.24,711400
2/11/2020,2.15,2.19,2.1,2.15,2.15,495100
2/10/2020,2.19,2.25,2.14,2.14,2.14,800800
2/7/2020,2.26,2.32,2.2,2.2,2.2,1093600
2/6/2020,2.42,2.45,2.26,2.26,2.26,848700
2/5/2020,2.28,2.42,2.28,2.41,2.41,863500
2/4/2020,2.3,2.35,2.27,2.28,2.28,373800
2/3/2020,2.41,2.42,2.26,2.28,2.28,667800
1/31/2020,2.36,2.39,2.33,2.38,2.38,791100
1/30/2020,2.28,2.38,2.21,2.36,2.36,1330100
1/29/2020,2.25,2.32,2.25,2.29,2.29,418800
1/28/2020,2.2,2.27,2.18,2.26,2.26,1028000
1/27/2020,2.2,2.21,2.17,2.19,2.19,590400
1/24/2020,2.31,2.31,2.19,2.21,2.21,667100
1/23/2020,2.32,2.34,2.27,2.31,2.31,501000
1/22/2020,2.38,2.38,2.3,2.35,2.35,557800
1/21/2020,2.39,2.42,2.36,2.41,2.41,672000
1/17/2020,2.38,2.4,2.34,2.38,2.38,1616500
1/16/2020,2.32,2.43,2.31,2.35,2.35,1551600
1/15/2020,2.33,2.33,2.27,2.3,2.3,510300
1/14/2020,2.31,2.34,2.29,2.29,2.29,762000
1/13/2020,2.3,2.35,2.28,2.32,2.32,791600
1/10/2020,2.33,2.35,2.21,2.3,2.3,1136000
1/9/2020,2.43,2.44,2.35,2.37,2.37,471300
1/8/2020,2.55,2.56,2.41,2.42,2.42,726800
1/7/2020,2.57,2.63,2.55,2.59,2.59,607100
1/6/2020,2.61,2.66,2.57,2.59,2.59,952700
1/3/2020,2.67,2.7,2.61,2.65,2.65,670500
1/2/2020,2.71,2.74,2.68,2.72,2.72,503200
12/31/2019,2.61,2.72,2.6,2.71,2.71,607800
12/30/2019,2.56,2.65,2.55,2.61,2.61,753200
12/27/2019,2.63,2.69,2.53,2.55,2.55,888500
12/26/2019,2.65,2.7,2.62,2.66,2.66,708600
12/24/2019,2.67,2.73,2.64,2.65,2.65,523300
12/23/2019,2.63,2.68,2.58,2.68,2.68,1140700
12/20/2019,2.55,2.67,2.53,2.67,2.67,1661700
12/19/2019,2.43,2.57,2.42,2.55,2.55,796000
12/18/2019,2.37,2.4,2.31,2.39,2.39,1301300
12/17/2019,2.38,2.41,2.29,2.34,2.34,670200
12/16/2019,2.43,2.5,2.38,2.41,2.41,1376600
12/13/2019,2.3,2.41,2.27,2.39,2.39,682000
12/12/2019,2.21,2.34,2.21,2.29,2.29,766500
12/11/2019,2.25,2.29,2.2,2.24,2.24,466800
12/10/2019,2.22,2.29,2.2,2.25,2.25,606000
12/9/2019,2.26,2.29,2.21,2.22,2.22,754800
12/6/2019,2.19,2.27,2.16,2.25,2.25,488700
12/5/2019,2.19,2.28,2.15,2.15,2.15,330600
12/4/2019,2.18,2.19,2.12,2.19,2.19,603200
12/3/2019,2.22,2.23,2.06,2.17,2.17,1119700
12/2/2019,2.3,2.3,2.22,2.25,2.25,407000
11/29/2019,2.27,2.32,2.23,2.28,2.28,389500
