Date,Open,High,Low,Close,Adj Close,Volume
5/1/2020,5.41,5.41,5.21,5.29,5.29,55900
4/30/2020,5.27,5.5,4.87,5.5,5.5,122200
4/29/2020,5.48,5.55,5.21,5.3,5.3,107500
4/28/2020,5.42,5.63,5.18,5.44,5.44,94200
4/27/2020,5.39,5.47,5.25,5.38,5.38,122200
4/24/2020,5.3,5.35,5.25,5.28,5.28,64800
4/23/2020,5.18,5.44,5.08,5.19,5.19,69700
4/22/2020,5.15,5.17,4.85,5.05,5.05,43200
4/21/2020,5.06,5.2,4.85,5.04,5.04,118600
4/20/2020,5.06,5.15,4.97,5.11,5.11,51400
4/17/2020,5,5.2,4.98,5.08,5.08,128000
4/16/2020,5,5,4.83,4.99,4.99,36500
4/15/2020,4.89,4.95,4.59,4.95,4.95,30000
4/14/2020,4.62,4.95,4.62,4.89,4.89,65800
4/13/2020,4.57,4.61,4.45,4.57,4.57,115200
4/9/2020,4.43,4.6,4.1,4.54,4.54,63100
4/8/2020,4.26,4.49,4.13,4.48,4.48,44600
4/7/2020,4.35,4.35,4,4.17,4.17,46600
4/6/2020,4.1,4.39,3.96,4.07,4.07,48900
4/3/2020,3.96,4.01,3.85,4.01,4.01,40400
4/2/2020,3.96,4.28,3.91,3.95,3.95,40700
4/1/2020,4.01,4.05,3.85,4,4,48000
3/31/2020,4.17,4.27,4.02,4.09,4.09,89400
3/30/2020,4.25,4.27,4.1,4.18,4.18,46000
3/27/2020,4.28,4.34,4,4.32,4.32,34700
3/26/2020,4.2,4.59,4.1,4.34,4.34,146500
3/25/2020,3.85,4.47,3.85,4.19,4.19,123700
3/24/2020,3.49,3.88,3.49,3.8,3.8,190200
3/23/2020,3.52,3.55,3.34,3.38,3.38,62400
3/20/2020,3.42,3.58,3.35,3.5,3.5,51100
3/19/2020,3.24,3.55,3.17,3.42,3.42,159900
3/18/2020,3.84,3.88,3.37,3.39,3.39,98900
3/17/2020,3.79,4.06,3.46,4.02,4.02,72400
3/16/2020,3.87,3.9,3.34,3.72,3.72,125800
3/13/2020,4.68,4.68,4.25,4.26,4.26,276100
3/12/2020,4.65,4.65,4.22,4.39,4.39,80300
3/11/2020,5.21,5.21,4.75,4.75,4.75,45200
3/10/2020,5.27,5.34,5.1,5.22,5.22,39200
3/9/2020,5.32,5.33,5.16,5.18,5.18,63700
3/6/2020,5.45,5.58,5.45,5.52,5.52,53000
3/5/2020,5.69,5.79,5.49,5.55,5.55,36900
3/4/2020,5.7,5.83,5.61,5.76,5.76,21000
3/3/2020,5.44,5.69,5.37,5.66,5.66,68600
3/2/2020,5.6,5.87,5.37,5.48,5.48,102100
2/28/2020,5.52,5.6,5.28,5.6,5.6,200300
2/27/2020,5.91,6.09,5.87,6.08,6.08,74400
2/26/2020,6,6.15,5.84,6.11,6.11,92500
2/25/2020,6.26,6.32,5.98,6,6,69600
2/24/2020,6.66,6.77,6.25,6.28,6.28,55000
2/21/2020,6.87,6.91,6.78,6.84,6.84,102100
2/20/2020,6.95,6.99,6.86,6.92,6.92,70000
2/19/2020,6.75,6.97,6.75,6.91,6.91,123800
2/18/2020,6.54,6.72,6.35,6.7,6.7,72500
2/14/2020,6.73,6.84,6.52,6.54,6.54,58000
2/13/2020,6.9,6.97,6.72,6.74,6.74,28900
2/12/2020,6.85,6.94,6.65,6.91,6.91,55200
2/11/2020,6.75,6.9,6.72,6.84,6.84,92200
2/10/2020,6.52,6.74,6.52,6.74,6.74,41700
2/7/2020,6.56,6.62,6.47,6.6,6.6,27500
2/6/2020,6.46,6.58,6.26,6.57,6.57,49800
2/5/2020,6.31,6.51,6.3,6.46,6.46,32100
2/4/2020,6.15,6.34,6.11,6.26,6.26,68800
2/3/2020,6,6.27,5.92,6.09,6.09,83300
1/31/2020,6.26,6.36,5.99,6,6,138700
1/30/2020,7.22,7.26,6.27,6.3,6.3,145800
1/29/2020,7.1,7.18,6.75,6.9,6.9,90000
1/28/2020,7.02,7.18,7.02,7.1,7.1,22700
1/27/2020,7.27,7.35,7,7,7,67500
1/24/2020,7.39,7.39,7.34,7.38,7.38,25000
1/23/2020,7.43,7.49,7.25,7.34,7.34,83100
1/22/2020,7.41,7.48,7.38,7.42,7.42,27800
1/21/2020,7.55,7.64,7.31,7.44,7.44,47600
1/17/2020,7.54,7.58,7.4,7.54,7.54,60700
1/16/2020,7.62,7.68,7.43,7.52,7.52,70000
1/15/2020,7.45,7.6,7.43,7.56,7.56,87400
1/14/2020,7.21,7.64,7.21,7.37,7.37,117900
1/13/2020,7.12,7.25,7,7.19,7.19,129900
1/10/2020,7.15,7.21,7.03,7.16,7.16,86600
1/9/2020,6.91,7.1,6.91,7.1,7.1,37800
1/8/2020,7.11,7.24,6.91,6.93,6.93,50500
1/7/2020,7.18,7.2,6.98,7.18,7.18,32800
1/6/2020,7.26,7.28,7.1,7.18,7.18,31500
1/3/2020,7.1,7.33,6.9,7.29,7.29,63500
1/2/2020,7.1,7.3,6.97,7.28,7.28,65300
12/31/2019,6.94,7.19,6.94,7.06,7.06,71500
12/30/2019,6.64,6.98,6.62,6.91,6.91,84700
12/27/2019,6.67,6.78,6.64,6.71,6.71,16700
12/26/2019,6.7,6.72,6.55,6.61,6.61,39300
12/24/2019,6.76,6.76,6.7,6.72,6.72,8700
12/23/2019,6.67,6.85,6.62,6.78,6.78,34200
12/20/2019,6.74,6.75,6.63,6.72,6.72,23900
12/19/2019,6.83,6.9,6.66,6.66,6.66,69000
12/18/2019,6.93,7.03,6.63,6.77,6.77,118000
12/17/2019,6.59,6.99,6.53,6.86,6.86,232400
12/16/2019,6.47,6.69,6.43,6.55,6.55,93500
12/13/2019,6.41,6.54,6.41,6.52,6.52,37900
12/12/2019,6.41,6.48,6.34,6.47,6.47,35100
12/11/2019,6.19,6.45,6.06,6.36,6.36,69000
12/10/2019,6.25,6.29,6.17,6.19,6.19,23300
12/9/2019,5.98,6.31,5.98,6.21,6.21,42800
12/6/2019,5.96,6.2,5.96,6.04,6.04,70800
12/5/2019,5.94,6.05,5.93,5.96,5.96,35400
12/4/2019,6.01,6.05,5.89,6,6,32000
12/3/2019,5.92,6.03,5.89,6,6,31900
12/2/2019,5.98,6.05,5.97,5.97,5.97,19300
11/29/2019,5.93,6.02,5.92,5.97,5.97,15700
11/27/2019,5.98,6.05,5.85,6.02,6.02,22500
11/26/2019,6.01,6.05,5.99,5.99,5.99,10900
11/25/2019,5.71,6.1,5.69,6.1,6.1,37800
11/22/2019,5.83,5.91,5.81,5.82,5.82,11100
11/21/2019,5.72,5.95,5.72,5.94,5.94,23000
