Date,Open,High,Low,Close,Adj Close,Volume
5/1/2020,4.95,4.95,4.51,4.6,4.6,20300
4/30/2020,4.916,5.01,4.9,4.9,4.9,7300
4/29/2020,5,5.17,4.98,5.02,5.02,10600
4/28/2020,5.01,5.11,4.9,5,5,32000
4/27/2020,5.09,5.1,5.03,5.03,5.03,5000
4/24/2020,5.01,5.055,4.94,5.02,5.02,42100
4/23/2020,5.26,5.26,5.02,5.02,5.02,8800
4/22/2020,5.234,5.234,5.17,5.23,5.23,3100
4/21/2020,5.33,5.33,5.125,5.23,5.23,8600
4/20/2020,5.54,5.563,5.26,5.3,5.3,8800
4/17/2020,5.42,5.45,5.18,5.26,5.26,9300
4/16/2020,5.3,5.36,5.25,5.26,5.26,10900
4/15/2020,5.17,5.4,5.17,5.32,5.32,8100
4/14/2020,5.29,5.9,5.1,5.105,5.105,11400
4/13/2020,4.9,5.21,4.666,5.11,5.11,30300
4/9/2020,5.01,5.21,4.92,5.21,5.21,34300
4/8/2020,4.89,4.98,4.69,4.83,4.83,10800
4/7/2020,5.01,5.01,4.8,4.8,4.8,7400
4/6/2020,4.74,5.02,4.49,4.88,4.88,40300
4/3/2020,4.78,4.84,4.55,4.8,4.8,27800
4/2/2020,4.925,4.99,4.75,4.86,4.86,34600
4/1/2020,4.977,4.99,4.79,4.9,4.9,18100
3/31/2020,4.89,5.21,4.88,5.11,5.11,31600
3/30/2020,5.19,5.19,4.88,4.91,4.91,21900
3/27/2020,5.45,5.66,5.15,5.2,5.2,19200
3/26/2020,5.34,5.58,4.864,5.58,5.58,46600
3/25/2020,5.5,5.51,4.88,5.35,5.35,24400
3/24/2020,5.43,5.72,4.9,5.48,5.48,31500
3/23/2020,5.77,5.84,5.26,5.29,5.29,17200
3/20/2020,6.05,6.3,5.15,5.72,5.72,93200
3/19/2020,4.52,6.2,4.44,5.94,5.94,135600
3/18/2020,5.36,5.38,4,4.69,4.69,22800
3/17/2020,5,5.6,4.66,5.5,5.5,43800
3/16/2020,5.72,5.94,5.02,5.02,5.02,34100
3/13/2020,5.81,6.18,5.8,5.96,5.96,38600
3/12/2020,5.84,6.82,3.87,5.755,5.755,60900
3/11/2020,6.61,6.75,5.94,5.94,5.94,53900
3/10/2020,6.75,7.11,6.6,6.61,6.61,41800
3/9/2020,6.64,6.97,6.64,6.71,6.71,56200
3/6/2020,6.7,7.35,6.7,7.27,7.27,49500
3/5/2020,6.82,6.95,6.735,6.925,6.925,19300
3/4/2020,6.69,6.895,6.69,6.84,6.84,23700
3/3/2020,6.895,7.01,6.71,6.72,6.72,17900
3/2/2020,7.01,7.035,6.64,6.91,6.91,70800
2/28/2020,7.05,7.065,6.58,7.025,7.025,55300
2/27/2020,7,7.24,6.9,7.05,7.05,43900
2/26/2020,7.09,7.22,7.01,7.11,7.047,23900
2/25/2020,7.17,7.22,7.04,7.135,7.071779,26400
2/24/2020,7.2,7.22,7,7.21,7.146114,19200
2/21/2020,7.15,7.2,7.01,7.2,7.136202,35900
2/20/2020,7.14,7.28,7.12,7.19,7.126291,24500
2/19/2020,7.11,7.26,7,7.22,7.156025,33100
2/18/2020,7.11,7.31,7.1,7.25,7.18576,13200
2/14/2020,7.403,7.46,7.044,7.22,7.156025,22300
2/13/2020,7.16,7.4,7,7.39,7.324519,48100
2/12/2020,7.574,7.574,7.15,7.15,7.086646,18300
2/11/2020,7.459,7.65,7.437,7.565,7.497968,13700
2/10/2020,7.61,7.61,7.41,7.5,7.433544,42800
2/7/2020,7.81,7.85,7.63,7.63,7.562392,47000
2/6/2020,7.87,7.96,7.73,7.88,7.810177,21300
2/5/2020,7.83,7.96,7.72,7.94,7.869646,73700
2/4/2020,7.99,8.07,7.8,7.83,7.76062,53900
2/3/2020,8,8.05,7.9,7.99,7.919202,23500
1/31/2020,7.95,8.2,7.9,7.9,7.83,13900
1/30/2020,7.78,8,7.78,7.94,7.869646,8200
1/29/2020,7.89,7.89,7.75,7.815,7.745753,28600
1/28/2020,7.95,8.04,7.86,7.88,7.810177,15100
1/27/2020,7.92,8.1,7.75,7.92,7.849823,37900
1/24/2020,8.15,8.15,7.99,7.99,7.919202,29400
1/23/2020,8.17,8.33,8.083,8.14,8.067874,23600
1/22/2020,8.362,8.362,8.04,8.12,8.048051,47300
1/21/2020,8.2,8.71,8.02,8.29,8.216544,52100
1/17/2020,8.18,8.26,7.928,8.22,8.147164,23400
1/16/2020,7.92,8.07,7.91,7.98,7.909291,26200
1/15/2020,7.95,8.09,7.8,7.91,7.839911,35400
1/14/2020,8.02,8.085,7.87,7.99,7.919202,19000
1/13/2020,8.11,8.11,8,8,7.929114,9600
1/10/2020,8.26,8.29,8.08,8.11,8.038138,46200
1/9/2020,8.11,8.51,8.11,8.24,8.166987,33000
