Date,Open,High,Low,Close,Adj Close,Volume
5/1/2020,0.042,0.0465,0.04,0.0416,0.0416,1164132
4/30/2020,0.045,0.0457,0.042,0.044,0.044,1103492
4/29/2020,0.047,0.047,0.04,0.043,0.043,1421653
4/28/2020,0.0459,0.0459,0.039,0.0419,0.0419,1389871
4/27/2020,0.049,0.0499,0.0426,0.04545,0.04545,1121393
4/24/2020,0.0455,0.049,0.045,0.0475,0.0475,1097301
4/23/2020,0.0447,0.0499,0.043,0.04475,0.04475,942866
4/22/2020,0.04,0.05,0.04,0.048,0.048,1694037
4/21/2020,0.0399,0.0399,0.03845,0.0393,0.0393,1321503
4/20/2020,0.045,0.045,0.033,0.03855,0.03855,3509332
4/17/2020,0.053,0.053,0.0423,0.045,0.045,1657704
4/16/2020,0.05,0.0535,0.046,0.04935,0.04935,742053
4/15/2020,0.0501,0.054,0.047,0.048,0.048,1195826
4/14/2020,0.0475,0.057,0.047,0.053,0.053,1325433
4/13/2020,0.0457,0.054,0.045,0.0498,0.0498,1521160
4/9/2020,0.0456,0.054,0.0456,0.05,0.05,1064008
4/8/2020,0.0416,0.054,0.0416,0.054,0.054,1666612
4/7/2020,0.0391,0.0443,0.0381,0.0416,0.0416,1269086
4/6/2020,0.0435,0.0469,0.03685,0.0405,0.0405,2436723
4/3/2020,0.054,0.054,0.0431,0.0469,0.0469,1995744
4/2/2020,0.0529,0.06,0.051,0.051,0.051,938527
4/1/2020,0.0566,0.059,0.0511,0.056,0.056,1451605
3/31/2020,0.055,0.065,0.055,0.058,0.058,1354354
3/30/2020,0.06,0.065,0.0557,0.05853,0.05853,1115348
3/27/2020,0.062,0.062,0.05,0.0592,0.0592,973983
3/26/2020,0.059,0.063,0.0529,0.06,0.06,2809805
3/25/2020,0.057,0.059,0.0511,0.0569,0.0569,2441905
3/24/2020,0.0461,0.0539,0.0461,0.0538,0.0538,2420013
3/23/2020,0.0461,0.0499,0.0461,0.047,0.047,1184221
3/20/2020,0.0469,0.0539,0.043,0.04805,0.04805,2390678
3/19/2020,0.0413,0.0444,0.035,0.043,0.043,1333779
3/18/2020,0.0388,0.0449,0.0355,0.0445,0.0445,1795116
3/17/2020,0.038,0.0398,0.031,0.0357,0.0357,1746215
3/16/2020,0.028,0.04,0.02,0.0348,0.0348,4154078
3/13/2020,0.022,0.0339,0.021,0.0301,0.0301,5634235
3/12/2020,0.0212,0.022,0.017,0.02025,0.02025,2584379
3/11/2020,0.026,0.028,0.0153,0.017,0.017,3653634
3/10/2020,0.026,0.0298,0.025,0.025,0.025,2483647
3/9/2020,0.0384,0.0384,0.025,0.03,0.03,5644773
3/6/2020,0.0361,0.03935,0.035,0.03663,0.03663,1173214
3/5/2020,0.04,0.04,0.0341,0.0387,0.0387,1687420
