Date,Open,High,Low,Close,Adj Close,Volume
5/1/2020,18.780001,20.870001,18.75,19.84,19.84,52400
4/30/2020,21.33,21.51,20,20.870001,20.870001,31000
4/29/2020,21.18,22.719999,19.860001,22.200001,22.200001,64500
4/28/2020,20.549999,21.33,19.67,20.5,20.5,33300
4/27/2020,19.35,20.440001,19,19.84,19.84,42400
4/24/2020,18.68,18.940001,18.110001,18.92,18.92,19500
4/23/2020,18.01,19.1,18.01,18.83,18.83,27400
4/22/2020,18.860001,18.860001,17.91,18.049999,18.049999,16400
4/21/2020,17.530001,18.559999,17.530001,18.129999,18.129999,21200
4/20/2020,18.57,19.33,17.639999,18.370001,18.370001,24300
4/17/2020,18.690001,20.17,17.780001,19.299999,19.299999,42000
4/16/2020,18.059999,18.129999,16.780001,18.040001,18.040001,52300
4/15/2020,19.120001,19.120001,18.1,18.16,18.16,26500
4/14/2020,21.25,21.639999,19.6,20.18,20.18,90300
4/13/2020,21.459999,22.190001,20.27,20.52,20.52,27800
4/9/2020,19.809999,22.059999,19.809999,21.73,21.73,39400
4/8/2020,18.790001,19.76,18.700001,19.309999,19.309999,51900
4/7/2020,19.309999,19.620001,18.030001,18.5,18.5,48300
4/6/2020,18.41,19.209999,18.41,18.85,18.85,42700
4/3/2020,17.959999,18.360001,16.98,17.719999,17.719999,49900
4/2/2020,18.76,19.76,17.540001,18.25,18.25,40600
4/1/2020,19.940001,20.049999,18.629999,18.99,18.99,83800
3/31/2020,20.84,21.25,19.77,20.940001,20.940001,69400
3/30/2020,21.15,21.26,19.809999,21.059999,21.059999,36800
3/27/2020,20.700001,21.309999,19.629999,20.93,20.93,38600
3/26/2020,19.450001,21.93,19.139999,21.809999,21.809999,52200
3/25/2020,18.77,19.610001,17.75,19.459999,19.459999,43700
3/24/2020,18,19.6,16.83,18.67,18.67,42200
3/23/2020,18.790001,18.790001,15.62,17.559999,17.559999,49300
3/20/2020,19.77,21.42,18,18.58,18.58,62500
3/19/2020,16.469999,20.790001,16.469999,20.27,20.27,68700
3/18/2020,20.209999,20.209999,16.57,16.57,16.57,48700
3/17/2020,19.969999,21.74,18.940001,21.639999,21.639999,54900
3/16/2020,19.530001,21.799999,18.76,19.459999,19.459999,67900
3/13/2020,21.68,23.059999,20.549999,22.4,22.4,70300
3/12/2020,22.77,23.75,20.870001,20.870001,20.870001,53900
