Date,Open,High,Low,Close,Adj Close,Volume
5/1/2020,8.89,9.02,8.53,8.6,8.6,379800
4/30/2020,9.26,9.6,8.91,9.22,9.22,389100
4/29/2020,9.22,9.61,9.17,9.5,9.5,660000
4/28/2020,8.5,9.22,8.48,9.05,9.05,551000
4/27/2020,7.67,8.35,7.51,8.25,8.25,452100
4/24/2020,7.92,7.95,7.34,7.65,7.65,279500
4/23/2020,7.63,8.04,7.61,7.76,7.76,308300
4/22/2020,7.6,7.74,7.37,7.6,7.6,410600
4/21/2020,7.71,7.8,7.35,7.38,7.38,849600
4/20/2020,7.74,8.22,7.7,7.91,7.91,452200
4/17/2020,8.33,8.59,8.22,8.38,8.38,361000
4/16/2020,8.23,8.32,7.79,8.15,8.15,429600
4/15/2020,8.78,8.99,8.21,8.22,8.22,576600
4/14/2020,9.2,9.59,9.03,9.23,9.23,461900
4/13/2020,9.35,9.49,8.82,9,9,302500
4/9/2020,9.36,9.63,9.15,9.44,9.44,479500
4/8/2020,8.7,9.2,8.64,9.13,9.13,441800
4/7/2020,9.18,9.46,8.5,8.72,8.72,804300
4/6/2020,8.57,9.14,8.57,8.87,8.87,570500
4/3/2020,8.83,8.9,8.06,8.27,8.27,474500
4/2/2020,8.35,9.04,8.15,8.96,8.96,755600
4/1/2020,8.19,8.35,7.77,8.3,8.3,933500
3/31/2020,8.01,8.71,7.9,8.5,8.5,1257300
3/30/2020,7.93,8.38,7.66,8.15,8.15,560300
3/27/2020,8.65,8.9,7.85,7.88,7.88,713800
3/26/2020,8.83,9.3,8.53,9.06,9.06,842100
3/25/2020,8.71,9.13,8.28,8.74,8.74,699700
3/24/2020,9.25,9.37,8.5,8.66,8.66,613300
3/23/2020,9.58,9.66,8.44,8.69,8.69,618300
3/20/2020,9.78,10.04,8.63,9.8,9.8,670600
3/19/2020,9.65,10.65,9.29,9.88,9.88,949800
3/18/2020,9.57,10.15,8.77,9.86,9.86,590800
3/17/2020,10.04,10.42,9.24,10.36,10.36,840100
3/16/2020,9,10.4,9,9.78,9.78,667100
3/13/2020,10.51,10.59,9.91,10.59,10.59,712500
3/12/2020,9.55,10.51,9.4,9.72,9.72,695100
3/11/2020,10.31,10.64,10.14,10.48,10.48,591000
3/10/2020,9.5,10.76,9.21,10.7,10.7,807700
3/9/2020,10.17,10.67,8.8,8.84,8.84,810000
3/6/2020,11.18,11.8,11.03,11.12,11.12,548400
3/5/2020,12.15,12.5,11.51,11.73,11.73,522700
3/4/2020,12.46,12.66,12.18,12.64,12.64,308200
3/3/2020,12.94,12.96,12.06,12.2,12.2,748100
3/2/2020,12.52,12.88,12.03,12.88,12.88,649100
2/28/2020,12.11,12.78,12.11,12.47,12.47,636800
2/27/2020,12.01,13.19,11.88,12.68,12.68,847600
2/26/2020,12.75,12.79,12.27,12.37,12.37,937500
2/25/2020,12.65,12.74,12.34,12.6,12.6,894500
2/24/2020,12.33,12.75,12.26,12.65,12.65,473400
2/21/2020,12.87,13.18,12.8,13.1,13.1,357800
2/20/2020,12.48,12.96,12.48,12.83,12.83,332900
2/19/2020,12.65,12.95,12.55,12.56,12.56,292400
2/18/2020,12.68,12.97,12.44,12.65,12.65,363000
2/14/2020,13.23,13.65,12.67,12.8,12.8,634800
2/13/2020,12.9,13.11,12.77,12.95,12.95,513900
2/12/2020,12.86,13.18,12.77,12.97,12.97,781500
2/11/2020,12.63,13.12,12.2,12.75,12.75,752500
2/10/2020,13.87,13.92,12.41,12.63,12.63,1033900
2/7/2020,14.1,14.42,13.9,14.06,14.06,2652600
2/6/2020,16.15,16.85,15.75,16.52,16.52,1087700
2/5/2020,15.61,16.16,15.57,16.049999,16.049999,373600
2/4/2020,15.1,15.55,15.02,15.25,15.25,296700
2/3/2020,14.5,14.89,14.37,14.71,14.71,219000
1/31/2020,14.54,14.64,14.14,14.45,14.45,293800
1/30/2020,14.47,14.83,14.32,14.74,14.74,188200
1/29/2020,14.8,15,14.65,14.68,14.68,156600
1/28/2020,14.58,14.85,14.42,14.74,14.74,224000
1/27/2020,14.41,14.67,14.21,14.43,14.43,225400
1/24/2020,15.33,15.44,14.79,14.92,14.92,194600
1/23/2020,15.22,15.43,14.89,15.31,15.31,231300
1/22/2020,15.73,16.23,15.36,15.42,15.42,203600
1/21/2020,16.23,16.23,15.47,15.6,15.6,286700
1/17/2020,16.82,16.92,16.26,16.360001,16.360001,219300
1/16/2020,16.5,16.889999,16.4,16.700001,16.700001,275500
1/15/2020,15.91,16.280001,15.87,16.26,16.26,391800
1/14/2020,16.1,16.389999,15.96,16.08,16.08,359900
1/13/2020,15.85,16.24,15.68,16.200001,16.200001,268300
1/10/2020,16.51,16.51,15.8,15.89,15.89,260400
1/9/2020,16.92,16.940001,16.450001,16.5,16.5,172200
1/8/2020,17.09,17.18,16.780001,16.85,16.85,178700
1/7/2020,17.120001,17.35,16.83,17.040001,17.040001,206000
1/6/2020,17.15,17.360001,16.860001,17.27,17.27,187900
1/3/2020,17.049999,17.27,16.889999,17.26,17.26,237100
1/2/2020,17.629999,17.780001,17.1,17.440001,17.440001,276400
12/31/2019,17.35,17.700001,17.35,17.5,17.5,197900
12/30/2019,17.450001,17.629999,17.309999,17.389999,17.389999,166200
12/27/2019,17.48,17.559999,17.18,17.5,17.5,236900
12/26/2019,17.639999,17.73,17.25,17.440001,17.440001,137400
12/24/2019,17.75,17.77,17.4,17.549999,17.549999,68300
12/23/2019,17.32,17.709999,17.17,17.700001,17.700001,279200
12/20/2019,17.290001,17.379999,17.120001,17.299999,17.299999,532600
12/19/2019,17.49,17.51,17.120001,17.200001,17.200001,261000
12/18/2019,17.360001,17.450001,17.08,17.440001,17.440001,185400
12/17/2019,17.33,17.43,17.23,17.34,17.34,230800
12/16/2019,17.51,17.610001,17.219999,17.299999,17.299999,245900
12/13/2019,17.49,17.68,17,17.049999,17.049999,404900
12/12/2019,16.67,17.43,16.549999,17.27,17.27,704400
12/11/2019,16.280001,16.709999,16.200001,16.67,16.67,219100
12/10/2019,16.059999,16.32,15.88,16.120001,16.120001,352800
12/9/2019,16.129999,16.200001,15.81,16.02,16.02,265600
12/6/2019,15.93,16.379999,15.93,16.200001,16.200001,189900
12/5/2019,15.65,15.77,15.46,15.63,15.63,270800
12/4/2019,15.63,15.92,15.51,15.54,15.54,247800
12/3/2019,15.67,15.7,15.35,15.57,15.57,247800
12/2/2019,16.07,16.42,15.89,15.99,15.99,335200
11/29/2019,15.88,16.129999,15.77,16,16,95500
11/27/2019,16.16,16.35,16,16.07,16.07,169200
11/26/2019,16.65,16.780001,16.16,16.219999,16.219999,431000
11/25/2019,16.25,16.870001,16.15,16.76,16.76,365600
11/22/2019,15.5,16.16,15.48,16.129999,16.129999,470900
11/21/2019,14.9,15.45,14.8,15.35,15.35,308400
11/20/2019,14.95,15.28,14.68,14.89,14.89,437900
11/19/2019,15.39,15.54,15,15.14,15.14,540800
11/18/2019,15.38,15.44,15.14,15.28,15.28,283900
11/15/2019,15.79,15.94,15.54,15.56,15.56,297800
11/14/2019,15.66,15.99,15.47,15.57,15.57,353600
11/13/2019,15.68,16.049999,15.55,15.63,15.63,559600
11/12/2019,16.360001,16.41,15.72,15.9,15.9,416500
11/11/2019,16.02,16.700001,15.92,16.299999,16.299999,814600
11/8/2019,15.63,17.110001,15.44,16.209999,16.209999,2049000
11/7/2019,13.75,14.02,13.66,13.92,13.92,318800
11/6/2019,14.15,14.15,13.39,13.51,13.51,275500
11/5/2019,14,14.41,13.95,14.19,14.19,624800
11/4/2019,13.55,14.15,13.55,13.95,13.95,641600
11/1/2019,12.95,13.5,12.95,13.39,13.39,321900
10/31/2019,12.99,13.1,12.32,12.76,12.76,379800
10/30/2019,13.24,13.32,12.98,13.27,13.27,297600
10/29/2019,13.33,13.47,13.25,13.32,13.32,290400
10/28/2019,13.36,13.7,13.34,13.49,13.49,487500
10/25/2019,12.45,13.2,12.45,13.11,13.11,574700
10/24/2019,12.57,12.68,12.27,12.48,12.48,310400
10/23/2019,12.27,12.55,12.06,12.51,12.51,271600
10/22/2019,11.96,12.29,11.67,12.24,12.24,273700
10/21/2019,12.15,12.43,12.08,12.09,12.09,350600
10/18/2019,11.61,12.06,11.61,11.94,11.94,249100
10/17/2019,11.43,11.75,11.39,11.72,11.72,191200
10/16/2019,11.18,11.57,11.18,11.31,11.31,294300
10/15/2019,10.77,11.42,10.7,11.25,11.25,437900
10/14/2019,11.15,11.56,11.02,11.38,11.38,200500
10/11/2019,10.94,11.58,10.94,11.31,11.31,321200
10/10/2019,10.72,10.98,10.62,10.7,10.7,220100
10/9/2019,10.71,10.84,10.49,10.7,10.7,520200
10/8/2019,11,11.14,10.66,10.67,10.67,402200
10/7/2019,11.5,11.58,11.22,11.23,11.23,315600
10/4/2019,11.33,11.54,11.14,11.53,11.53,298100
10/3/2019,11.32,11.34,10.85,11.25,11.25,471600
