Date,Open,High,Low,Close,Adj Close,Volume
5/1/2020,16.66,16.67,15.88,16.129999,16.129999,3686000
4/30/2020,17.1,17.25,16.59,16.77,16.77,5824100
4/29/2020,16.700001,17.540001,16.559999,17.32,17.32,5509500
4/28/2020,16.49,16.9,16.24,16.440001,16.440001,7026300
4/27/2020,15.87,16.25,15.78,16.139999,16.139999,5336900
4/24/2020,15.41,15.78,15.3,15.76,15.76,3712100
4/23/2020,15.12,15.58,15.06,15.3,15.3,3913100
4/22/2020,15.33,15.42,14.78,14.91,14.91,5530400
4/21/2020,15.65,15.73,15.11,15.13,15.13,4235500
4/20/2020,16.139999,16.25,15.52,15.86,15.86,4269800
4/17/2020,15.9,16.18,15.56,16.110001,16.110001,6430500
4/16/2020,15.54,15.66,14.79,15.5,15.5,6746100
4/15/2020,15.76,15.85,15.13,15.46,15.46,4773200
4/14/2020,16.299999,16.49,16.049999,16.35,16.35,4936300
4/13/2020,16.23,16.24,15.55,16.059999,16.059999,3914400
4/9/2020,15.45,16.540001,15.45,16.08,16.08,9792000
4/8/2020,14.57,15.26,14.45,15.14,15.14,5861300
4/7/2020,14.38,15.1,14.04,14.37,14.37,8622700
4/6/2020,14.14,14.65,13.76,14.04,14.04,9635500
4/3/2020,13.85,14.36,13.68,13.74,13.74,8137100
4/2/2020,14.11,14.52,13.6,13.92,13.92,7659400
4/1/2020,14.59,14.87,14.03,14.26,14.26,6768100
3/31/2020,15.07,15.8,14.84,14.91,14.91,7529800
3/30/2020,15.21,15.38,14.43,15.07,15.07,6234300
3/27/2020,15.17,15.39,14.28,14.88,14.88,6297700
3/26/2020,14.88,16.200001,14.88,15.54,15.54,6579700
3/25/2020,15,15.44,13.53,14.93,14.93,13273700
3/24/2020,16.4,16.860001,14.2,15.14,15.14,12575200
3/23/2020,15.95,16.48,15.04,15.74,15.74,13186200
3/20/2020,16.16,17,14.94,15.25,15.25,22350000
3/19/2020,14.11,15.47,13.63,14.87,14.87,8762200
3/18/2020,14.52,16.059999,13.25,14.18,14.18,7367900
3/17/2020,15.48,16.780001,15.05,15.57,15.57,7640300
3/16/2020,13,15.48,12.75,15.04,15.04,6569000
3/13/2020,14.1,15.12,13.57,15.05,15.05,9134800
3/12/2020,13.28,14.06,13.05,13.26,13.26,8777000
3/11/2020,14.58,14.98,14.21,14.47,14.47,10583800
3/10/2020,14.84,15.13,14,15.08,15.08,7579600
3/9/2020,14.26,15.16,13.82,14.38,14.38,7741000
3/6/2020,15.45,15.53,14.65,15.4,15.4,18763400
3/5/2020,16.25,16.57,15.86,16.030001,16.030001,10850500
3/4/2020,16.620001,17.040001,16.110001,16.83,16.83,10527100
3/3/2020,17.709999,17.75,16.25,16.290001,16.290001,10890500
3/2/2020,17.23,17.719999,16.790001,17.48,17.48,8359100
2/28/2020,17.82,18.09,16.57,17.190001,17.190001,16177300
2/27/2020,19.24,19.5,18.35,18.68,18.68,7667700
2/26/2020,20.08,20.290001,19.209999,19.540001,19.540001,5156000
2/25/2020,20.5,20.68,19.629999,19.9,19.9,6321600
2/24/2020,20.43,20.92,20.059999,20.309999,20.309999,8250500
2/21/2020,20.84,21.309999,20.68,21.15,21.15,4939700
2/20/2020,20.84,20.98,20.67,20.93,20.93,6363700
2/19/2020,21.280001,21.360001,20.790001,20.9,20.9,5771500
2/18/2020,21.790001,21.879999,20.98,21.280001,21.280001,4444900
2/14/2020,21.73,22.1,21.49,21.9,21.9,3871100
2/13/2020,22.09,22.15,21.290001,21.639999,21.639999,7530000
2/12/2020,22.639999,23.1,22.09,22.16,22.16,6510000
2/11/2020,22.68,22.84,22.23,22.35,22.35,5104600
2/10/2020,22.67,22.93,22.540001,22.620001,22.620001,3391700
2/7/2020,22.799999,23,22.450001,22.77,22.77,3854700
2/6/2020,23.059999,23.110001,22.469999,22.85,22.85,5282500
2/5/2020,22.6,23.059999,22.51,22.85,22.85,7690100
2/4/2020,21.969999,22.389999,21.83,22.26,22.26,4565300
2/3/2020,21.540001,21.959999,21.5,21.620001,21.620001,4269900
1/31/2020,21.74,21.889999,21.24,21.42,21.42,6219900
1/30/2020,21.870001,22.110001,21.610001,21.92,21.92,3750900
1/29/2020,21.83,22.59,21.83,22.1,22.1,6037200
1/28/2020,21.559999,22.049999,21.530001,21.84,21.84,7098200
1/27/2020,21.040001,21.48,20.879999,21.16,21.16,7017300
1/24/2020,22.35,22.35,21.51,21.85,21.85,5702600
1/23/2020,21.639999,22.280001,21.389999,22.139999,22.139999,4799200
1/22/2020,21.540001,21.889999,21.540001,21.790001,21.790001,5058800
1/21/2020,21.67,21.799999,21.5,21.65,21.65,5655300
1/17/2020,22.02,22.17,21.559999,21.66,21.66,6404400
1/16/2020,22.25,22.34,21.76,21.969999,21.969999,6116000
1/15/2020,21.049999,22.4,21.02,22.049999,22.049999,8858800
1/14/2020,20.690001,21.34,20.68,21.200001,21.200001,5985600
1/13/2020,20.92,20.940001,20.43,20.780001,20.780001,4314800
1/10/2020,20.99,21.15,20.74,20.85,20.85,4624300
