Date,Open,High,Low,Close,Adj Close,Volume
5/1/2020,12.08,12.09,11.39,11.8,11.8,625800
4/30/2020,13.05,13.06,12.1,12.58,12.58,577900
4/29/2020,13.26,14.34,13.07,13.6,13.6,535000
4/28/2020,13.24,13.34,12.75,12.89,12.89,268000
4/27/2020,12.05,12.94,11.86,12.67,12.67,266700
4/24/2020,11.97,12.05,11.3,11.75,11.75,360900
4/23/2020,10.4,11.97,10.4,11.83,11.83,356400
4/22/2020,11.07,11.07,10.45,10.67,10.67,405200
4/21/2020,10.83,11.06,10.56,10.68,10.68,323800
4/20/2020,11.02,11.74,11,11.34,11.34,292600
4/17/2020,10.85,11.85,10.7,11.39,11.39,480200
4/16/2020,11.12,11.32,10.25,10.62,10.62,691100
4/15/2020,11.31,11.49,10.92,11.18,11.18,374500
4/14/2020,12.77,13.05,11.64,12.08,12.08,454200
4/13/2020,13.1,13.1,12.05,12.39,12.39,285800
4/9/2020,12.62,13.31,12.44,13.17,13.17,448900
4/8/2020,11.92,12.4,11.62,12.13,12.13,555600
4/7/2020,11.9,12.19,11.07,11.8,11.8,660000
4/6/2020,10.44,11.22,10.34,11.16,11.16,552300
4/3/2020,10.2,10.48,9.55,9.99,9.99,612400
4/2/2020,9.88,10.7,9.69,10.32,10.32,459700
4/1/2020,10.56,10.67,9.87,10,10,659500
3/31/2020,11.18,11.36,10.76,11.18,11.18,596000
3/30/2020,11.68,11.68,10.87,11.39,11.39,378100
3/27/2020,10.83,11.89,10.6,11.7,11.629999,659400
3/26/2020,10.52,11.54,10.34,11.41,11.341735,528700
3/25/2020,10.46,11.05,10,10.37,10.307957,580200
3/24/2020,10.02,10.68,9.95,10.46,10.397419,585200
3/23/2020,9.57,9.86,8.67,9.32,9.264238,567500
3/20/2020,9.68,10.18,8.92,9.52,9.463043,835000
3/19/2020,9.34,9.98,8.63,9.7,9.641965,595600
3/18/2020,10.24,10.41,8.63,9.41,9.353701,528600
3/17/2020,10.99,11.15,9.97,11.02,10.954068,912900
3/16/2020,11.9,12.27,10.51,10.58,10.516701,489400
3/13/2020,13.18,13.18,12.06,13.1,13.021624,866400
3/12/2020,12.19,13.66,12.14,12.25,12.176709,611800
3/11/2020,14.1,14.43,13.33,13.46,13.37947,572000
