Date,Open,High,Low,Close,Adj Close,Volume
5/1/2020,13.01,13.03,12.01,12.25,12.25,4107700
4/30/2020,14.62,14.74,13.07,13.35,13.35,7531400
4/29/2020,15.9,16.57,15.62,16.24,16.24,2928500
4/28/2020,15.75,16,15.04,15.23,15.23,2651300
4/27/2020,14.46,15.43,14.28,15.17,15.17,1212200
4/24/2020,14.09,14.5,13.85,14.39,14.39,1661400
4/23/2020,13.5,14.05,13.47,13.88,13.88,1463800
4/22/2020,13.84,14,13.09,13.3,13.3,1321800
4/21/2020,12.65,13.44,12.5,13.33,13.33,1503000
4/20/2020,13.21,13.59,12.86,13.19,13.19,1740200
4/17/2020,13.65,14.37,13.6,13.7,13.7,1579100
4/16/2020,13.29,13.6,12.8,13.02,13.02,1624500
4/15/2020,14,14.4,13.26,13.43,13.43,3076500
4/14/2020,15.19,15.65,14.61,14.9,14.9,3467300
4/13/2020,15.15,15.39,14.24,14.64,14.64,2038900
4/9/2020,13.87,15.39,13.75,15.1,15.1,3686500
4/8/2020,12.96,13.64,12.66,13.45,13.45,1913700
4/7/2020,13,13.15,12.61,12.79,12.79,3167800
4/6/2020,12.37,12.84,12.06,12.5,12.5,2394900
4/3/2020,11.4,11.94,11.08,11.61,11.61,2787800
4/2/2020,11.06,12.14,10.89,11.44,11.44,1999000
4/1/2020,11.08,11.23,10.44,10.88,10.88,2429500
3/31/2020,11.67,12.02,11.35,11.67,11.67,2512900
3/30/2020,11.45,12.1,11.13,11.66,11.66,2895000
3/27/2020,11.28,11.82,10.89,11.48,11.48,2344200
3/26/2020,11.26,12.46,11.26,11.94,11.94,3217500
3/25/2020,10.5,12.51,9.94,11.78,11.78,4828100
3/24/2020,10.78,11.42,9.93,10.32,10.32,4122500
3/23/2020,11.53,12.24,9.91,9.92,9.92,4855900
3/20/2020,12.92,13.04,11.41,11.74,11.74,4206300
3/19/2020,10.95,13.06,10.86,12.68,12.68,3688400
3/18/2020,10.76,12.12,10.47,10.96,10.96,4641900
3/17/2020,9.66,12.16,8.86,11.83,11.83,6681000
3/16/2020,8.99,10.13,8.76,9.34,9.34,4066200
3/13/2020,10.25,10.65,8.91,10.36,10.36,5238300
3/12/2020,10,10.01,9,9.49,9.49,4035800
3/11/2020,11.48,11.48,10.36,10.9,10.9,4303600
3/10/2020,11.7,11.98,10.87,11.97,11.97,3244300
3/9/2020,11.67,12.7,10.93,10.99,10.99,3746600
3/6/2020,13.45,13.89,12.78,12.94,12.94,3592200
3/5/2020,15.13,15.23,13.87,14,14,4488700
3/4/2020,16.35,16.35,15.48,15.63,15.63,2493600
3/3/2020,17,17.42,15.71,15.99,15.99,3648900
3/2/2020,16.549999,16.93,15.6,16.93,16.93,4067300
2/28/2020,14.92,16.24,14.8,16.190001,16.190001,5160800
2/27/2020,16.08,16.200001,15.32,15.42,15.42,3762700
2/26/2020,17.969999,18.24,16.57,16.58,16.58,4011100
2/25/2020,19.030001,19.15,17.43,17.790001,17.790001,4716900
2/24/2020,18.209999,19.41,17.969999,18.99,18.99,6175700
2/21/2020,18.389999,19.17,18.110001,19.059999,19.059999,6419800
2/20/2020,18.15,18.639999,18.09,18.620001,18.620001,3930200
2/19/2020,17.18,18.32,17.15,18.25,18.25,5205500
2/18/2020,17.66,17.809999,16.85,17.129999,17.129999,3664500
2/14/2020,17.629999,17.9,17.49,17.85,17.85,4133300
2/13/2020,17.209999,17.610001,16.940001,17.549999,17.549999,2996900
2/12/2020,17.450001,17.92,17.1,17.370001,17.370001,3157700
2/11/2020,16.4,17.58,16.200001,17.120001,17.120001,5169900
2/10/2020,16.01,16.360001,15.9,16.209999,16.209999,4192000
2/7/2020,15.87,16.139999,15.79,16.049999,16.049999,4455700
2/6/2020,16.469999,16.66,16.02,16.299999,16.1,5471800
2/5/2020,15.72,16.58,15,16.450001,16.248161,8336600
2/4/2020,15.56,15.99,15.39,15.89,15.695031,3271200
2/3/2020,14.9,15.13,14.77,15.06,14.875216,4010100
1/31/2020,15.44,15.55,14.55,14.87,14.687547,6042100
1/30/2020,15.6,15.81,15.37,15.64,15.448099,2979700
1/29/2020,15.73,16.129999,15.73,15.83,15.635767,2928500
1/28/2020,15.83,15.88,15.54,15.55,15.359203,2508600
1/27/2020,16,16.040001,15.7,15.7,15.507362,1778400
1/24/2020,16.93,16.93,16.290001,16.370001,16.169142,1958100
1/23/2020,16.940001,17.08,16.450001,16.98,16.771656,1593500
1/22/2020,17.9,17.93,17.120001,17.16,16.949448,4300600
1/21/2020,17.76,17.950001,17.49,17.889999,17.67049,3097600
1/17/2020,18.15,18.15,17.68,17.85,17.630983,3949700
1/16/2020,17.5,18.059999,17.440001,18,17.779142,2582300
1/15/2020,16.879999,17.360001,16.73,17.34,17.127239,2701500
1/14/2020,16.68,17.209999,16.66,17.18,16.969204,1848600
1/13/2020,16.41,16.780001,16.27,16.709999,16.504969,2046800
1/10/2020,16.57,16.709999,16.389999,16.389999,16.188896,2230900
1/9/2020,16.700001,16.780001,16.25,16.530001,16.327179,2093600
1/8/2020,16.799999,16.860001,16.26,16.690001,16.485216,2706200
1/7/2020,16.66,16.93,16.469999,16.83,16.623497,1843400
1/6/2020,16.700001,17,16.59,16.809999,16.603743,2301500
1/3/2020,16.969999,17.030001,16.66,16.74,16.534601,1979400
1/2/2020,17.360001,17.48,17.040001,17.09,16.880308,1495200
12/31/2019,17.059999,17.32,17.040001,17.25,17.038343,1869100
12/30/2019,17.25,17.41,17.18,17.190001,16.97908,1279800
12/27/2019,17.6,17.6,17.200001,17.23,17.018589,1376100
12/26/2019,17.6,17.639999,17.379999,17.549999,17.334661,991900
12/24/2019,17.57,17.700001,17.51,17.65,17.433435,767000
12/23/2019,17.299999,17.549999,17.25,17.49,17.275398,1337100
12/20/2019,17.540001,17.540001,17.190001,17.389999,17.176626,4920000
12/19/2019,17.4,17.52,17.360001,17.48,17.265522,1647800
12/18/2019,17.030001,17.49,16.950001,17.43,17.216135,1272800
12/17/2019,17.440001,17.52,17.01,17.07,16.860552,1917500
12/16/2019,17.32,17.73,17.219999,17.450001,17.235891,2406700
12/13/2019,17.91,17.92,17.02,17.15,16.939571,2660400
12/12/2019,17.33,17.84,17.23,17.799999,17.581594,2486900
