Date,Open,High,Low,Close,Adj Close,Volume
5/1/2020,5.14,5.25,5.02,5.1,5.1,246200
4/30/2020,5.5,5.69,5.041,5.32,5.32,491200
4/29/2020,4.86,5.43,4.86,5.41,5.41,441400
4/28/2020,4.65,4.99,4.575,4.71,4.66,573800
4/27/2020,4.45,4.655,4.3,4.46,4.412654,484600
4/24/2020,4.23,4.43,3.98,4.3,4.254353,446000
4/23/2020,3.89,4.39,3.88,4.14,4.096051,500400
4/22/2020,4.2,4.25,3.88,3.9,3.858599,239100
4/21/2020,3.93,4.21,3.8,4.14,4.096051,383500
4/20/2020,4,4.24,3.89,3.92,3.878386,289900
4/17/2020,3.99,4.45,3.95,4.17,4.125732,265300
4/16/2020,3.89,3.91,3.5,3.8,3.75966,477700
4/15/2020,3.98,4,3.76,3.96,3.917962,309300
4/14/2020,4.42,4.8,4.13,4.16,4.115839,209100
4/13/2020,4.16,4.52,4.14,4.33,4.284034,306700
4/9/2020,4.38,4.74,4.26,4.39,4.343397,544900
4/8/2020,4.14,4.47,4.14,4.27,4.224671,395100
4/7/2020,4.55,4.675,4.21,4.26,4.214777,250500
4/6/2020,4.13,4.5,4.102,4.45,4.40276,272500
4/3/2020,4.04,4.17,3.88,3.94,3.898174,149700
4/2/2020,4.25,4.36,3.9,4.12,4.076263,225100
4/1/2020,4.02,4.57,3.856,4.42,4.373079,465600
3/31/2020,4.05,4.454,3.92,4.17,4.125732,622800
3/30/2020,4.2,4.2,3.62,3.78,3.739873,440400
3/27/2020,4.45,4.48,3.98,4.19,4.14552,692400
3/26/2020,4.4,4.51,4.2,4.48,4.432442,419200
3/25/2020,4.93,4.97,4.17,4.35,4.303822,537100
3/24/2020,4.95,5.14,4.25,4.48,4.432442,595700
3/23/2020,5.31,5.34,4.88,4.95,4.897452,216300
3/20/2020,6.26,6.31,5.17,5.32,5.263525,658900
3/19/2020,5.5,6.42,5.24,6.25,6.183652,293400
3/18/2020,5.5,6.4,5.155,5.41,5.352569,294900
3/17/2020,5.59,5.88,5.23,5.86,5.797792,314000
3/16/2020,5.6,5.75,5.22,5.32,5.263525,254000
3/13/2020,5.81,6.38,5.51,6.35,6.28259,191600
3/12/2020,5.94,6.128,5.21,5.36,5.3031,257800
3/11/2020,6.61,6.62,6.16,6.34,6.272696,232900
3/10/2020,6.75,7.005,6.36,6.87,6.79707,146300
3/9/2020,7,7.03,6.323,6.52,6.450786,230600
3/6/2020,8.16,8.289,7.1,7.24,7.163142,223400
3/5/2020,8.96,9.18,8.24,8.48,8.389978,346500
3/4/2020,8.18,8.18,7.71,7.8,7.717198,148200
3/3/2020,8.26,8.45,7.89,7.9,7.816136,185800
3/2/2020,7.85,8.32,7.69,8.27,8.182209,245400
2/28/2020,7.72,7.96,7.59,7.83,7.746879,244600
