Date,Open,High,Low,Close,Adj Close,Volume
5/1/2020,1.22,1.27,1.11,1.15,1.15,34932300
4/30/2020,1.16,1.29,1.05,1.28,1.28,75477800
4/29/2020,1.03,1.13,1.01,1.12,1.12,57805000
4/28/2020,0.86,0.94,0.85,0.94,0.94,35222500
4/27/2020,0.93,0.93,0.76,0.84,0.84,69000100
4/24/2020,1.03,1.08,0.95,0.97,0.97,51391000
4/23/2020,1.02,1.03,0.95,1,1,45619400
4/22/2020,1.14,1.15,0.93,0.95,0.95,67949300
4/21/2020,1.14,1.15,1.08,1.1,1.1,32041200
4/20/2020,1.11,1.25,1.06,1.17,1.17,28151900
4/17/2020,1.17,1.23,1.16,1.19,1.19,19089800
4/16/2020,1.31,1.34,1.1,1.14,1.14,43549300
4/15/2020,1.4,1.45,1.31,1.32,1.32,31365800
4/14/2020,1.47,1.6,1.42,1.54,1.54,41331000
4/13/2020,1.59,1.65,1.45,1.46,1.46,32922900
4/9/2020,1.43,1.75,1.31,1.44,1.44,68746400
4/8/2020,1.19,1.3,1.19,1.28,1.28,21713900
4/7/2020,1.19,1.3,1.15,1.19,1.19,30172800
4/6/2020,1.13,1.18,1.1,1.12,1.12,18707700
4/3/2020,1.18,1.19,1.05,1.08,1.08,27183600
4/2/2020,1.13,1.3,1.07,1.1,1.1,39642600
4/1/2020,1.14,1.15,1.06,1.08,1.08,18601300
3/31/2020,1.21,1.24,1.15,1.16,1.16,18057000
3/30/2020,1.2,1.2,1.13,1.15,1.15,13959200
3/27/2020,1.24,1.24,1.16,1.17,1.17,23180300
3/26/2020,1.34,1.4,1.21,1.34,1.34,22905700
3/25/2020,1.52,1.53,1.27,1.32,1.32,31051700
3/24/2020,1.29,1.43,1.17,1.4,1.4,32027000
3/23/2020,1.1,1.17,1.02,1.16,1.16,31295500
3/20/2020,1.23,1.23,1.04,1.04,1.04,38013400
3/19/2020,1.16,1.33,1.06,1.13,1.13,35667500
3/18/2020,1.2,1.29,1.01,1.11,1.11,26483500
3/17/2020,1.32,1.36,1.25,1.34,1.34,19269200
3/16/2020,1.31,1.49,1.25,1.3,1.3,28769500
3/13/2020,1.63,1.63,1.34,1.55,1.55,43047500
3/12/2020,1.13,1.54,1.13,1.34,1.34,40949100
3/11/2020,1.71,1.74,1.36,1.36,1.36,45826800
3/10/2020,1.89,1.9,1.55,1.82,1.82,60391700
3/9/2020,1.75,1.83,1.5,1.51,1.51,56398700
3/6/2020,2.85,2.89,2.41,2.44,2.44,42125500
3/5/2020,3.1,3.17,2.91,3,3,27593700
3/4/2020,3.3,3.33,3.08,3.18,3.18,20059000
3/3/2020,3.54,3.58,3.11,3.17,3.17,30332900
3/2/2020,3.41,3.55,3.15,3.55,3.55,26755200
2/28/2020,2.91,3.45,2.86,3.35,3.35,38897300
2/27/2020,3.22,3.29,3,3.01,3.01,40428200
2/26/2020,3.59,3.63,3.41,3.43,3.43,31040300
2/25/2020,3.9,3.9,3.5,3.56,3.56,23227300
2/24/2020,3.96,4,3.74,3.79,3.79,27367700
2/21/2020,4.23,4.25,4.09,4.16,4.16,19740700
2/20/2020,4.35,4.46,4.25,4.3,4.3,17896900
2/19/2020,4.43,4.46,4.23,4.32,4.32,18777000
2/18/2020,4.41,4.47,4.21,4.41,4.41,25104700
2/14/2020,4.7,4.74,4.4,4.52,4.52,18089000
2/13/2020,4.64,4.71,4.55,4.66,4.66,12768300
2/12/2020,4.6,4.82,4.58,4.67,4.67,18917000
2/11/2020,4.66,4.68,4.46,4.48,4.48,18231400
2/10/2020,4.68,4.72,4.46,4.5,4.5,16809400
2/7/2020,4.71,4.83,4.65,4.75,4.75,11993800
2/6/2020,5.2,5.22,4.8,4.83,4.83,17118700
2/5/2020,5.02,5.24,5,5.2,5.2,23107700
2/4/2020,4.88,5.01,4.77,4.81,4.81,17514800
2/3/2020,4.54,4.75,4.49,4.65,4.65,15791100
1/31/2020,4.63,4.68,4.47,4.56,4.56,16582700
1/30/2020,4.61,4.75,4.53,4.74,4.74,14903200
1/29/2020,4.85,4.92,4.73,4.73,4.73,15579800
1/28/2020,4.7,4.89,4.63,4.77,4.77,19677700
1/27/2020,4.84,4.93,4.6,4.62,4.62,26125100
1/24/2020,5.21,5.24,4.97,5.1,5.1,20599000
1/23/2020,5.4,5.45,5.18,5.24,5.24,22488700
1/22/2020,5.72,5.72,5.54,5.57,5.57,12936800
1/21/2020,5.9,5.91,5.73,5.73,5.73,16909200
1/17/2020,6.22,6.23,5.93,5.97,5.97,17614200
1/16/2020,6.26,6.39,6.13,6.15,6.15,14469900
1/15/2020,6.19,6.29,6.12,6.18,6.18,11255200
1/14/2020,6.17,6.4,6.14,6.28,6.28,13075100
1/13/2020,6.23,6.26,6.02,6.24,6.24,11222200
1/10/2020,6.41,6.43,6.19,6.23,6.23,10008500
1/9/2020,6.41,6.5,6.18,6.41,6.41,15300400
1/8/2020,6.87,6.87,6.35,6.42,6.42,24622900
1/7/2020,7.15,7.17,6.72,6.89,6.89,19777400
1/6/2020,7.15,7.18,7,7.17,7.17,13913200
1/3/2020,7.1,7.28,6.96,7.04,7.04,22448200
1/2/2020,6.98,7,6.76,6.93,6.93,12965900
12/31/2019,6.75,6.94,6.67,6.88,6.88,12914200
12/30/2019,6.64,7.09,6.63,6.8,6.8,22465400
12/27/2019,6.58,6.71,6.53,6.57,6.57,12130100
12/26/2019,6.61,6.74,6.53,6.6,6.6,11756600
12/24/2019,6.51,6.78,6.51,6.55,6.55,11729700
12/23/2019,5.91,6.56,5.91,6.54,6.54,20572800
12/20/2019,6.1,6.15,5.84,5.89,5.89,19266100
12/19/2019,6.05,6.21,6.04,6.11,6.11,12522300
12/18/2019,6.02,6.13,5.94,6.04,6.04,15152700
12/17/2019,6.08,6.18,6,6.05,6.05,16733700
12/16/2019,6.11,6.31,6.02,6.03,6.03,18583400
12/13/2019,5.99,6.21,5.92,6.09,6.09,23280600
12/12/2019,5.64,6.02,5.61,5.94,5.94,14273400
12/11/2019,5.68,5.77,5.56,5.65,5.65,10466900
12/10/2019,5.72,5.79,5.57,5.65,5.65,12495300
12/9/2019,5.6,5.85,5.57,5.71,5.71,12709400
12/6/2019,5.34,5.78,5.32,5.63,5.63,22744200
12/5/2019,5.56,5.56,5.28,5.32,5.32,16483300
12/4/2019,4.98,5.53,4.96,5.36,5.36,22488100
12/3/2019,4.8,5,4.77,4.86,4.86,10442300
12/2/2019,5.01,5.1,4.85,4.92,4.92,12049500
11/29/2019,4.91,5.02,4.89,4.98,4.98,5999100
11/27/2019,4.86,5.05,4.8,5.02,5.02,12393500
11/26/2019,5.05,5.19,4.81,4.83,4.83,15144100
11/25/2019,4.68,5.04,4.64,5.03,5.03,15075100
11/22/2019,4.6,4.79,4.59,4.74,4.74,14011900
11/21/2019,4.5,4.59,4.17,4.59,4.59,19832400
11/20/2019,4.6,4.77,4.43,4.46,4.46,23425800
11/19/2019,4.75,4.8,4.59,4.66,4.66,11592600
11/18/2019,4.8,4.86,4.72,4.82,4.82,13344700
11/15/2019,4.74,4.93,4.72,4.86,4.86,13322600
11/14/2019,4.81,4.99,4.69,4.71,4.71,13025800
11/13/2019,4.87,4.93,4.7,4.85,4.85,17401100
11/12/2019,5.22,5.26,4.92,4.95,4.95,17712000
11/11/2019,5.25,5.34,5.13,5.22,5.22,13809600
11/8/2019,5.32,5.4,5.23,5.39,5.39,13777400
11/7/2019,5.47,5.6,5.37,5.41,5.41,15046500
11/6/2019,5.5,5.69,5.31,5.35,5.35,19775100
11/5/2019,5.64,5.71,5.51,5.57,5.57,16070600
11/4/2019,5.3,5.67,5.28,5.59,5.59,24903700
11/1/2019,4.82,5.17,4.73,5.14,5.14,20739400
10/31/2019,4.85,4.98,4.65,4.75,4.75,17258100
10/30/2019,5.17,5.28,4.81,4.89,4.89,21246900
10/29/2019,4.72,5.4,4.51,5.11,5.11,32308900
10/28/2019,4.82,4.87,4.64,4.72,4.72,16117000
10/25/2019,4.63,4.74,4.55,4.7,4.7,11060900
10/24/2019,4.9,4.9,4.56,4.62,4.62,15970800
10/23/2019,4.74,4.96,4.56,4.85,4.85,15612500
10/22/2019,4.63,4.82,4.45,4.77,4.77,17330100
10/21/2019,4.48,4.65,4.47,4.58,4.58,13578100
10/18/2019,4.7,4.75,4.5,4.54,4.54,14412400
10/17/2019,4.78,4.81,4.61,4.67,4.67,14943900
10/16/2019,4.7,4.93,4.6,4.76,4.76,13082100
10/15/2019,4.6,4.92,4.55,4.72,4.72,22800000
10/14/2019,4.45,4.66,4.32,4.64,4.64,17928900
10/11/2019,4.3,4.64,4.3,4.57,4.57,20096400
10/10/2019,4.17,4.26,4.13,4.22,4.22,14020000
10/9/2019,4.17,4.22,4.03,4.12,4.12,18066500
10/8/2019,4.05,4.2,4.02,4.09,4.09,17530700
10/7/2019,4.27,4.42,4.15,4.17,4.17,16505500
10/4/2019,4.25,4.37,4.11,4.24,4.24,17444100
10/3/2019,4.13,4.26,3.98,4.24,4.24,21746600
10/2/2019,4.26,4.4,4.12,4.15,4.15,21399700
10/1/2019,4.48,4.59,4.16,4.28,4.28,22097000
9/30/2019,4.51,4.51,4.36,4.47,4.47,18212000
9/27/2019,4.63,4.76,4.51,4.53,4.53,19304500
9/26/2019,5.08,5.09,4.68,4.73,4.73,19865800
9/25/2019,5.13,5.35,5.09,5.11,5.11,19902000
9/24/2019,5.76,5.79,5.36,5.41,5.41,17634300
9/23/2019,5.75,5.9,5.66,5.83,5.83,15760200
9/20/2019,5.85,5.96,5.76,5.82,5.82,29775900
9/19/2019,6.04,6.08,5.81,5.85,5.85,16472000
9/18/2019,5.88,6.03,5.79,5.92,5.92,18605400
9/17/2019,6.41,6.41,5.89,6.02,6.02,34279400
9/16/2019,6.24,6.66,6.07,6.51,6.51,50577100
9/13/2019,5.67,5.84,5.54,5.73,5.73,18588600
9/12/2019,5.57,5.69,5.38,5.65,5.65,22963800
9/11/2019,5.56,5.81,5.43,5.8,5.8,30574600
9/10/2019,5.48,5.73,5.45,5.49,5.49,27827200
9/9/2019,5.17,5.52,5.04,5.48,5.48,23801700
9/6/2019,4.86,5.16,4.74,5.04,5.04,21077900
9/5/2019,4.79,5.01,4.78,4.95,4.95,19483600
9/4/2019,4.61,4.78,4.55,4.69,4.69,17027800
9/3/2019,4.42,4.51,4.22,4.48,4.48,16967500
8/30/2019,4.61,4.72,4.38,4.55,4.55,13729800
8/29/2019,4.47,4.69,4.46,4.58,4.58,15215700
8/28/2019,4.3,4.52,4.21,4.4,4.4,18253300
8/27/2019,4.3,4.34,4.11,4.23,4.23,13485800
8/26/2019,4.32,4.49,4.22,4.27,4.27,14814500
8/23/2019,4.42,4.63,4.24,4.25,4.25,22348400
8/22/2019,4.67,4.74,4.51,4.54,4.54,16596600
8/21/2019,4.67,4.83,4.53,4.58,4.58,17022300
8/20/2019,4.58,4.63,4.32,4.59,4.59,20561400
8/19/2019,4.33,4.7,4.33,4.61,4.61,29052100
8/16/2019,3.9,4.23,3.76,4.2,4.2,21668100
8/15/2019,3.9,3.92,3.76,3.86,3.86,25204300
8/14/2019,4.13,4.13,3.89,3.9,3.9,32289100
8/13/2019,4.29,4.6,4.27,4.3,4.3,24699200
8/12/2019,4.3,4.37,4.12,4.34,4.34,25054800
8/9/2019,4.62,4.63,4.3,4.33,4.33,25003800
