Date,Open,High,Low,Close,Adj Close,Volume
5/1/2020,4,4.39,3.05,3.31,3.31,22750800
4/30/2020,3.47,4.25,2.85,4.05,4.05,31273300
4/29/2020,2.08,3.76,2,3.3,3.3,43350900
4/28/2020,1.82,1.93,1.77,1.89,1.89,5883300
4/27/2020,1.75,1.8,1.6,1.78,1.78,8066400
4/24/2020,2,2.25,1.81,1.84,1.84,9289200
4/23/2020,1.79,2.04,1.72,1.85,1.85,11802000
4/22/2020,1.69,1.83,1.56,1.68,1.67,8238400
4/21/2020,1.42,1.68,1.4,1.63,1.620298,6835800
4/20/2020,1.45,1.65,1.45,1.51,1.501012,7893700
4/17/2020,1.6,1.68,1.51,1.68,1.67,8042800
4/16/2020,1.76,1.79,1.51,1.55,1.540774,6430400
4/15/2020,1.72,1.8,1.52,1.73,1.719702,8965500
4/14/2020,2.24,2.33,1.72,1.91,1.898631,14902600
4/13/2020,1.93,2.44,1.78,2.23,2.216726,22096200
4/9/2020,1.69,2.22,1.6,1.75,1.739583,18024800
4/8/2020,1.49,1.56,1.42,1.54,1.530833,9137800
4/7/2020,1.4,1.65,1.33,1.42,1.411548,13561000
4/6/2020,1.29,1.36,1.2,1.32,1.312143,5210900
4/3/2020,1.32,1.35,1.17,1.31,1.302202,6782200
4/2/2020,1.12,1.42,1.05,1.19,1.182917,8475000
4/1/2020,1.16,1.18,1.02,1.03,1.023869,5718500
3/31/2020,1.19,1.23,1.07,1.22,1.212738,7492400
3/30/2020,1.19,1.2,0.99,1.12,1.113333,8729500
3/27/2020,1.35,1.36,1.19,1.19,1.182917,4503800
3/26/2020,1.35,1.47,1.31,1.37,1.361845,4364100
3/25/2020,1.36,1.48,1.24,1.41,1.401607,5734200
3/24/2020,1.39,1.42,1.22,1.41,1.401607,5835600
3/23/2020,1.26,1.37,1.09,1.29,1.282321,5183600
3/20/2020,1.41,1.49,1.16,1.24,1.232619,7524500
3/19/2020,1.17,1.44,1.1,1.39,1.381726,8170600
3/18/2020,1.29,1.5,0.9,1.06,1.05369,9923700
3/17/2020,1.71,1.71,1.31,1.38,1.371786,10452600
3/16/2020,1.8,1.98,1.63,1.63,1.620298,9967000
3/13/2020,2.08,2.34,1.65,2.33,2.316131,13521800
