Date,Open,High,Low,Close,Adj Close,Volume
5/1/2020,0.78,0.78,0.75,0.76,0.76,21500
4/30/2020,0.75,0.8,0.69,0.77,0.77,32100
4/29/2020,0.69,0.8,0.67,0.75,0.75,32300
4/28/2020,0.68,0.76,0.68,0.75,0.75,86300
4/27/2020,0.69,0.72,0.66,0.7,0.7,55500
4/24/2020,0.69,0.69,0.66,0.67,0.67,55600
4/23/2020,0.65,0.7,0.65,0.66,0.66,40600
4/22/2020,0.69,0.69,0.66,0.66,0.66,28000
4/21/2020,0.68,0.73,0.66,0.69,0.69,34100
4/20/2020,0.71,0.71,0.68,0.7,0.7,8800
4/17/2020,0.69,0.72,0.69,0.69,0.69,17400
4/16/2020,0.7,0.74,0.68,0.68,0.68,18000
4/15/2020,0.69,0.73,0.69,0.71,0.71,24300
4/14/2020,0.7,0.72,0.69,0.7,0.7,39800
4/13/2020,0.7,0.73,0.69,0.69,0.69,13400
4/9/2020,0.7,0.76,0.69,0.7,0.7,95700
4/8/2020,0.7,0.75,0.7,0.74,0.74,39700
4/7/2020,0.67,0.78,0.67,0.69,0.69,11000
4/6/2020,0.71,0.78,0.66,0.67,0.67,51900
4/3/2020,0.75,0.75,0.66,0.71,0.71,29500
4/2/2020,0.76,0.81,0.7,0.73,0.73,10200
4/1/2020,0.81,0.85,0.72,0.76,0.76,11300
3/31/2020,0.86,0.86,0.74,0.75,0.75,48300
3/30/2020,0.85,0.89,0.81,0.82,0.82,18100
3/27/2020,0.89,0.98,0.8,0.88,0.88,25200
3/26/2020,0.8,0.9,0.8,0.86,0.86,12300
3/25/2020,0.89,0.9,0.81,0.82,0.82,36800
3/24/2020,1,1,0.82,0.85,0.85,78500
3/23/2020,0.9,1,0.83,0.98,0.98,59100
3/20/2020,0.92,1.05,0.89,0.99,0.99,18400
3/19/2020,0.97,1.17,0.9,0.92,0.92,62600
3/18/2020,0.85,1.03,0.81,0.93,0.93,44600
3/17/2020,0.94,1.05,0.87,0.95,0.95,17000
3/16/2020,0.96,1.02,0.85,0.97,0.97,38000
3/13/2020,1,1.27,0.92,0.96,0.96,49400
3/12/2020,1.28,1.35,1.02,1.05,1.05,398500
3/11/2020,1.39,1.4,1.33,1.33,1.33,14100
3/10/2020,1.43,1.44,1.35,1.42,1.42,12100
3/9/2020,1.38,1.65,1.35,1.44,1.44,20600
3/6/2020,1.41,1.52,1.41,1.44,1.44,10900
3/5/2020,1.4,1.54,1.4,1.43,1.43,23600
3/4/2020,1.44,1.49,1.42,1.42,1.42,7600
3/3/2020,1.44,1.48,1.4,1.48,1.48,3800
3/2/2020,1.36,1.5,1.36,1.4,1.4,26200
2/28/2020,1.38,1.48,1.35,1.39,1.39,53400
2/27/2020,1.46,1.51,1.44,1.45,1.45,4800
2/26/2020,1.49,1.49,1.44,1.47,1.47,4000
2/25/2020,1.51,1.51,1.41,1.48,1.48,1800
2/24/2020,1.4,1.5,1.4,1.47,1.47,6700
2/21/2020,1.5,1.51,1.41,1.49,1.49,23700
2/20/2020,1.41,1.5,1.41,1.49,1.49,19600
2/19/2020,1.44,1.46,1.41,1.44,1.44,18000
2/18/2020,1.44,1.49,1.38,1.45,1.45,7700
2/14/2020,1.46,1.52,1.45,1.47,1.47,10900
2/13/2020,1.42,1.53,1.42,1.49,1.49,11000
2/12/2020,1.58,1.58,1.46,1.46,1.46,30400
2/11/2020,1.46,1.63,1.46,1.56,1.56,20700
2/10/2020,1.43,1.53,1.37,1.47,1.47,49000
2/7/2020,1.43,1.46,1.43,1.46,1.46,500
2/6/2020,1.51,1.52,1.37,1.46,1.46,39300
2/5/2020,1.42,1.51,1.41,1.51,1.51,19100
2/4/2020,1.4,1.49,1.36,1.46,1.46,43400
