Date,Open,High,Low,Close,Adj Close,Volume
5/1/2020,0.66,0.68,0.45,0.49,0.49,12134000
4/30/2020,0.67,0.75,0.63,0.73,0.73,1318700
4/29/2020,0.69,0.69,0.61,0.66,0.66,460000
4/28/2020,0.61,0.8,0.61,0.62,0.62,1111000
4/27/2020,0.58,0.62,0.55,0.61,0.61,290600
4/24/2020,0.59,0.6,0.55,0.56,0.56,216400
4/23/2020,0.59,0.59,0.56,0.58,0.58,130600
4/22/2020,0.6,0.6,0.56,0.57,0.57,217500
4/21/2020,0.6,0.61,0.52,0.54,0.54,98700
4/20/2020,0.62,0.64,0.6,0.6,0.6,92800
4/17/2020,0.6,0.61,0.55,0.61,0.61,143800
4/16/2020,0.57,0.58,0.55,0.58,0.58,89800
4/15/2020,0.65,0.65,0.53,0.57,0.57,109900
4/14/2020,0.63,0.7,0.59,0.59,0.59,124400
4/13/2020,0.57,0.63,0.56,0.61,0.61,166900
4/9/2020,0.57,0.61,0.53,0.56,0.56,218900
4/8/2020,0.49,0.6,0.47,0.57,0.57,212300
4/7/2020,0.5,0.53,0.48,0.48,0.48,237400
4/6/2020,0.49,0.54,0.47,0.49,0.49,110900
4/3/2020,0.46,0.5,0.44,0.47,0.47,113700
4/2/2020,0.47,0.51,0.41,0.43,0.43,252600
4/1/2020,0.55,0.58,0.41,0.47,0.47,216800
3/31/2020,0.6,0.61,0.55,0.58,0.58,167400
3/30/2020,0.63,0.65,0.58,0.59,0.59,185900
3/27/2020,0.61,0.67,0.55,0.63,0.63,591000
3/26/2020,0.68,0.71,0.59,0.59,0.59,856800
3/25/2020,0.8,0.88,0.67,0.67,0.67,228100
3/24/2020,0.88,0.89,0.75,0.79,0.79,251700
3/23/2020,0.89,1.23,0.87,0.9,0.9,133300
3/20/2020,1.16,1.16,0.85,0.89,0.89,351600
3/19/2020,1.2,1.24,1.11,1.15,1.15,94700
3/18/2020,1.09,1.32,0.81,1.19,1.19,487300
3/17/2020,1.16,1.23,1.12,1.13,1.13,121400
3/16/2020,1.41,1.41,1.1,1.16,1.16,318900
3/13/2020,1.45,1.45,1.38,1.43,1.43,234400
3/12/2020,1.46,1.61,1.41,1.46,1.46,154500
3/11/2020,1.53,1.58,1.53,1.56,1.56,131700
3/10/2020,1.6,1.61,1.54,1.56,1.56,192900
3/9/2020,1.58,1.62,1.57,1.6,1.6,888900
3/6/2020,1.66,1.68,1.59,1.6,1.6,150100
3/5/2020,1.64,1.73,1.61,1.65,1.65,332000
3/4/2020,1.65,1.68,1.61,1.67,1.67,61900
3/3/2020,1.62,1.73,1.6,1.65,1.65,157600
3/2/2020,1.61,1.67,1.61,1.65,1.65,50500
2/28/2020,1.64,1.66,1.62,1.65,1.65,61000
2/27/2020,1.6,1.67,1.6,1.65,1.65,111700
2/26/2020,1.77,1.77,1.61,1.65,1.65,78100
2/25/2020,1.81,1.81,1.71,1.77,1.77,229400
2/24/2020,1.68,1.83,1.65,1.79,1.79,184000
2/21/2020,1.62,1.71,1.57,1.7,1.7,71200
2/20/2020,1.68,1.71,1.62,1.65,1.65,37600
2/19/2020,1.78,1.79,1.63,1.67,1.67,180100
2/18/2020,1.69,1.81,1.63,1.79,1.79,167500
2/14/2020,1.72,1.82,1.55,1.7,1.7,364400
2/13/2020,1.43,1.51,1.39,1.51,1.51,183400
2/12/2020,1.41,1.45,1.41,1.43,1.43,119900
2/11/2020,1.38,1.44,1.37,1.42,1.42,106700
2/10/2020,1.37,1.4,1.32,1.37,1.37,174000
2/7/2020,1.43,1.45,1.33,1.36,1.36,176400
2/6/2020,1.48,1.48,1.37,1.44,1.44,307500
2/5/2020,1.32,1.48,1.3,1.45,1.45,319100
2/4/2020,1.31,1.33,1.27,1.3,1.3,227900
2/3/2020,1.3,1.32,1.27,1.29,1.29,1051400
1/31/2020,1.3,1.33,1.27,1.28,1.28,91500
1/30/2020,1.35,1.35,1.29,1.3,1.3,128500
1/29/2020,1.38,1.4,1.28,1.35,1.35,190200
1/28/2020,1.38,1.42,1.36,1.38,1.38,80600
1/27/2020,1.39,1.4,1.37,1.38,1.38,49800
1/24/2020,1.44,1.44,1.38,1.39,1.39,89900
1/23/2020,1.46,1.47,1.4,1.41,1.41,81300
1/22/2020,1.49,1.51,1.47,1.48,1.48,109700
1/21/2020,1.53,1.53,1.45,1.49,1.49,178200
1/17/2020,1.6,1.61,1.54,1.55,1.55,84200
1/16/2020,1.62,1.63,1.59,1.61,1.61,57900
1/15/2020,1.61,1.65,1.58,1.6,1.6,158700
1/14/2020,1.63,1.63,1.56,1.61,1.61,130500
1/13/2020,1.72,1.74,1.61,1.64,1.64,113400
1/10/2020,1.77,1.82,1.7,1.73,1.73,109600
1/9/2020,1.8,1.83,1.76,1.77,1.77,29700
1/8/2020,1.79,1.85,1.76,1.8,1.8,33500
1/7/2020,1.8,1.82,1.75,1.81,1.81,129800
1/6/2020,1.83,1.83,1.76,1.8,1.8,200000
1/3/2020,1.8,1.85,1.8,1.83,1.83,72500
1/2/2020,1.83,1.85,1.8,1.82,1.82,63800
12/31/2019,1.82,1.92,1.82,1.85,1.85,117900
12/30/2019,1.85,1.9,1.79,1.84,1.84,342500
12/27/2019,1.84,1.87,1.8,1.86,1.86,97600
12/26/2019,1.85,1.85,1.83,1.85,1.85,159000
12/24/2019,1.82,1.85,1.68,1.83,1.83,55500
12/23/2019,1.82,1.82,1.77,1.82,1.82,67000
12/20/2019,1.85,1.85,1.8,1.84,1.84,66000
12/19/2019,1.83,1.85,1.81,1.85,1.85,84400
12/18/2019,1.81,1.84,1.67,1.83,1.83,439700
12/17/2019,1.8,1.84,1.78,1.81,1.81,629900
12/16/2019,1.8,1.87,1.8,1.83,1.83,236000
12/13/2019,1.83,1.87,1.8,1.81,1.81,35300
12/12/2019,1.86,1.87,1.83,1.84,1.84,55100
12/11/2019,1.87,1.89,1.84,1.87,1.87,56700
12/10/2019,1.83,1.87,1.82,1.87,1.87,173700
12/9/2019,1.75,1.84,1.73,1.84,1.84,133600
12/6/2019,1.72,1.81,1.69,1.73,1.73,138100
12/5/2019,1.65,1.72,1.64,1.69,1.69,186900
12/4/2019,1.61,1.68,1.6,1.64,1.64,268500
12/3/2019,1.52,1.61,1.52,1.6,1.6,639200
12/2/2019,1.6,1.61,1.58,1.6,1.6,92200
11/29/2019,1.59,1.62,1.55,1.58,1.58,54300
11/27/2019,1.55,1.61,1.55,1.6,1.6,110300
11/26/2019,1.56,1.6,1.54,1.57,1.57,37500
11/25/2019,1.57,1.61,1.5,1.59,1.59,82900
11/22/2019,1.6,1.6,1.53,1.58,1.58,115500
11/21/2019,1.56,1.62,1.51,1.59,1.59,80500
11/20/2019,1.62,1.65,1.58,1.58,1.58,363800
11/19/2019,1.61,1.64,1.58,1.63,1.63,152100
11/18/2019,1.61,1.63,1.57,1.63,1.63,93100
11/15/2019,1.57,1.63,1.52,1.62,1.62,249500
11/14/2019,1.6,1.6,1.52,1.57,1.57,192300
11/13/2019,1.61,1.61,1.58,1.59,1.59,282200
11/12/2019,1.6,1.63,1.56,1.57,1.57,18700
11/11/2019,1.57,1.62,1.53,1.6,1.6,263100
11/8/2019,1.56,1.57,1.48,1.55,1.55,69900
11/7/2019,1.56,1.6,1.51,1.57,1.57,156500
11/6/2019,1.58,1.58,1.5,1.57,1.57,113800
11/5/2019,1.31,1.6,1.31,1.55,1.55,815200
11/4/2019,1.4,1.49,1.38,1.46,1.46,436700
11/1/2019,1.37,1.38,1.34,1.36,1.36,93600
10/31/2019,1.39,1.45,1.35,1.36,1.36,79000
10/30/2019,1.43,1.43,1.38,1.38,1.38,101900
10/29/2019,1.31,1.53,1.29,1.43,1.43,414800
10/28/2019,1.3,1.35,1.29,1.32,1.32,138800
10/25/2019,1.22,1.33,1.22,1.3,1.3,945500
10/24/2019,1.29,1.3,1.18,1.22,1.22,801200
10/23/2019,1.31,1.32,1.29,1.29,1.29,314500
10/22/2019,1.34,1.35,1.27,1.32,1.32,118800
10/21/2019,1.33,1.35,1.31,1.33,1.33,124200
10/18/2019,1.38,1.4,1.27,1.32,1.32,726200
10/17/2019,1.39,1.44,1.37,1.37,1.37,188300
10/16/2019,1.38,1.44,1.38,1.39,1.39,84600
10/15/2019,1.37,1.41,1.37,1.38,1.38,174200
10/14/2019,1.44,1.44,1.36,1.38,1.38,269200
10/11/2019,1.5,1.52,1.45,1.45,1.45,146400
10/10/2019,1.56,1.57,1.48,1.49,1.49,158400
10/9/2019,1.52,1.57,1.5,1.55,1.55,59700
10/8/2019,1.55,1.55,1.39,1.53,1.53,171700
10/7/2019,1.53,1.58,1.53,1.55,1.55,120900
10/4/2019,1.61,1.62,1.49,1.53,1.53,294500
10/3/2019,1.63,1.66,1.6,1.6,1.6,105300
10/2/2019,1.65,1.66,1.6,1.63,1.63,163600
10/1/2019,1.58,1.65,1.58,1.65,1.65,215200
9/30/2019,1.59,1.61,1.57,1.57,1.57,185900
9/27/2019,1.58,1.62,1.56,1.58,1.58,114100
9/26/2019,1.59,1.61,1.54,1.58,1.58,79000
9/25/2019,1.56,1.62,1.56,1.59,1.59,47300
9/24/2019,1.64,1.64,1.56,1.58,1.58,144700
9/23/2019,1.66,1.66,1.61,1.61,1.61,124300
9/20/2019,1.59,1.66,1.58,1.66,1.66,309400
9/19/2019,1.58,1.59,1.56,1.58,1.58,57300
9/18/2019,1.59,1.64,1.56,1.58,1.58,158900
9/17/2019,1.63,1.67,1.58,1.59,1.59,168400
9/16/2019,1.65,1.66,1.63,1.63,1.63,280700
9/13/2019,1.65,1.68,1.65,1.65,1.65,167000
9/12/2019,1.67,1.67,1.63,1.64,1.64,174800
9/11/2019,1.63,1.72,1.6,1.65,1.65,415600
9/10/2019,1.54,1.66,1.53,1.64,1.64,238200
9/9/2019,1.53,1.57,1.51,1.55,1.55,581400
9/6/2019,1.53,1.58,1.49,1.53,1.53,569400
9/5/2019,1.49,1.58,1.49,1.53,1.53,288700
9/4/2019,1.38,1.53,1.38,1.49,1.49,326500
9/3/2019,1.4,1.4,1.33,1.37,1.37,326400
8/30/2019,1.4,1.5,1.35,1.4,1.4,724500
8/29/2019,1.48,1.49,1.36,1.38,1.38,240100
