Date,Open,High,Low,Close,Adj Close,Volume
5/1/2020,14.09,14.26,13.32,13.46,13.46,1484000
4/30/2020,14.4,14.818,14.04,14.52,14.52,1137200
4/29/2020,14.51,15.14,14.51,14.91,14.91,1841800
4/28/2020,13.92,14.27,13.655,13.98,13.98,1907100
4/27/2020,12.39,13.85,12.39,13.44,13.44,1285900
4/24/2020,12.09,12.36,11.87,12.31,12.31,971300
4/23/2020,11.76,12.25,11.76,11.89,11.89,1743500
4/22/2020,11.68,11.81,11.36,11.63,11.63,1144900
4/21/2020,11.04,11.4,11,11.35,11.35,1628500
4/20/2020,11.38,11.97,11.18,11.49,11.49,1674600
4/17/2020,11.54,12.07,11.515,11.92,11.92,2198300
4/16/2020,11.4,11.4,10.79,11.03,11.03,2431700
4/15/2020,11.47,11.65,11.03,11.41,11.41,1719200
4/14/2020,12.35,12.57,11.86,12.19,12.19,1617400
4/13/2020,13.19,13.26,11.76,12.09,12.09,2431600
4/9/2020,12.84,13.19,12.51,13.11,13.11,3044600
4/8/2020,11.53,12.31,11.36,12.14,12.14,1581700
4/7/2020,11.72,12.505,11.18,11.29,11.29,3033900
4/6/2020,10.38,11.08,10.34,10.83,10.83,1747700
4/3/2020,9.79,9.98,9.31,9.59,9.59,1679100
4/2/2020,9.95,10.61,9.56,9.89,9.89,1314900
4/1/2020,10.19,10.31,9.55,10.01,10.01,2599000
3/31/2020,10.96,11.14,10.44,10.72,10.72,2444800
3/30/2020,10.81,11.045,9.86,10.98,10.98,2809900
3/27/2020,10.9,11.29,10.46,10.5,10.5,1991500
3/26/2020,12.1,12.74,11.37,11.58,11.58,2941000
3/25/2020,10.64,12.17,10.17,11.78,11.78,3693200
3/24/2020,9.54,10.49,9.3,10.47,10.47,3193800
3/23/2020,8.56,9.52,8.48,8.8,8.8,2931100
3/20/2020,8.25,9.55,7.8,8.89,8.89,5399000
3/19/2020,6.84,8.27,6.69,8,8,3126100
3/18/2020,7.98,8.4,6.4,7.08,7.08,3861000
3/17/2020,9.13,9.3,8.015,8.72,8.72,4427900
3/16/2020,10.18,10.21,9,9.01,9.01,3031100
3/13/2020,11.31,11.47,10.03,11.27,11.27,3225200
3/12/2020,11.01,11.6,10.685,10.71,10.71,3846100
3/11/2020,13.17,13.35,12.615,12.77,12.77,3690500
3/10/2020,13.61,13.91,12.59,13.62,13.62,3379500
3/9/2020,13,13.6,12.52,12.67,12.67,3127700
3/6/2020,14.84,15.28,14.67,15.04,15.04,6725400
3/5/2020,16.1,16.16,15.345,15.49,15.49,4838800
3/4/2020,16.540001,16.549999,15.4,16.09,16.09,4096100
3/3/2020,17.34,17.48,15.475,16,16,4621200
3/2/2020,17.07,17.34,16.52,17.309999,17.309999,2097200
2/28/2020,16.57,17.139999,16.450001,16.99,16.99,3407600
2/27/2020,17.5,17.965,16.5,17.280001,17.280001,4125600
2/26/2020,19.65,19.684999,18.059999,18.1,18.1,2341100
2/25/2020,21.73,21.870001,19.1,19.530001,19.530001,3885500
2/24/2020,21.91,22.360001,21.459999,22.030001,22.030001,2537100
2/21/2020,22.5,23.02,22.389999,22.940001,22.940001,2072800
2/20/2020,22.48,22.84,22.33,22.65,22.65,1495800
2/19/2020,22.559999,22.809999,22.440001,22.559999,22.559999,699400
2/18/2020,22.200001,22.540001,22.1,22.48,22.48,860300
2/14/2020,22.25,22.389999,22.075001,22.299999,22.299999,899600
2/13/2020,22.34,22.540001,22.235001,22.290001,22.290001,1394000
2/12/2020,22.139999,22.635,22.08,22.52,22.52,1015900
2/11/2020,21.780001,22.25,21.67,21.889999,21.889999,1602900
2/10/2020,21.66,21.73,21.41,21.639999,21.639999,732400
2/7/2020,22.190001,22.190001,21.75,21.780001,21.780001,815700
2/6/2020,23.23,23.290001,22.379999,22.41,22.41,1497000
2/5/2020,22.74,23.200001,22.65,23.139999,23.139999,881400
2/4/2020,22.25,22.66,22.25,22.4,22.4,919100
2/3/2020,21.690001,21.950001,21.540001,21.860001,21.860001,1808600
1/31/2020,21.959999,22.139999,21.395,21.549999,21.549999,1560500
1/30/2020,22.32,22.530001,21.805,22.059999,22.059999,1337800
1/29/2020,22.290001,22.690001,22.209999,22.52,22.52,1160000
1/28/2020,22.120001,22.24,21.83,22.190001,22.190001,871500
1/27/2020,21.68,22.16,21.6,21.969999,21.969999,1161600
1/24/2020,22.610001,22.629999,21.995001,22.15,22.15,637600
1/23/2020,22.6,22.695,22,22.59,22.59,1620500
1/22/2020,23.049999,23.1,22.780001,22.809999,22.809999,657000
1/21/2020,23.25,23.27,22.950001,23.02,23.02,1190800
1/17/2020,23.82,23.82,23.35,23.459999,23.459999,977100
1/16/2020,23.700001,23.91,23.655001,23.709999,23.709999,924200
1/15/2020,23.59,23.879999,23.440001,23.549999,23.549999,656100
1/14/2020,23.559999,23.85,23.542,23.59,23.59,1121100
1/13/2020,23.82,23.98,23.48,23.66,23.66,1169200
1/10/2020,23.950001,24.02,23.73,23.82,23.82,846500
1/9/2020,23.75,23.959999,23.59,23.85,23.85,1721500
1/8/2020,23.75,23.84,23.51,23.629999,23.629999,759100
1/7/2020,23.82,23.99,23.58,23.68,23.68,2144000
1/6/2020,23.809999,24.030001,23.690001,23.98,23.98,1048300
1/3/2020,23.950001,24.07,23.825001,24.01,24.01,936200
1/2/2020,24.389999,24.58,24.1,24.35,24.35,1646400
12/31/2019,24.059999,24.469999,23.940001,24.24,24.24,1891700
12/30/2019,24.25,24.344999,24.02,24.110001,24.110001,830400
12/27/2019,24.450001,24.584999,24.200001,24.219999,24.219999,866600
12/26/2019,24.49,24.49,24.15,24.43,24.43,1157700
12/24/2019,24.530001,24.559999,24.389999,24.450001,24.450001,416600
12/23/2019,24.32,24.469999,24.1,24.42,24.42,573300
12/20/2019,24.01,24.264999,23.959999,24.200001,24.200001,2458900
12/19/2019,24,24.145,23.860001,24.049999,24.049999,690800
12/18/2019,23.98,24.01,23.75,23.93,23.93,659500
12/17/2019,24.15,24.290001,23.92,23.99,23.99,860400
12/16/2019,24.459999,24.700001,24.16,24.24,24.24,2450100
12/13/2019,24.299999,24.77,24.129999,24.26,24.26,2027300
12/12/2019,23.73,24.405001,23.629999,24.389999,24.389999,1618900
12/11/2019,23.540001,23.77,23.450001,23.68,23.68,759200
12/10/2019,23.620001,23.809999,23.370001,23.58,23.58,1777200
12/9/2019,23.879999,23.99,23.700001,23.709999,23.709999,1270200
12/6/2019,23.559999,24.049999,23.559999,23.98,23.98,2498400
12/5/2019,23.059999,23.16,22.84,23.15,23.15,619500
12/4/2019,22.879999,23.299999,22.879999,22.889999,22.889999,832500
12/3/2019,22.74,22.93,22.51,22.700001,22.700001,903200
12/2/2019,23.51,23.700001,23.040001,23.120001,23.120001,845300
11/29/2019,23.68,23.709999,23.385,23.42,23.42,597100
11/27/2019,23.790001,23.959999,23.620001,23.85,23.85,778000
11/26/2019,23.700001,23.940001,23.610001,23.68,23.68,1359600
11/25/2019,23.35,23.83,23.139999,23.790001,23.790001,1482200
11/22/2019,22.9,23.27,22.82,23.26,23.26,1095700
11/21/2019,22.790001,22.85,22.455,22.780001,22.780001,621100
11/20/2019,22.73,23.139999,22.68,22.780001,22.780001,914500
11/19/2019,23.26,23.370001,22.790001,22.85,22.85,1368900
11/18/2019,23.51,23.52,23.065001,23.17,23.17,611700
11/15/2019,23.290001,23.645,23.08,23.610001,23.610001,1355500
11/14/2019,23.1,23.33,22.959999,23.059999,23.059999,1311200
11/13/2019,23.52,23.540001,23.110001,23.129999,23.129999,1402800
11/12/2019,23.91,24.110001,23.655001,23.67,23.67,1182700
11/11/2019,23.77,24.030001,23.620001,23.870001,23.870001,2030600
11/8/2019,24,24.18,23.860001,23.959999,23.959999,2598500
11/7/2019,24.110001,24.459999,23.985001,24.059999,24.059999,4277100
11/6/2019,24.07,24.129999,23.74,23.82,23.82,2140400
11/5/2019,23,24.370001,22.26,24.08,24.08,7767600
11/4/2019,22.23,22.455,22.049999,22.35,22.35,2997400
11/1/2019,21.67,22.075001,21.549999,21.940001,21.940001,2187600
10/31/2019,21.6,21.629999,21.200001,21.459999,21.459999,730500
10/30/2019,21.950001,21.950001,21.42,21.75,21.75,838800
10/29/2019,21.860001,22.176001,21.719999,22.01,22.01,1050000
10/28/2019,21.860001,22.059999,21.790001,21.9,21.9,1411400
10/25/2019,21.110001,21.74,21.110001,21.65,21.65,1200500
10/24/2019,21.48,21.59,20.959999,21.26,21.26,1938100
10/23/2019,21.26,21.555,21.049999,21.4,21.4,1951100
10/22/2019,21.48,21.530001,20.969999,21.290001,21.290001,1393300
10/21/2019,21.1,21.59,21.07,21.5,21.5,1368400
10/18/2019,20.940001,21.030001,20.860001,20.9,20.9,708900
10/17/2019,21,21.190001,20.83,21.01,21.01,1400300
10/16/2019,21.07,21.26,20.85,20.889999,20.889999,897900
10/15/2019,20.889999,21.165001,20.73,21.049999,21.049999,853800
10/14/2019,20.65,20.99,20.42,20.799999,20.799999,1293900
10/11/2019,20.440001,20.91,20.254999,20.82,20.82,1805400
10/10/2019,19.85,20.08,19.73,19.879999,19.879999,1565200
10/9/2019,19.92,19.93,19.629999,19.799999,19.799999,568500
