Date,Open,High,Low,Close,Adj Close,Volume
5/1/2020,1.25,1.34,1.21,1.22,1.22,480700
4/30/2020,1.45,1.48,1.27,1.27,1.27,632400
4/29/2020,1.38,1.5,1.25,1.46,1.46,1698000
4/28/2020,1.28,1.29,1.21,1.23,1.23,570500
4/27/2020,1.25,1.27,1.16,1.25,1.25,419200
4/24/2020,1.34,1.35,1.16,1.18,1.18,268300
4/23/2020,1.2,1.27,1.16,1.27,1.27,453900
4/22/2020,1.25,1.26,1.12,1.16,1.16,532900
4/21/2020,1.26,1.27,1.19,1.2,1.2,348200
4/20/2020,1.35,1.35,1.23,1.27,1.27,276700
4/17/2020,1.32,1.49,1.29,1.39,1.39,1005000
4/16/2020,1.39,1.39,1.18,1.2,1.2,326700
4/15/2020,1.4,1.4,1.26,1.26,1.26,359400
4/14/2020,1.52,1.63,1.43,1.46,1.46,334300
4/13/2020,1.66,1.69,1.44,1.51,1.51,382700
4/9/2020,1.38,1.69,1.36,1.68,1.68,1354500
4/8/2020,1.32,1.35,1.31,1.35,1.35,398000
4/7/2020,1.6,1.65,1.2,1.31,1.31,578800
4/6/2020,1.43,1.64,1.4,1.48,1.48,518000
4/3/2020,1.3,1.49,1.3,1.39,1.39,536900
4/2/2020,1.5,1.52,1.29,1.29,1.29,353900
4/1/2020,1.68,1.71,1.46,1.48,1.48,506800
3/31/2020,1.72,1.81,1.69,1.72,1.72,1066600
3/30/2020,1.77,1.9,1.7,1.72,1.72,221900
3/27/2020,1.93,1.96,1.79,1.8,1.8,274100
3/26/2020,2.01,2.14,1.9,2.04,2.04,208800
3/25/2020,1.73,2.1,1.68,1.98,1.98,483600
3/24/2020,1.92,1.95,1.64,1.71,1.71,641200
3/23/2020,1.91,1.98,1.78,1.79,1.79,195000
3/20/2020,2.09,2.12,1.85,1.87,1.87,373900
3/19/2020,1.87,2.12,1.83,2.06,2.06,282000
3/18/2020,2,2.16,1.78,1.92,1.92,584800
3/17/2020,1.93,2.33,1.85,2.15,2.15,462900
3/16/2020,2,2.05,1.75,1.87,1.87,505300
3/13/2020,2,2.06,1.85,2.02,2.02,544700
3/12/2020,1.91,1.99,1.8,1.84,1.84,814400
3/11/2020,2.22,2.32,2.03,2.07,2.07,227400
3/10/2020,2.12,2.43,2.07,2.38,2.38,572300
3/9/2020,2.33,2.39,2,2.01,2.01,390500
3/6/2020,2.51,2.68,2.46,2.48,2.48,253200
3/5/2020,2.65,2.82,2.56,2.64,2.64,254500
3/4/2020,2.76,2.83,2.64,2.8,2.8,186200
3/3/2020,2.66,2.9,2.57,2.66,2.66,451000
3/2/2020,2.7,2.73,2.49,2.57,2.57,429200
2/28/2020,2.66,2.74,2.56,2.67,2.67,389200
2/27/2020,2.83,2.83,2.56,2.69,2.69,424300
2/26/2020,3.24,3.34,2.91,2.97,2.97,459600
2/25/2020,3.68,3.68,3.17,3.23,3.23,479300
2/24/2020,3.6,3.66,3.5,3.62,3.62,482900
2/21/2020,3.47,3.98,3.45,3.84,3.84,728500
2/20/2020,3.24,3.42,3.2,3.41,3.41,279800
2/19/2020,3.18,3.38,3.15,3.31,3.31,319500
2/18/2020,3.25,3.25,3.06,3.14,3.14,168400
2/14/2020,3.06,3.34,3.06,3.19,3.19,227900
2/13/2020,3.12,3.19,2.98,3.05,3.05,102000
2/12/2020,3.18,3.31,3.08,3.16,3.16,171700
2/11/2020,2.87,3.17,2.86,3.1,3.1,249000
