Date,Open,High,Low,Close,Adj Close,Volume
5/1/2020,1.24,1.25,1.17,1.24,1.24,10521500
4/30/2020,1.32,1.4,1.02,1.26,1.26,28177000
4/29/2020,1.34,1.38,1.17,1.26,1.26,30103100
4/28/2020,1.03,1.29,0.96,1.16,1.16,37443700
4/27/2020,0.91,1.12,0.72,1.02,1.02,50723000
4/24/2020,1.48,1.57,1.02,1.12,1.12,95137100
4/23/2020,1.23,2.39,1.16,1.68,1.68,296175700
4/22/2020,0.49,0.92,0.45,0.84,0.84,148688300
4/21/2020,0.33,0.44,0.33,0.38,0.38,23295200
4/20/2020,0.34,0.35,0.33,0.34,0.34,8149900
4/17/2020,0.33,0.34,0.31,0.34,0.34,7492000
4/16/2020,0.33,0.34,0.31,0.32,0.32,8030400
4/15/2020,0.33,0.35,0.32,0.33,0.33,7542900
4/14/2020,0.36,0.37,0.33,0.35,0.35,10575500
4/13/2020,0.38,0.38,0.34,0.36,0.36,14116800
4/9/2020,0.39,0.4,0.33,0.36,0.36,21901100
4/8/2020,0.39,0.39,0.35,0.36,0.36,14618200
4/7/2020,0.38,0.41,0.35,0.36,0.36,22450300
4/6/2020,0.36,0.39,0.32,0.33,0.33,23209100
4/3/2020,0.33,0.59,0.29,0.29,0.29,83705500
4/2/2020,0.39,0.41,0.25,0.31,0.31,31940600
4/1/2020,0.52,0.64,0.33,0.37,0.37,35786600
3/31/2020,0.7,0.71,0.65,0.67,0.67,8374700
3/30/2020,0.81,0.82,0.62,0.66,0.66,14745800
3/27/2020,0.96,0.98,0.8,0.8,0.8,7466300
3/26/2020,1.19,1.2,0.93,0.95,0.95,11831900
3/25/2020,1.18,1.27,1.15,1.17,1.17,7126200
3/24/2020,1.31,1.32,1.12,1.26,1.26,9364400
3/23/2020,1.35,1.37,1.18,1.25,1.25,5762100
3/20/2020,1.44,1.52,1.16,1.31,1.31,12807400
3/19/2020,1.08,1.47,1.01,1.42,1.42,10027200
3/18/2020,1,1.23,0.92,1.05,1.05,10794100
3/17/2020,1.37,1.42,1.07,1.12,1.12,12347200
3/16/2020,1.02,1.71,0.93,1.37,1.37,18337300
3/13/2020,0.8,1.3,0.72,1.3,1.3,16673500
3/12/2020,0.7,0.8,0.69,0.75,0.75,12801000
3/11/2020,0.82,0.89,0.68,0.82,0.82,15525400
3/10/2020,0.95,0.96,0.72,0.91,0.91,19800700
3/9/2020,0.74,0.99,0.74,0.8,0.8,22218500
3/6/2020,1.5,1.54,1.28,1.33,1.33,11875200
3/5/2020,1.56,1.63,1.48,1.6,1.6,7254600
3/4/2020,1.76,1.79,1.54,1.59,1.59,7075500
3/3/2020,1.76,1.82,1.62,1.72,1.72,7950000
3/2/2020,2,2.02,1.65,1.7,1.7,13302300
2/28/2020,1.58,1.9,1.52,1.85,1.85,13333300
2/27/2020,1.88,1.88,1.31,1.71,1.71,30082100
2/26/2020,2.44,2.49,2.22,2.26,2.26,12848800
2/25/2020,2.55,2.58,2.3,2.41,2.41,11798200
2/24/2020,2.53,2.71,2.47,2.54,2.54,11778500
2/21/2020,2.78,2.82,2.66,2.75,2.75,6911300
2/20/2020,3.03,3.14,2.85,2.85,2.85,9087700
2/19/2020,2.87,3.06,2.8,3.01,3.01,8892500
2/18/2020,2.86,2.89,2.67,2.81,2.81,7924800
2/14/2020,2.9,2.99,2.7,2.92,2.92,10671700
2/13/2020,2.93,3.18,2.75,2.88,2.88,15742700
2/12/2020,3.9,3.94,1.81,2.88,2.88,50719000
2/11/2020,3.87,4.01,3.68,3.71,3.71,9354100
2/10/2020,4.02,4.05,3.61,3.67,3.67,15049800
2/7/2020,4.27,4.34,4.05,4.1,4.1,13657400
2/6/2020,4.65,4.74,4.35,4.36,4.36,8809500
2/5/2020,4.31,4.74,4.26,4.65,4.65,13363400
2/4/2020,4.65,4.67,4.15,4.19,4.19,11506900
2/3/2020,4.48,4.74,4.36,4.42,4.42,8978200
1/31/2020,4.47,4.62,4.33,4.54,4.54,8423800
1/30/2020,4.35,4.6,4.25,4.58,4.58,7168300
1/29/2020,4.81,4.92,4.46,4.48,4.48,8520800
